&	and (conj. & adv.)
a	a (indef.art.)
a	a (prep.1)
a	a (prep.2)
a	he (pron.3)
a	o (prep.1)
a	o (prep.2)
Aaron	Aaron (n.)
abac	abak (adv.)
a-bac	abak (adv.)
a-bac-ward	abakward (adv.)
abad	abiden (v.)
a-bad	abiden (v.)
a-bæileden	abælien (v.)
abake	abak (adv.)
Aballac	Aballac (n.)
abat	abiden (v.)
abbe	haven (v.)
abbed	abbot (n.)
abbede	abbot (n.)
abbeod	abbot (n.)
abbod	abbot (n.)
abed	abiden (v.)
a-bed	abiden (v.)
abeh	abeien (v.)
abeod	abiden (v.)
abeoten	abiden (v.)
Abid	abiden (v.)
abide	abiden (v.)
abideğ	abiden (v.)
abiden	abiden (v.)
abidest	abiden (v.)
a-biggen	abien (v.)
abiteğ	abiten (v.)
abiten	abiden (v.)
ablenden	ablenden (v.)
aboht	abien (v.)
abohte	abien (v.)
a-bohte	abien (v.)
abol?e	abel?en (v.)
abol?en	abel?en (v.)
a-bol?en	abel?en (v.)
abolwen	abel?en (v.)
abouten	abiden (v.)
abræc	abreken (v.)
abræid	abreiden (v.1)
Abraham	Abraham (n.)
Abren	Abren (n.)
abroken	abreken (v.)
a-brokene	abreken (v.)
Absolon	Absolon (n.)
abu?e	abeien (v.)
abugge	abien (v.)
abuggen	abien (v.)
a-buggen	abien (v.)
aburh?en	aburh?es (?adv.)
abute	abiden (v.)
a-bute	about(e (adv.)
abuten	abiden (v.)
a-buten	about(e (adv.)
Ac	ac (conj.)
Achalon	Achalon (n.)
acliue	clif (n.1)
acualde	aquellen (v.)
acwælde	aquellen (v.)
ağ	oth (n.)
ağ%ğes	oth (n.)
Adam	Adam (n.)
ağğele	athel (n.)
ağğelen	athel (adj.)
ağğelen	athel (n.)
ağğeles	athel (adj.)
ağğeles	athel (n.)
ağel	athel (adj.)
ağel	athel (n.)
ağelan	athel (adj.)
ağelan	athel (n.)
Ağelberd	Athelbert (n.)
Ağelberde	Athelbert (n.)
Ağelbert	Athelbert (n.)
Ağelberte	Athelbert (n.)
Ağelbertes	Athelbert (n.)
ağele	athel (adj.)
ağele	athel (n.)
ağelede	athel (adj.)
ağelede	athel (n.)
ağelen	athel (adj.)
ağelen	athel (n.)
ağelene	athel (adj.)
ağelene	athel (n.)
ağelere	athel (adj.)
ağelere	athel (n.)
ağeles	athel (adj.)
ağeles	athel (n.)
ağelest	athel (adj.)
ağelest	athel (n.)
ağeleste	athel (adj.)
ağeleste	athel (n.)
ağeling	ağeling (n.)
ağelinges	ağeling (n.)
ağelmod	ağel-mod (adj.)
Ağelstan	Athelstan (n.)
Ağelstane	Athelstan (n.)
ağen	oth (n.)
ağes	oth (n.)
Ağestan	Athelstan (n.)
Adionærd	Athionard (n.)
Ağionærd	Athionard (n.)
Adionard	Athionard (n.)
Ağionard	Athionard (n.)
ağlest	athel (adj.)
ağlest	athel (n.)
ağmeden	æğ-moden (n. pl.)
admirail	amiral (n.)
admiral	amiral (n.)
admirale	amiral (n.)
ağmode	æğ-mode (adj.)
ağ-mode	æğ-moden (n. pl.)
ağ-neowe	ağ-neowe (adj.)
adonward	adounward (adv.)
adonward	adounward (prep.)
a-drad	adreden (v.)
a-dradde	adreden (v.)
a-dræd	adreden (v.)
adred	adreden (v.)
adredde	adreden (v.)
adrede	adreden (v.)
adredeğ	adreden (v.)
adreden	adreden (v.)
adrefed	dreven (v.2)
adrengte	adrenchen (v.)
adrente	adrenchen (v.)
adrenten	adrenchen (v.)
adroh	adrauen (v.)
a-droh	adrauen (v.)
adronc	adrinken (v.)
adronken	adrinken (v.)
adruncke	adrinken (v.)
adrunken	adrinken (v.)
Adud	Adud (n.)
ağum	othom (n.)
ağume	othom (n.)
adun	adoun (adv.)
a-dun	adoun (adv.)
adune	adoun (adv.)
a-dune	adoun (adv.)
aduneward	adoun (prep.)
adun-riht	adoun-right (adv.)
a-dun-riht	adoun-right (adv.)
adun-rihtes	adoun-rightes (adv.)
adunward	adoun (prep.)
a-dun-ward	adounward (adv.)
a-dun-ward	adounward (prep.)
Adwine	Edwin (n.)
æ	ai (adv.)
æ	o (prep.2)
a?æğ	aginnen (v.)
a?æğ	agon (v.)
a?æf	ayeven (v.)
a?æien	ayen (adv.)
a?æien	ayen (prep.)
a?æin	ayen (adv.)
a?æin	ayen (prep.)
a-?æin	ayen (adv.)
a-?æin	ayen (prep.)
a?æn	ayen (adv.)
a?æn	ayen (prep.)
a?ære	ouen (adj.)
a?af	ayeven (v.)
a?ain	ayen (adv.)
a?ain	ayen (prep.)
a?an	ayen (adv.)
a?an	ayen (prep.)
a-?an	ayen (adv.)
a-?an	ayen (prep.)
æc	ek (adv. and conj.)
æch	ech (pron.)
æche	ech (pron.)
æchen	eken (v.)
æchere	ech (pron.)
æğ	oth (n.)
æğğele	athel (adj.)
æğğele	athel (n.)
æğe	oth (n.)
æğel	athel (adj.)
æğel	athel (n.)
æğela	athel (adj.)
æğela	athel (n.)
æğelæn	athel (adj.)
æğelæn	athel (n.)
Æğelberte	Athelbert (n.)
æğele	athel (adj.)
æğele	athel (n.)
æğelede	athel (adj.)
æğelede	athel (n.)
æğelen	athel (adj.)
æğelen	athel (n.)
æğelene	athel (adj.)
æğelene	athel (n.)
æğeles	athel (adj.)
æğeles	athel (n.)
æğelest	athel (adj.)
æğelest	athel (n.)
æğeleste	athel (adj.)
æğeleste	athel (n.)
æğelinge	atheling (n.)
Æğelstan	Athelstan (n.)
æğen	oth (n.)
æğes	oth (n.)
ædie	edi (adj.)
ædien	edi (adj.)
Ædlein	Aedlin (n.)
ædmeden	æğ-moden (n. pl.)
æd-meden	æğ-moden (n. pl.)
ædmode	ed-mod (adj.)
æğmoden	æğ-moden (n. pl.)
æğ-mod-liche	eth-modliche (adv.)
Ædwine	Edwin (n.)
æd-wit	ed-wit (n.)
a?e	heigh (adj.)
a?e	ouen (adj.)
æ?en	eie (n.1)
æ?en	ouen (adj.)
æ?ene	eie (n.1)
æ?enede	ounen (v.)
æ?enen	eie (n.1)
æ?ere	ouen (adj.)
a?ef	ayeven (v.)
A-?ef	ayeven (v.)
a?ein	ayen (adv.)
a?ein	ayen (prep.)
a-?ein	ayen (adv.)
A?eineden	ayen (adv.)
A?eineden	ayen (prep.)
a?eines	ayen (adv.)
a?eines	ayen (prep.)
a?einnen	aginnen (v.)
a?einnen	agon (v.)
a?ein-ward	ayen-ward (adv.)
æem	em (n.1)
a?en	ayen (adv.)
a?en	ayen (prep.)
A-?en	ayen (adv.)
a?ene	ayen (adv.)
a?ene	ayen (prep.)
a?enes	ayen (adv.)
a?enes	ayen (prep.)
a?en-stonde	ayen-stonden (v.)
a?enward	ayen-ward (adv.)
a?eong	a?onge(n (ppl.)
a?eonge	a?onge(n (ppl.)
a?eongen	a?onge(n (ppl.)
a?ere	ouen (adj.)
a?est	aughte (n.)
a?est	eighte (card. num.)
a?est	ouen (v.)
a?eue	ayeven (v.)
a?eueğ	ayeven (v.)
a?euen	ayeven (v.)
æfen	eve(n (n.)
æfer	ever (adv.)
æfne	eve(n (n.)
æfre	ever (adv.)
Æft	eft (adv.)
æfter	after (adv.)
æfter	after (prep.)
æftere	after (adv.)
æftere	after (prep.)
æfterlinges	afterling (n.)
æh	aughte (n.)
æh	eighte (card. num.)
æh	ouen (v.)
æh?ere	ouen (adj.)
æh-senen	ei(e-sene (n.)
æh-seone	ei(e-sene (n.)
æht	aughte (n.)
æht	eighte (card. num.)
æht	ouen (v.)
æhte	aughte (n.)
æhte	eighte (card. num.)
æhte	ouen (v.)
æhten	aughte (n.)
æhten	eighte (card. num.)
æhten	ouen (v.)
æhtene	eighte-tene (card.num.)
æi	ani (lim. adj.)
æiğer	either (conj.)
æiğer	either (pron.)
æie	eie (n.2)
æi?e	aue (n.)
æi?es-ful	ei(e)sful (adj.)
æie-lese	eieles (adj.1)
æie-leste	eieleste (n.)
æies	ani (lim. adj.)
a?if	ayeven (v.)
æine	ani (lim. adj.)
æit	eit (n.)
æite	eit (n.)
æişer	either (conj.)
æişer	either (pron.)
æit-lond	eit-lond (n.)
æit-londe	eit-lond (n.)
æit-londes	eit-lond (n.)
a?iueğ	ayeven (v.)
a-?iuen	ayeven (v.)
æiwær	ani-wher(e (adv.)
æke	ek (adv. and conj.)
æl	al (lim. adj. & n.)
ælc	ech (pron.)
ælc%ches	ech (pron.)
ælcan	ech (pron.)
ælcche	ech (pron.)
Ælch	ech (pron.)
ælche	ech (pron.)
ælchen	ech (pron.)
ælchene	ech (pron.)
ælchere	ech (pron.)
ælches	ech (pron.)
ælcne	ech (pron.)
Ælcus	Alcus (n.)
æld	old(e (adj.)
æld	old(e (n.)
Ældad	Aldadus (n.)
Ældadus	Aldadus (n.)
ælde	elde (n.)
ælde	old(e (adj.)
ældede	elden (v.1)
ælden	old(e (adj.)
ælden	old(e (n.)
ælder	eldre (n. (usually pl.).)
ælder	old(e (adj.)
ældere	eldre (n. (usually pl.).)
ældere	old(e (adj.)
ælderen	eldre (n. (usually pl.).)
ælderne	old(e (adj.)
ældest	old(e (adj.)
ældeste	old(e (adj.)
Ældolf	Aldolf (n.)
ældre	eldre (n. (usually pl.).)
ældre	old(e (adj.)
ældren	eldre (n. (usually pl.).)
Ældrihten	al-drihten (adj.)
Æleine	Elaine (n.)
Ælene	Helen (n.)
Ælenen	Elaine (n.)
Ælenge	Ealing (n.)
Ælfing	Alfing (n.)
Ælfinge	Alfing (n.)
Ælfwald	Alfwald (n.)
Ælienor	Eleanor (n.)
ælkene	ech (pron.)
ælle	al (lim. adj. & n.)
ælles	elles (adv.)
ælles	elles (conj.)
ælleuene	elleven (card. num.)
ælmes-monnes	almes(se-man (n.)
ælne	al (lim. adj. & n.)
ælpi	on-lepi (adj.)
ælpine	on-lepi (adj.)
ælre	al (lim. adj. & n.)
æluene	elf (n.)
Ælured	Alfred (n.)
Æluric	Alfric (n.)
Æluriches	Alfric (n.)
æm	ben (v.)
æm	em (n.1)
æme	em (n.1)
æmes	em (n.1)
æmmes	em (n.1)
æmteden	empten (v.)
æn	on (prep.)
ænde	ende (n.1)
ændede	enden (v.)
ænden	ende (n.1)
ændswere	answere (n.)
æne	a (indef.art.)
a?ne	ouen (adj.)
ænes	ones (adv.)
Ængelonde	Engelond (n.)
Ængle	Anglia (n.)
Ænglelond	Engelond (n.)
Ængle-lond	Engelond (n.)
Ænglelonde	Engelond (n.)
ænglen	aungel (n.)
ænglen	Engle (n. (pl.)
Ænglene	Engle (n. (pl.)
Ænglis	English (adj.)
Ænglisc	English (adj.)
Ænglisce	English (adj.)
æni	ani (lim. adj.)
ænie	ani (lim. adj.)
Ænmaunus	Anmaunus (n.)
ænne	a (indef.art.)
ænnes	a (indef.art.)
ænswærede	answere (n.)
ænswærede	answeren (v.)
ænsware	answere (n.)
ænsware	answeren (v.)
ænswerede	answere (n.)
ænswerede	answeren (v.)
a?onge	a?onge(n (ppl.)
a?onged	a?onge(n (ppl.)
æorl	erl (n.)
æoure	everi (pron.)
æouwer	ani-wher(e (adv.)
ær	er (adv.)
ær	her (adv.)
ærchebiscop	arche-bishop (n.)
ærche-biscop	arche-bishop (n.)
ærche-biscope	arche-bishop (n.)
ærchebiscopes	arche-bishop (n.)
ærchebiscop-stol	Archbishop-stol (n.)
ærd	erd (n.1)
ær-dæden	er-ded
ærde	erd (n.1)
ærde	rennen (v.2)
ærden	erd (n.1)
ærden	rennen (v.2)
Ærğur	Artur (n.)
Ærğure	Artur (n.)
ære	er (adv.)
a?re	ouen (adj.)
æremite	heremit(e (n.)
ærendrake	erend-rake (n.)
ærer	er (adv.)
ærest	er (adv.)
æreste	er (adv.)
ærhğe	arghthe (n.)
ærhğen	arghthe (n.)
ærhest	argh (adj.)
ærhscipe	arghshipe (n.)
ærh-scipe	arghshipe (n.)
ærht	er (adv.)
ærhşen	arghthe (n.)
Æridius	Aeridius (n.)
ærien	eren (v.1)
ærle	al (lim. adj. & n.)
ærm	arm (adj.)
ærm	arm (n.)
ærmğe	ermthe (n.)
ærmğen	ermthe (n.)
ærme	arm (adj.)
ærme	arm (n.)
ærme	harm (n.)
ærmen	arm (adj.)
ærmen	arm (n.)
ærmes	arm (adj.)
ærmes	arm (n.)
ærmest	arm (adj.)
ærmest	arm (n.)
ærmi	armen (v.)
ærming	arm (adj.)
ærming	arm (n.)
ærmliche	armlich (adj.)
ærmliche	armliche (adv.)
ærm-liche	armlich (adj.)
ærm-liche	armliche (adv.)
Ærmoriche	Armorica (n.)
ærmşe	ermthe (n.)
ærmşen	ermthe (n.)
ærn	ern (n.1)
Ærnald	Arnold (n.)
ærnde	rennen (v.2)
ærnden	rennen (v.2)
ærne	ern (n.1)
ærne	rennen (v.2)
ærneğ	rennen (v.2)
ærnen	rennen (v.2)
ærnes	ern (n.1)
ærst	er (adv.)
ærste	er (adv.)
ært	ben (v.)
æruu	argh (adj.)
ær-wene	ær-wene (adj.)
ær-witte	ær-witte (adj.)
Æscil	Aescil (n.)
Æssel	Aessel (n.)
æst	est (n.)
Æst%tere	ester(n (n.)
Æst-Angle	Est-Angle (n.)
æstene	estern (adj.)
Æstere	ester(n (n.)
Æst-londe	Est-lond (n.)
Æstre	ester(n (n.)
Æstrild	Astrild (n.)
Æstrilde	Astrild (n.)
Æst-sæx	Essex (n.)
Æst-saxe	Essex (n.)
Æst-sex	Essex (n.)
æt	at (adv. & prep.)
æt	at (adv. with inf.)
æt	at (prep.)
a?te	aughte (n.)
æten	eten (v.)
æt-fallen	atfallen (v.)
æt-halden	at-holden (v.)
æt-sturte	at-sterten (v.)
æt-urnen	at-rennen (v.)
æt-wende	atwenden (v.)
æu	you (pron.)
Æuelin	Evelin (n.)
Æueling	Evelin (n.)
æuen	eve(n (n.)
æuen-time	eve(n-time (n.)
æuer	ever (adv.)
æueræche	everi (pron.)
æuer-æi	everi (pron.)
æuer-æie	everi (pron.)
æuerælc	everi (pron.)
Æuer-ælc	everi (pron.)
æuer-ælch	everi (pron.)
æuerælche	everi (pron.)
æuer-ælche	everi (pron.)
æuer-ælchere	everi (pron.)
æuer-ælches	everi (pron.)
æuerælcne	everi (pron.)
æuer-ælcne	everi (pron.)
æuer-alc	everi (pron.)
æueralche	everi (pron.)
æuer-alche	everi (pron.)
Æuer-alcne	everi (pron.)
æuere	ever (adv.)
æuere-ælche	everi (pron.)
æuere-ælcne	everi (pron.)
æuere-elche	everi (pron.)
æuer-elche	everi (pron.)
æuere-ma	ever-mo(r (adv.)
æuere-mære	ever-mo(r (adv.)
æuere-mare	ever-mo(r (adv.)
æuere-more	ever-mo(r (adv.)
æuer-mære	ever-mo(r (adv.)
æuer-mare	ever-mo(r (adv.)
æure	ever (adv.)
Æust	Aust (n.)
æuwer	ani-wher(e (adv.)
æwher	ani-wher(e (adv.)
æx	ax(e (n.1)
Æxchæstræn	Exeter (n.)
Æxchæstre	Exeter (n.)
Æxe	ax(e (n.1)
Æxechæstre	Exeter (n.)
æxede	asken (v.)
æxle	axel (n.1)
af	of (prep.)
a-fængen	afon (v.)
a-færde	afered (ppl.)
a-færde	aferen (v.)
afæred	afered (ppl.)
afæred	aferen (v.)
a-færed	afered (ppl.)
a-færed	aferen (v.)
afallæd	afellen (v.)
a-falled	afellen (v.)
afallen	afallen (v.)
afallene	afellen (v.)
afallet	afellen (v.)
afeared	afered (ppl.)
afeared	aferen (v.)
afelde	afellen (v.)
afelden	afellen (v.)
afelled	afellen (v.)
afeng	afon (v.)
a-feng	afon (v.)
afengen	afon (v.)
afeoh	afon (v.)
a-feol	afallen (v.)
afeolled	afillen (v.)
a-feolled	afellen (v.)
afeollen	afellen (v.)
a-ferde	afered (ppl.)
a-ferde	aferen (v.)
afered	afered (ppl.)
afered	aferen (v.)
a-fered	afered (ppl.)
a-fered	aferen (v.)
Affrike	Affrik(e (n.)
afinde	afinden (v.)
a-finden	afinden (v.)
a-flemde	aflemen (v.)
aflemed	aflemen (v.)
a-fo	afon (v.)
afon	afon (v.)
a-fon	afon (v.)
a-foren	aforen-on (adv.)
afoten	afote (adv. & pred. adj.)
a-foten	afote (adv. & pred. adj.)
afte	afte (adv.)
after	after (adv.)
after	after (prep.)
after-ward	after-ward (adv.)
afulled	afillen (v.)
a-fulled	afellen (v.)
afunde	afinden (v.)
afure	afir(e (adv. & pred. adj.)
Agag	Agag (n.)
agan	aginnen (v.)
agan	agon (v.)
a-gan	agon (v.)
Aganippes	Aganippus (n.)
Aganippum	Aganippus (n.)
Aganippus	Aganippus (n.)
agaste	agasten (v.)
agge	egge (n.2)
aginnen	aginnen (v.)
aginnen	agon (v.)
agon	aginnen (v.)
agon	agon (v.)
a-gon	agon (v.)
agras	agrisen (v.)
agriseğ	agrisen (v.)
a-griseğ	agrisen (v.)
agunnen	aginnen (v.)
agunnen	agon (v.)
Ah	ac (conj.)
ahæf	ahebben (v.)
ah?ene	ouen (adj.)
ah?ere	ouen (adj.)
ahliche	oughtli (adv.)
ahne	ouen (adj.)
ahnede	ounen (v.)
ahneden	ounen (v.)
ahnien	ounen (v.)
a-ho	ahon (v.)
ahof	ahebben (v.)
ahon	ahon (v.)
a-hon	ahon (v.)
aht	ought (pron.)
ahte	aughte (n.)
ahte	eighte (card. num.)
ahte	ouen (v.)
ahten	aughte (n.)
ahten	eighte (card. num.)
ahten	ouen (v.)
ahtene	eighte-tene (card.num.)
ahtere	ought (pron.)
ahtest	ounen (v.)
aht-liche	oughtli (adv.)
ai	ani (lim. adj.)
aiğer	either (conj.)
aiğer	either (pron.)
aiğes	oth (n.)
ai?es	ani (lim. adj.)
aihte	aughte (n.)
Aikan	Aikan (n.)
ait-londe	eit-lond (n.)
akende	akennen (v.1)
akimed	akimed (ppl.)
al	al (lim. adj. & n.)
a-lağed	alothen (v.)
Alæban	Alban (n.)
alæid	aleien (v.)
Alæin	Alain (n.)
alæten	aleten (v.)
Alain	Alain (n.)
Alaine	Alain (n.)
Alamaigne	Alemaine (n.)
Alamaine	Alemaine (n.)
Alban	Alban (n.)
Albanac	Albanac (n.)
Albanackes	Albanac (n.)
Albanakes	Albanac (n.)
Albanie	Albany (n.)
Albe	Alba (n.)
Albin	Albin (n.)
Albion	Albion (n.)
alc	ech (pron.)
alchare	ech (pron.)
alche	ech (pron.)
alchen	ech (pron.)
alchere	ech (pron.)
alches	ech (pron.)
alcne	ech (pron.)
ald	old(e (adj.)
Aldadus	Aldadus (n.)
alde	old(e (adj.)
alden	old(e (adj.)
aldene	eldre (n. (usually pl.).)
alğeodisc	alşeodisc (adj.)
alder	alder (n.2)
aldere	alder (n.2)
aldere	old(e (adj.)
alderen	eldre (n. (usually pl.).)
alder-mon	alder-man (n.)
aldest	old(e (adj.)
aldeste	old(e (adj.)
alde-uader	old(e-fader (n.)
Aldolf	Aldolf (n.)
Aldolfes	Aldolf (n.)
aldre	old(e (adj.)
aldren	eldre (n. (usually pl.).)
Aldroein	Aldroein (n.)
Aldulf	Aldolf (n.)
Aldus	Aldus (n.)
Ale	al (lim. adj. & n.)
Ale	ale (n.)
aleggen	aleien (v.)
a-leggen	aleien (v.)
aleid	aleien (v.)
Alemaine	Alemaine (n.)
Alemainen	Alemaine (n.)
Alemainisce	Alemainisc (adj.)
Alemainne	Alemaine (n.)
Alemainnesce	Alemainisc (adj.)
Alemainnisce	Alemainisc (adj.)
Alemains	Alemainisc (adj.)
Alemanisce	Alemainisc (adj.)
a-leop	aleop (v. (p.t.)
alesen	alesen (v.1)
alfene	elf (n.)
Alfinge	Alfing (n.)
Alfred	Alfred (n.)
aliğen	aliğen (v.)
aliğene	aliğen (v.)
aliğene	aliğien (v.)
alife	alive (adv. & adj.)
a-ligge	aleien (v.)
alihte	alighten (v.1)
alihten	alighten (v.1)
alisden	alesen (v.1)
aliue	alive (adv. & adj.)
a-liue	alive (adv. & adj.)
Alixandre	Alexander (n.)
alken	ech (pron.)
all	al (lim. adj. & n.)
alle	al (lim. adj. & n.)
Allec	Allec (n.)
Allemaine	Alemaine (n.)
allen	al (lim. adj. & n.)
alles	al (lim. adj. & n.)
allunge	allinge(s (adv.)
Almainnisce	Alemainisc (adj.)
almes-monnes	almes(se-man (n.)
al-mihten	al-mighti (adj. & n.)
al-mihti	al-mighti (adj. & n.)
almihtie	al-mighti (adj. & n.)
almiten	al-mighti (adj. & n.)
alne	al (lim. adj. & n.)
aloğede	alothen (v.)
a-lomp	alomp (v. (p.sg.)
alond	lond (n.) + on
alpie	on-lepi (adj.)
alræ	al (lim. adj. & n.)
alre	al (lim. adj. & n.)
alreforwarde	alre-forwarde (n.)
al-sa	also (adv.)
alse	also (adv.)
alse	as (conj.)
al-se	also (adv.)
also	also (adv.)
also	as (conj.)
al-so	also (adv.)
alswa	also (adv.)
alswa	as (conj.)
al-swa	also (adv.)
al-şeodene	alşeodene (n. (gen. pl.)
al-şeodisc	alşeodisc (adj.)
alue	elf (n.)
aluen	elf (n.)
Aluerne	Auvergne (n.)
aluisc	elvish (adj.)
Aluric	Alfric (n.)
Aluriche	Alfric (n.)
al-waldinde	al-welding (ppl.)
am	ben (v.)
amadde	amad (adj.)
amærde	amerren (v.)
amærden	amerren (v.)
amær?e	amorwe(n (adv.)
amærre	amerren (v.)
amærred	amerren (v.)
amærwe	amorwe(n (adv.)
Amalæh	Amalekites (n.)
a-marden	amerren (v.)
amare	mor(e (n.3)
A-mar?e	amorwe(n (adv.)
Amar?en	amorwe(n (adv.)
A-mar?en	amorwe(n (adv.)
A-marewen	amorwe(n (adv.)
amarred	amerren (v.)
amarren	amerren (v.)
amarwe	amorwe(n (adv.)
a-marwe	amorwe(n (adv.)
amarwen	amorwe(n (adv.)
A-marwen	amorwe(n (adv.)
