A_Poetry,A01,A01.001_GenA_B_T00010.txt,4576,2773,17094
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,555,0.0324675
2,on,<code>on</code>,452,0.0264420
3,&thorn;a,<code>&amp;t;a</code>,358,0.0209430
4,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,288,0.0168480
5,him,<code>him</code>,258,0.0150930
6,&thorn;e,<code>&amp;t;e</code>,203,0.0118755
7,he,<code>he</code>,201,0.0117585
8,his,<code>his</code>,188,0.0109980
9,ic,<code>ic</code>,172,0.0100620
10,to,<code>to</code>,160,0.0093600
11,ne,<code>ne</code>,148,0.0086580
12,mid,<code>mid</code>,143,0.0083655
13,&thorn;u,<code>&amp;t;u</code>,140,0.0081900
14,w&aelig;s,<code>w&amp;ae;s</code>,132,0.0077220
15,se,<code>se</code>,129,0.0075465
16,swa,<code>swa</code>,120,0.0070200
17,hie,<code>hie</code>,117,0.0068445
18,me,<code>me</code>,102,0.0059670
19,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,96,0.0056160
19,&thorn;am,<code>&amp;t;am</code>,96,0.0056160
21,of,<code>of</code>,91,0.0053235
22,ac,<code>ac</code>,73,0.0042705
23,&thorn;urh,<code>&amp;t;urh</code>,63,0.0036855
23,nu,<code>nu</code>,63,0.0036855
25,si&eth;&eth;an,<code>si&amp;d;&amp;d;an</code>,61,0.0035685
26,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,56,0.0032760
26,hine,<code>hine</code>,56,0.0032760
28,abraham,<code>abraham</code>,55,0.0032175
29,god,<code>god</code>,54,0.0031590
30,heo,<code>heo</code>,51,0.0029835
31,h&aelig;fde,<code>h&amp;ae;fde</code>,47,0.0027495
32,is,<code>is</code>,46,0.0026910
32,under,<code>under</code>,46,0.0026910
32,wi&eth;,<code>wi&amp;d;</code>,46,0.0026910
32,wordum,<code>wordum</code>,46,0.0026910
36,waldend,<code>waldend</code>,45,0.0026325
37,bearn,<code>bearn</code>,44,0.0025740
37,eor&eth;an,<code>eor&amp;d;an</code>,44,0.0025740
37,sunu,<code>sunu</code>,44,0.0025740
40,godes,<code>godes</code>,43,0.0025155
41,&eth;a,<code>&amp;d;a</code>,42,0.0024570
41,drihten,<code>drihten</code>,42,0.0024570
41,for,<code>for</code>,42,0.0024570
41,heora,<code>heora</code>,42,0.0024570
45,&aelig;fter,<code>&amp;ae;fter</code>,41,0.0023985
45,ofer,<code>ofer</code>,41,0.0023985
47,&aelig;r,<code>&amp;ae;r</code>,39,0.0022815
47,m&aelig;g,<code>m&amp;ae;g</code>,39,0.0022815
49,gif,<code>gif</code>,38,0.0022230
49,w&aelig;ron,<code>w&amp;ae;ron</code>,38,0.0022230
51,wif,<code>wif</code>,37,0.0021645
52,eft,<code>eft</code>,36,0.0021060
52,gewat,<code>gewat</code>,36,0.0021060
52,her,<code>her</code>,36,0.0021060
55,&thorn;onne,<code>&amp;t;onne</code>,34,0.0019890
56,gode,<code>gode</code>,33,0.0019305
56,o&eth;&thorn;&aelig;t,<code>o&amp;d;&amp;t;&amp;ae;t</code>,33,0.0019305
58,frea,<code>frea</code>,32,0.0018720
58,from,<code>from</code>,32,0.0018720
60,for&eth;,<code>for&amp;d;</code>,31,0.0018135
