A_Poetry,A01,A01.002_Ex_T00020.txt,1597,1166,2975
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,on,<code>on</code>,78,0.0262185
2,w&aelig;s,<code>w&amp;ae;s</code>,40,0.0134454
3,him,<code>him</code>,34,0.0114286
4,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,33,0.0110924
4,&thorn;a,<code>&amp;t;a</code>,33,0.0110924
4,and,<code>and</code>,33,0.0110924
7,he,<code>he</code>,30,0.0100840
8,ofer,<code>ofer</code>,26,0.0087395
9,hie,<code>hie</code>,24,0.0080672
9,ne,<code>ne</code>,24,0.0080672
11,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,19,0.0063866
11,to,<code>to</code>,19,0.0063866
13,mid,<code>mid</code>,18,0.0060504
13,se,<code>se</code>,18,0.0060504
15,&aelig;fter,<code>&amp;ae;fter</code>,17,0.0057143
15,in,<code>in</code>,17,0.0057143
17,&thorn;am,<code>&amp;t;am</code>,15,0.0050420
17,m&aelig;st,<code>m&amp;ae;st</code>,15,0.0050420
17,swa,<code>swa</code>,15,0.0050420
20,his,<code>his</code>,12,0.0040336
20,si&eth;&eth;an,<code>si&amp;d;&amp;d;an</code>,12,0.0040336
22,god,<code>god</code>,11,0.0036975
22,h&aelig;fde,<code>h&amp;ae;fde</code>,11,0.0036975
22,w&aelig;ron,<code>w&amp;ae;ron</code>,11,0.0036975
25,&eth;e,<code>&amp;d;e</code>,10,0.0033613
25,drihten,<code>drihten</code>,10,0.0033613
25,is,<code>is</code>,10,0.0033613
25,m&aelig;gen,<code>m&amp;ae;gen</code>,10,0.0033613
29,&thorn;e,<code>&amp;t;e</code>,9,0.0030252
29,folc,<code>folc</code>,9,0.0030252
29,for,<code>for</code>,9,0.0030252
29,halige,<code>halige</code>,9,0.0030252
29,moyses,<code>moyses</code>,9,0.0030252
29,up,<code>up</code>,9,0.0030252
35,fela,<code>fela</code>,8,0.0026891
35,ge,<code>ge</code>,8,0.0026891
35,godes,<code>godes</code>,8,0.0026891
