A_Poetry,A01,A01.003_Dan_T00030.txt,1727,1156,4472
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,125,0.0279517
2,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,96,0.0214669
3,&thorn;a,<code>&amp;t;a</code>,92,0.0205725
4,on,<code>on</code>,89,0.0199016
5,him,<code>him</code>,76,0.0169946
6,to,<code>to</code>,62,0.0138640
7,he,<code>he</code>,59,0.0131932
8,in,<code>in</code>,55,0.0122987
9,hie,<code>hie</code>,52,0.0116279
10,se,<code>se</code>,50,0.0111807
11,&thorn;am,<code>&amp;t;am</code>,49,0.0109571
11,w&aelig;s,<code>w&amp;ae;s</code>,49,0.0109571
13,&thorn;e,<code>&amp;t;e</code>,45,0.0100626
14,ne,<code>ne</code>,42,0.0093918
15,swa,<code>swa</code>,39,0.0087209
16,&eth;a,<code>&amp;d;a</code>,37,0.0082737
17,his,<code>his</code>,31,0.0069320
18,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,26,0.0058140
19,&thorn;urh,<code>&amp;t;urh</code>,25,0.0055903
20,for,<code>for</code>,23,0.0051431
21,&thorn;u,<code>&amp;t;u</code>,22,0.0049195
21,weard,<code>weard</code>,22,0.0049195
23,&eth;e,<code>&amp;d;e</code>,20,0.0044723
23,drihten,<code>drihten</code>,20,0.0044723
25,wear&eth;,<code>wear&amp;d;</code>,19,0.0042487
26,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,18,0.0040250
26,ac,<code>ac</code>,18,0.0040250
26,godes,<code>godes</code>,18,0.0040250
26,o&eth;&thorn;&aelig;t,<code>o&amp;d;&amp;t;&amp;ae;t</code>,18,0.0040250
26,of,<code>of</code>,18,0.0040250
26,ofer,<code>ofer</code>,18,0.0040250
32,babilone,<code>babilone</code>,16,0.0035778
32,god,<code>god</code>,16,0.0035778
34,&thorn;ec,<code>&amp;t;ec</code>,15,0.0033542
34,si&eth;&eth;an,<code>si&amp;d;&amp;d;an</code>,15,0.0033542
36,het,<code>het</code>,14,0.0031306
36,w&aelig;ron,<code>w&amp;ae;ron</code>,14,0.0031306
