A_Poetry,A01,A01.004_Sat_T00040.txt,1586,1022,4385
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,132,0.0301026
2,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,112,0.0255416
3,on,<code>on</code>,81,0.0184721
4,&thorn;a,<code>&amp;t;a</code>,78,0.0177879
5,in,<code>in</code>,67,0.0152794
5,to,<code>to</code>,67,0.0152794
7,he,<code>he</code>,58,0.0132269
8,ic,<code>ic</code>,55,0.0125428
9,mid,<code>mid</code>,47,0.0107184
10,him,<code>him</code>,40,0.0091220
11,ne,<code>ne</code>,39,0.0088940
12,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,37,0.0084379
12,is,<code>is</code>,37,0.0084379
14,se,<code>se</code>,36,0.0082098
15,we,<code>we</code>,34,0.0077537
16,w&aelig;s,<code>w&amp;ae;s</code>,32,0.0072976
17,drihten,<code>drihten</code>,31,0.0070696
17,nu,<code>nu</code>,31,0.0070696
19,swa,<code>swa</code>,28,0.0063854
20,ham,<code>ham</code>,27,0.0061574
21,&aelig;r,<code>&amp;ae;r</code>,25,0.0057013
21,&thorn;e,<code>&amp;t;e</code>,25,0.0057013
21,&thorn;onne,<code>&amp;t;onne</code>,25,0.0057013
24,wuldres,<code>wuldres</code>,24,0.0054732
25,god,<code>god</code>,23,0.0052452
25,his,<code>his</code>,23,0.0052452
25,us,<code>us</code>,23,0.0052452
28,up,<code>up</code>,21,0.0047891
29,&eth;e,<code>&amp;d;e</code>,20,0.0045610
29,engla,<code>engla</code>,20,0.0045610
29,helle,<code>helle</code>,20,0.0045610
29,of,<code>of</code>,20,0.0045610
33,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,19,0.0043330
33,godes,<code>godes</code>,19,0.0043330
35,&thorn;urh,<code>&amp;t;urh</code>,18,0.0041049
36,for,<code>for</code>,17,0.0038769
36,heo,<code>heo</code>,17,0.0038769
38,&aelig;fre,<code>&amp;ae;fre</code>,15,0.0034208
38,&thorn;am,<code>&amp;t;am</code>,15,0.0034208
38,&thorn;u,<code>&amp;t;u</code>,15,0.0034208
41,me,<code>me</code>,14,0.0031927
42,&thorn;one,<code>&amp;t;one</code>,13,0.0029647
42,ealle,<code>ealle</code>,13,0.0029647
42,ece,<code>ece</code>,13,0.0029647
42,geond,<code>geond</code>,13,0.0029647
42,hie,<code>hie</code>,13,0.0029647
47,seolfa,<code>seolfa</code>,12,0.0027366
47,uppe,<code>uppe</code>,12,0.0027366
47,wordum,<code>wordum</code>,12,0.0027366
