B_Prose,B01,B01.001.001_AECHom_I__Pref__T02040.txt,477,340,1035
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,&amp;,<code>&amp;amp;</code>,49,0.0473430
2,he,<code>he</code>,28,0.0270531
3,on,<code>on</code>,26,0.0251208
4,his,<code>his</code>,25,0.0241546
5,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,23,0.0222222
6,&eth;e,<code>&amp;d;e</code>,22,0.0212560
7,to,<code>to</code>,19,0.0183575
8,se,<code>se</code>,18,0.0173913
9,&eth;a,<code>&amp;d;a</code>,15,0.0144928
10,swa,<code>swa</code>,14,0.0135266
11,ic,<code>ic</code>,13,0.0125604
12,&thorn;e,<code>&amp;t;e</code>,12,0.0115942
12,for,<code>for</code>,12,0.0115942
14,&thorn;a,<code>&amp;t;a</code>,11,0.0106280
14,ne,<code>ne</code>,11,0.0106280
16,&thorn;urh,<code>&amp;t;urh</code>,10,0.0096618
17,god,<code>god</code>,9,0.0086957
18,ac,<code>ac</code>,8,0.0077295
18,is,<code>is</code>,8,0.0077295
20,&eth;urh,<code>&amp;d;urh</code>,7,0.0067633
20,&thorn;am,<code>&amp;t;am</code>,7,0.0067633
20,&thorn;onne,<code>&amp;t;onne</code>,7,0.0067633
20,bi&eth;,<code>bi&amp;d;</code>,7,0.0067633
20,fram,<code>fram</code>,7,0.0067633
20,gif,<code>gif</code>,7,0.0067633
20,godes,<code>godes</code>,7,0.0067633
20,heora,<code>heora</code>,7,0.0067633
20,hi,<code>hi</code>,7,0.0067633
29,&aelig;r,<code>&amp;ae;r</code>,6,0.0057971
29,&eth;an,<code>&amp;d;an</code>,6,0.0057971
29,buton,<code>buton</code>,6,0.0057971
29,deofol,<code>deofol</code>,6,0.0057971
29,of,<code>of</code>,6,0.0057971
29,sylf,<code>sylf</code>,6,0.0057971
35,him,<code>him</code>,5,0.0048309
35,hit,<code>hit</code>,5,0.0048309
35,lare,<code>lare</code>,5,0.0048309
35,swilce,<code>swilce</code>,5,0.0048309
39,anum,<code>anum</code>,4,0.0038647
39,beo&eth;,<code>beo&amp;d;</code>,4,0.0038647
39,beon,<code>beon</code>,4,0.0038647
39,drihten,<code>drihten</code>,4,0.0038647
39,eac,<code>eac</code>,4,0.0038647
39,fela,<code>fela</code>,4,0.0038647
39,fyr,<code>fyr</code>,4,0.0038647
39,geleafan,<code>geleafan</code>,4,0.0038647
39,ure,<code>ure</code>,4,0.0038647
39,we,<code>we</code>,4,0.0038647
39,wile,<code>wile</code>,4,0.0038647
39,wundra,<code>wundra</code>,4,0.0038647
51,&aelig;lmihtiga,<code>&amp;ae;lmihtiga</code>,3,0.0028986
51,&eth;am,<code>&amp;d;am</code>,3,0.0028986
51,&eth;eah,<code>&amp;d;eah</code>,3,0.0028986
51,&eth;u,<code>&amp;d;u</code>,3,0.0028986
51,antecrist,<code>antecrist</code>,3,0.0028986
51,arleasa,<code>arleasa</code>,3,0.0028986
51,crist,<code>crist</code>,3,0.0028986
51,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,3,0.0028986
51,gecorenan,<code>gecorenan</code>,3,0.0028986
51,gehwa,<code>gehwa</code>,3,0.0028986
51,gode,<code>gode</code>,3,0.0028986
51,m&aelig;g,<code>m&amp;ae;g</code>,3,0.0028986
51,manna,<code>manna</code>,3,0.0028986
51,mannum,<code>mannum</code>,3,0.0028986
51,me,<code>me</code>,3,0.0028986
51,na,<code>na</code>,3,0.0028986
51,nu,<code>nu</code>,3,0.0028986
51,sind,<code>sind</code>,3,0.0028986
51,swylce,<code>swylce</code>,3,0.0028986
