B_Prose,B01,B01.001.013.002_AECHom_I__12__Pref__T02180.txt,168,123,276
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,&amp;,<code>&amp;amp;</code>,18,0.0652174
2,ne,<code>ne</code>,15,0.0543478
3,&eth;u,<code>&amp;d;u</code>,6,0.0217391
3,god,<code>god</code>,6,0.0217391
5,he,<code>he</code>,5,0.0181159
5,mid,<code>mid</code>,5,0.0181159
5,on,<code>on</code>,5,0.0181159
5,se,<code>se</code>,5,0.0181159
5,to,<code>to</code>,5,0.0181159
10,bec,<code>bec</code>,4,0.0144928
10,hi,<code>hi</code>,4,0.0144928
10,scolde,<code>scolde</code>,4,0.0144928
10,w&aelig;s,<code>w&amp;ae;s</code>,4,0.0144928
14,&eth;e,<code>&amp;d;e</code>,3,0.0108696
14,fif,<code>fif</code>,3,0.0108696
14,is,<code>is</code>,3,0.0108696
17,&eth;&aelig;re,<code>&amp;d;&amp;ae;re</code>,2,0.0072464
17,&eth;a,<code>&amp;d;a</code>,2,0.0072464
17,&thorn;&aelig;m,<code>&amp;t;&amp;ae;m</code>,2,0.0072464
17,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,2,0.0072464
17,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,2,0.0072464
17,&thorn;a,<code>&amp;t;a</code>,2,0.0072464
17,&thorn;e,<code>&amp;t;e</code>,2,0.0072464
17,&thorn;one,<code>&amp;t;one</code>,2,0.0072464
17,beo,<code>beo</code>,2,0.0072464
17,eac,<code>eac</code>,2,0.0072464
17,f&aelig;der,<code>f&amp;ae;der</code>,2,0.0072464
17,folce,<code>folce</code>,2,0.0072464
17,folces,<code>folces</code>,2,0.0072464
17,gehwa,<code>gehwa</code>,2,0.0072464
17,gif,<code>gif</code>,2,0.0072464
17,gode,<code>gode</code>,2,0.0072464
17,godes,<code>godes</code>,2,0.0072464
17,his,<code>his</code>,2,0.0072464
17,hund,<code>hund</code>,2,0.0072464
17,man,<code>man</code>,2,0.0072464
17,mann,<code>mann</code>,2,0.0072464
17,manna,<code>manna</code>,2,0.0072464
17,mannes,<code>mannes</code>,2,0.0072464
17,mete,<code>mete</code>,2,0.0072464
17,moder,<code>moder</code>,2,0.0072464
17,nan,<code>nan</code>,2,0.0072464
17,o&eth;res,<code>o&amp;d;res</code>,2,0.0072464
17,sette,<code>sette</code>,2,0.0072464
17,we,<code>we</code>,2,0.0072464
