B_Prose,B01,B01.001.015_AECHom_I__14.1_T02200.txt,851,578,2434
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,&amp;,<code>&amp;amp;</code>,120,0.0493016
2,&thorn;a,<code>&amp;t;a</code>,63,0.0258833
3,to,<code>to</code>,57,0.0234182
4,&thorn;e,<code>&amp;t;e</code>,47,0.0193098
5,he,<code>he</code>,46,0.0188989
5,on,<code>on</code>,46,0.0188989
7,hi,<code>hi</code>,45,0.0184881
8,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,44,0.0180772
9,se,<code>se</code>,38,0.0156122
10,mid,<code>mid</code>,34,0.0139688
11,his,<code>his</code>,32,0.0131471
12,we,<code>we</code>,31,0.0127362
13,swa,<code>swa</code>,29,0.0119145
14,for,<code>for</code>,28,0.0115037
15,&thorn;am,<code>&amp;t;am</code>,25,0.0102712
16,godes,<code>godes</code>,23,0.0094495
17,is,<code>is</code>,22,0.0090386
17,ne,<code>ne</code>,22,0.0090386
19,&thorn;one,<code>&amp;t;one</code>,21,0.0086278
19,ac,<code>ac</code>,21,0.0086278
21,&thorn;onne,<code>&amp;t;onne</code>,19,0.0078061
22,&eth;a,<code>&amp;d;a</code>,18,0.0073952
22,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,18,0.0073952
22,him,<code>him</code>,18,0.0073952
25,&eth;e,<code>&amp;d;e</code>,16,0.0065735
25,cristes,<code>cristes</code>,16,0.0065735
27,&eth;an,<code>&amp;d;an</code>,15,0.0061627
27,assan,<code>assan</code>,15,0.0061627
29,&eth;am,<code>&amp;d;am</code>,14,0.0057518
29,w&aelig;s,<code>w&amp;ae;s</code>,14,0.0057518
31,bi&eth;,<code>bi&amp;d;</code>,13,0.0053410
31,folc,<code>folc</code>,13,0.0053410
31,heora,<code>heora</code>,13,0.0053410
31,of,<code>of</code>,13,0.0053410
35,&thorn;urh,<code>&amp;t;urh</code>,12,0.0049302
35,ealle,<code>ealle</code>,12,0.0049302
35,ge,<code>ge</code>,12,0.0049302
38,&aelig;r,<code>&amp;ae;r</code>,11,0.0045193
38,crist,<code>crist</code>,11,0.0045193
38,criste,<code>criste</code>,11,0.0045193
38,dea&eth;e,<code>dea&amp;d;e</code>,11,0.0045193
38,hine,<code>hine</code>,11,0.0045193
43,and,<code>and</code>,10,0.0041085
43,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,10,0.0041085
43,god,<code>god</code>,10,0.0041085
46,&eth;&aelig;re,<code>&amp;d;&amp;ae;re</code>,9,0.0036976
46,gif,<code>gif</code>,9,0.0036976
46,nu,<code>nu</code>,9,0.0036976
46,us,<code>us</code>,9,0.0036976
50,deoful,<code>deoful</code>,8,0.0032868
50,folce,<code>folce</code>,8,0.0032868
50,geleafan,<code>geleafan</code>,8,0.0032868
50,hlaford,<code>hlaford</code>,8,0.0032868
50,sind,<code>sind</code>,8,0.0032868
55,cw&aelig;don,<code>cw&amp;ae;don</code>,7,0.0028759
55,eac,<code>eac</code>,7,0.0028759
55,h&aelig;lend,<code>h&amp;ae;lend</code>,7,0.0028759
55,na,<code>na</code>,7,0.0028759
55,ure,<code>ure</code>,7,0.0028759
55,w&aelig;ron,<code>w&amp;ae;ron</code>,7,0.0028759
61,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,6,0.0024651
61,be,<code>be</code>,6,0.0024651
61,beon,<code>beon</code>,6,0.0024651
61,com,<code>com</code>,6,0.0024651
61,folan,<code>folan</code>,6,0.0024651
61,fram,<code>fram</code>,6,0.0024651
61,reaf,<code>reaf</code>,6,0.0024651
61,sume,<code>sume</code>,6,0.0024651
