B_Prose,B01,B01.001.018.004_AECHom_I__16__App__T02240.txt,320,228,626
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,&amp;,<code>&amp;amp;</code>,29,0.0463259
2,on,<code>on</code>,22,0.0351438
3,swa,<code>swa</code>,19,0.0303514
4,of,<code>of</code>,13,0.0207668
5,to,<code>to</code>,12,0.0191693
6,hi,<code>hi</code>,11,0.0175719
7,&eth;e,<code>&amp;d;e</code>,10,0.0159744
7,we,<code>we</code>,10,0.0159744
9,&thorn;e,<code>&amp;t;e</code>,9,0.0143770
9,he,<code>he</code>,9,0.0143770
11,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,8,0.0127796
11,&thorn;am,<code>&amp;t;am</code>,8,0.0127796
13,&aelig;r,<code>&amp;ae;r</code>,7,0.0111821
13,&thorn;onne,<code>&amp;t;onne</code>,7,0.0111821
13,beo&eth;,<code>beo&amp;d;</code>,7,0.0111821
16,&thorn;a,<code>&amp;t;a</code>,6,0.0095847
16,duste,<code>duste</code>,6,0.0095847
16,ealle,<code>ealle</code>,6,0.0095847
16,eft,<code>eft</code>,6,0.0095847
16,ic,<code>ic</code>,6,0.0095847
21,&aelig;fre,<code>&amp;ae;fre</code>,5,0.0079872
21,&thorn;urh,<code>&amp;t;urh</code>,5,0.0079872
21,hw&aelig;r,<code>hw&amp;ae;r</code>,5,0.0079872
21,us,<code>us</code>,5,0.0079872
25,&eth;a,<code>&amp;d;a</code>,4,0.0063898
25,&eth;am,<code>&amp;d;am</code>,4,0.0063898
25,&thorn;as,<code>&amp;t;as</code>,4,0.0063898
25,is,<code>is</code>,4,0.0063898
25,man,<code>man</code>,4,0.0063898
25,se,<code>se</code>,4,0.0063898
25,urum,<code>urum</code>,4,0.0063898
32,&aelig;fter,<code>&amp;ae;fter</code>,3,0.0047923
32,&eth;one,<code>&amp;d;one</code>,3,0.0047923
32,acucia&eth;,<code>acucia&amp;d;</code>,3,0.0047923
32,be,<code>be</code>,3,0.0047923
32,cr&aelig;fte,<code>cr&amp;ae;fte</code>,3,0.0047923
32,dea&eth;e,<code>dea&amp;d;e</code>,3,0.0047923
32,drihten,<code>drihten</code>,3,0.0047923
32,fela,<code>fela</code>,3,0.0047923
32,fugol,<code>fugol</code>,3,0.0047923
32,full,<code>full</code>,3,0.0047923
