B_Prose,B01,B01.001.031_AECHom_I__29_T02380.txt,1065,699,3120
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,&amp;,<code>&amp;amp;</code>,134,0.0429487
2,mid,<code>mid</code>,88,0.0282051
3,&thorn;am,<code>&amp;t;am</code>,68,0.0217949
4,to,<code>to</code>,58,0.0185897
5,on,<code>on</code>,57,0.0182692
6,se,<code>se</code>,55,0.0176282
7,&eth;a,<code>&amp;d;a</code>,54,0.0173077
8,&thorn;a,<code>&amp;t;a</code>,52,0.0166667
9,ic,<code>ic</code>,50,0.0160256
10,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,46,0.0147436
10,his,<code>his</code>,46,0.0147436
12,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,45,0.0144231
13,&thorn;e,<code>&amp;t;e</code>,43,0.0137821
14,he,<code>he</code>,42,0.0134615
15,&thorn;u,<code>&amp;t;u</code>,39,0.0125000
16,hine,<code>hine</code>,33,0.0105769
17,laurentius,<code>laurentius</code>,32,0.0102564
18,ne,<code>ne</code>,31,0.0099359
19,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,26,0.0083333
20,&eth;u,<code>&amp;d;u</code>,25,0.0080128
21,decius,<code>decius</code>,24,0.0076923
22,hi,<code>hi</code>,23,0.0073718
23,&eth;e,<code>&amp;d;e</code>,21,0.0067308
24,me,<code>me</code>,19,0.0060897
25,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,18,0.0057692
25,&thorn;one,<code>&amp;t;one</code>,18,0.0057692
27,het,<code>het</code>,17,0.0054487
27,him,<code>him</code>,17,0.0054487
29,andwyrde,<code>andwyrde</code>,16,0.0051282
29,halgan,<code>halgan</code>,16,0.0051282
29,swa,<code>swa</code>,16,0.0051282
32,for,<code>for</code>,14,0.0044872
33,&thorn;inum,<code>&amp;t;inum</code>,13,0.0041667
33,casere,<code>casere</code>,13,0.0041667
33,gode,<code>gode</code>,13,0.0041667
33,godes,<code>godes</code>,13,0.0041667
33,w&aelig;s,<code>w&amp;ae;s</code>,13,0.0041667
33,ypolitus,<code>ypolitus</code>,13,0.0041667
39,eadiga,<code>eadiga</code>,11,0.0035256
39,nu,<code>nu</code>,11,0.0035256
41,&thorn;ine,<code>&amp;t;ine</code>,10,0.0032051
41,biscop,<code>biscop</code>,10,0.0032051
41,clypode,<code>clypode</code>,10,0.0032051
41,gif,<code>gif</code>,10,0.0032051
41,godum,<code>godum</code>,10,0.0032051
41,heora,<code>heora</code>,10,0.0032051
47,&aelig;fter,<code>&amp;ae;fter</code>,9,0.0028846
47,&thorn;an,<code>&amp;t;an</code>,9,0.0028846
47,&thorn;urh,<code>&amp;t;urh</code>,9,0.0028846
47,geoffra,<code>geoffra</code>,9,0.0028846
47,hw&aelig;t,<code>hw&amp;ae;t</code>,9,0.0028846
47,so&eth;lice,<code>so&amp;d;lice</code>,9,0.0028846
47,wear&eth;,<code>wear&amp;d;</code>,9,0.0028846
54,caseres,<code>caseres</code>,8,0.0025641
54,ge,<code>ge</code>,8,0.0025641
54,is,<code>is</code>,8,0.0025641
54,ma&eth;mas,<code>ma&amp;d;mas</code>,8,0.0025641
54,ualerianus,<code>ualerianus</code>,8,0.0025641
54,witodlice,<code>witodlice</code>,8,0.0025641
60,be,<code>be</code>,7,0.0022436
60,cristen,<code>cristen</code>,7,0.0022436
60,d&aelig;ge,<code>d&amp;ae;ge</code>,7,0.0022436
60,f&aelig;der,<code>f&amp;ae;der</code>,7,0.0022436
60,god,<code>god</code>,7,0.0022436
60,stemne,<code>stemne</code>,7,0.0022436
60,urum,<code>urum</code>,7,0.0022436
60,ylcan,<code>ylcan</code>,7,0.0022436
68,&thorn;&aelig;ra,<code>&amp;t;&amp;ae;ra</code>,6,0.0019231
68,&thorn;ysum,<code>&amp;t;ysum</code>,6,0.0019231
68,beo,<code>beo</code>,6,0.0019231
68,cristes,<code>cristes</code>,6,0.0019231
68,cwearterne,<code>cwearterne</code>,6,0.0019231
68,diacon,<code>diacon</code>,6,0.0019231
68,eom,<code>eom</code>,6,0.0019231
68,fram,<code>fram</code>,6,0.0019231
68,halga,<code>halga</code>,6,0.0019231
68,lac,<code>lac</code>,6,0.0019231
68,laurentium,<code>laurentium</code>,6,0.0019231
68,min,<code>min</code>,6,0.0019231
68,of,<code>of</code>,6,0.0019231
68,tintregum,<code>tintregum</code>,6,0.0019231
68,ure,<code>ure</code>,6,0.0019231
68,us,<code>us</code>,6,0.0019231
68,we,<code>we</code>,6,0.0019231
85,&aelig;tforan,<code>&amp;ae;tforan</code>,5,0.0016026
85,&thorn;isum,<code>&amp;t;isum</code>,5,0.0016026
85,ac,<code>ac</code>,5,0.0016026
85,cempan,<code>cempan</code>,5,0.0016026
85,crist,<code>crist</code>,5,0.0016026
85,cy&thorn;ere,<code>cy&amp;t;ere</code>,5,0.0016026
85,diacone,<code>diacone</code>,5,0.0016026
85,eadigan,<code>eadigan</code>,5,0.0016026
