B_Prose,B01,B01.002.010_AECHom_II__9_T02600.txt,998,712,2402
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,114,0.0474604
2,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,68,0.0283097
2,he,<code>he</code>,68,0.0283097
4,on,<code>on</code>,54,0.0224813
5,to,<code>to</code>,51,0.0212323
6,&eth;a,<code>&amp;d;a</code>,46,0.0191507
7,swa,<code>swa</code>,44,0.0183181
8,his,<code>his</code>,42,0.0174854
9,mid,<code>mid</code>,39,0.0162365
10,&eth;e,<code>&amp;d;e</code>,36,0.0149875
11,&eth;am,<code>&amp;d;am</code>,32,0.0133222
12,se,<code>se</code>,31,0.0129059
13,gregorius,<code>gregorius</code>,22,0.0091590
14,hi,<code>hi</code>,21,0.0087427
15,godes,<code>godes</code>,17,0.0070774
15,him,<code>him</code>,17,0.0070774
17,&eth;&aelig;re,<code>&amp;d;&amp;ae;re</code>,16,0.0066611
17,&thorn;a,<code>&amp;t;a</code>,16,0.0066611
17,for,<code>for</code>,16,0.0066611
17,we,<code>we</code>,16,0.0066611
21,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,15,0.0062448
21,ne,<code>ne</code>,15,0.0062448
23,w&aelig;s,<code>w&amp;ae;s</code>,13,0.0054122
24,&eth;isum,<code>&amp;d;isum</code>,12,0.0049958
24,ac,<code>ac</code>,12,0.0049958
24,hine,<code>hine</code>,12,0.0049958
27,of,<code>of</code>,11,0.0045795
28,&aelig;fter,<code>&amp;ae;fter</code>,10,0.0041632
28,&eth;an,<code>&amp;d;an</code>,10,0.0041632
28,&thorn;e,<code>&amp;t;e</code>,10,0.0041632
28,heora,<code>heora</code>,10,0.0041632
32,folc,<code>folc</code>,9,0.0037469
32,w&aelig;re,<code>w&amp;ae;re</code>,9,0.0037469
32,w&aelig;ron,<code>w&amp;ae;ron</code>,9,0.0037469
35,&eth;eode,<code>&amp;d;eode</code>,8,0.0033306
35,&thorn;urh,<code>&amp;t;urh</code>,8,0.0033306
35,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,8,0.0033306
35,hw&aelig;t,<code>hw&amp;ae;t</code>,8,0.0033306
35,ic,<code>ic</code>,8,0.0033306
35,is,<code>is</code>,8,0.0033306
35,papan,<code>papan</code>,8,0.0033306
35,uton,<code>uton</code>,8,0.0033306
43,&aelig;r,<code>&amp;ae;r</code>,7,0.0029142
43,augustinus,<code>augustinus</code>,7,0.0029142
43,be,<code>be</code>,7,0.0029142
43,ge,<code>ge</code>,7,0.0029142
43,gode,<code>gode</code>,7,0.0029142
43,sind,<code>sind</code>,7,0.0029142
43,sylf,<code>sylf</code>,7,0.0029142
43,ure,<code>ure</code>,7,0.0029142
43,us,<code>us</code>,7,0.0029142
52,&aelig;t,<code>&amp;ae;t</code>,6,0.0024979
52,&eth;one,<code>&amp;d;one</code>,6,0.0024979
52,&thorn;one,<code>&amp;t;one</code>,6,0.0024979
52,angelcynne,<code>angelcynne</code>,6,0.0024979
52,asende,<code>asende</code>,6,0.0024979
52,befran,<code>befran</code>,6,0.0024979
52,hu,<code>hu</code>,6,0.0024979
52,lifes,<code>lifes</code>,6,0.0024979
52,micclum,<code>micclum</code>,6,0.0024979
52,papa,<code>papa</code>,6,0.0024979
62,&eth;eah,<code>&amp;d;eah</code>,5,0.0020816
62,cyning,<code>cyning</code>,5,0.0020816
62,d&aelig;ge,<code>d&amp;ae;ge</code>,5,0.0020816
62,eac,<code>eac</code>,5,0.0020816
62,ecan,<code>ecan</code>,5,0.0020816
62,eow,<code>eow</code>,5,0.0020816
62,fram,<code>fram</code>,5,0.0020816
62,god,<code>god</code>,5,0.0020816
62,lare,<code>lare</code>,5,0.0020816
62,man,<code>man</code>,5,0.0020816
62,mihte,<code>mihte</code>,5,0.0020816
62,seo,<code>seo</code>,5,0.0020816
74,&eth;&aelig;ra,<code>&amp;d;&amp;ae;ra</code>,4,0.0016653
74,&eth;&aelig;s,<code>&amp;d;&amp;ae;s</code>,4,0.0016653
74,&eth;ing,<code>&amp;d;ing</code>,4,0.0016653
74,&eth;urh,<code>&amp;d;urh</code>,4,0.0016653
74,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,4,0.0016653
74,&thorn;am,<code>&amp;t;am</code>,4,0.0016653
74,&thorn;eah,<code>&amp;t;eah</code>,4,0.0016653
74,augustine,<code>augustine</code>,4,0.0016653
74,eadiga,<code>eadiga</code>,4,0.0016653
74,eallum,<code>eallum</code>,4,0.0016653
74,eft,<code>eft</code>,4,0.0016653
74,engla,<code>engla</code>,4,0.0016653
74,gecyrrednysse,<code>gecyrrednysse</code>,4,0.0016653
74,halige,<code>halige</code>,4,0.0016653
74,heortan,<code>heortan</code>,4,0.0016653
74,hit,<code>hit</code>,4,0.0016653
74,leode,<code>leode</code>,4,0.0016653
74,o&eth;,<code>o&amp;d;</code>,4,0.0016653
