B_Prose,B01,B01.002.034_AECHom_II__31-32_T02840.txt,877,622,2257
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,128,0.0567125
2,&eth;a,<code>&amp;d;a</code>,58,0.0256978
3,to,<code>to</code>,57,0.0252548
4,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,55,0.0243686
5,on,<code>on</code>,54,0.0239256
6,se,<code>se</code>,52,0.0230394
7,swa,<code>swa</code>,37,0.0163934
8,&eth;am,<code>&amp;d;am</code>,36,0.0159504
9,&eth;e,<code>&amp;d;e</code>,31,0.0137350
9,&eth;u,<code>&amp;d;u</code>,31,0.0137350
9,he,<code>he</code>,31,0.0137350
12,his,<code>his</code>,30,0.0132920
13,apostol,<code>apostol</code>,28,0.0124058
14,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,24,0.0106336
14,him,<code>him</code>,24,0.0106336
16,hi,<code>hi</code>,21,0.0093044
16,mid,<code>mid</code>,21,0.0093044
18,hine,<code>hine</code>,20,0.0088613
19,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,17,0.0075321
19,ic,<code>ic</code>,17,0.0075321
21,&thorn;a,<code>&amp;t;a</code>,16,0.0070891
21,godes,<code>godes</code>,16,0.0070891
21,we,<code>we</code>,16,0.0070891
24,apostole,<code>apostole</code>,12,0.0053168
24,heora,<code>heora</code>,12,0.0053168
26,crist,<code>crist</code>,11,0.0048737
26,is,<code>is</code>,11,0.0048737
26,me,<code>me</code>,11,0.0048737
26,nu,<code>nu</code>,11,0.0048737
30,be,<code>be</code>,10,0.0044307
30,us,<code>us</code>,10,0.0044307
32,&thorn;e,<code>&amp;t;e</code>,9,0.0039876
32,&thorn;one,<code>&amp;t;one</code>,9,0.0039876
32,&thorn;u,<code>&amp;t;u</code>,9,0.0039876
32,ealle,<code>ealle</code>,9,0.0039876
32,fram,<code>fram</code>,9,0.0039876
32,ne,<code>ne</code>,9,0.0039876
32,of,<code>of</code>,9,0.0039876
32,wear&eth;,<code>wear&amp;d;</code>,9,0.0039876
40,&eth;one,<code>&amp;d;one</code>,8,0.0035445
40,&thorn;am,<code>&amp;t;am</code>,8,0.0035445
40,dry,<code>dry</code>,8,0.0035445
40,god,<code>god</code>,8,0.0035445
40,hermogenes,<code>hermogenes</code>,8,0.0035445
40,hw&aelig;t,<code>hw&amp;ae;t</code>,8,0.0035445
40,naman,<code>naman</code>,8,0.0035445
47,&aelig;fter,<code>&amp;ae;fter</code>,7,0.0031015
47,&aelig;r,<code>&amp;ae;r</code>,7,0.0031015
47,&eth;&aelig;re,<code>&amp;d;&amp;ae;re</code>,7,0.0031015
47,casere,<code>casere</code>,7,0.0031015
47,deoflu,<code>deoflu</code>,7,0.0031015
47,for,<code>for</code>,7,0.0031015
47,het,<code>het</code>,7,0.0031015
47,samod,<code>samod</code>,7,0.0031015
55,asende,<code>asende</code>,6,0.0026584
55,cristes,<code>cristes</code>,6,0.0026584
55,eft,<code>eft</code>,6,0.0026584
55,eow,<code>eow</code>,6,0.0026584
55,ge,<code>ge</code>,6,0.0026584
55,gif,<code>gif</code>,6,0.0026584
55,gode,<code>gode</code>,6,0.0026584
55,philetus,<code>philetus</code>,6,0.0026584
55,sunu,<code>sunu</code>,6,0.0026584
64,buton,<code>buton</code>,5,0.0022153
64,halgan,<code>halgan</code>,5,0.0022153
64,iacobus,<code>iacobus</code>,5,0.0022153
64,iosias,<code>iosias</code>,5,0.0022153
64,micclum,<code>micclum</code>,5,0.0022153
64,mine,<code>mine</code>,5,0.0022153
64,philetum,<code>philetum</code>,5,0.0022153
64,w&aelig;s,<code>w&amp;ae;s</code>,5,0.0022153
72,&eth;urh,<code>&amp;d;urh</code>,4,0.0017723
72,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,4,0.0017723
72,&thorn;&aelig;ra,<code>&amp;t;&amp;ae;ra</code>,4,0.0017723
72,&thorn;us,<code>&amp;t;us</code>,4,0.0017723
72,ac,<code>ac</code>,4,0.0017723
72,andwyrde,<code>andwyrde</code>,4,0.0017723
