B_Prose,B01,B01.002.039_AECHom_II__36.2_T02890.txt,80,67,100
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,we,<code>we</code>,5,0.0500000
2,and,<code>and</code>,4,0.0400000
3,&eth;am,<code>&amp;d;am</code>,3,0.0300000
3,on,<code>on</code>,3,0.0300000
5,f&aelig;der,<code>f&amp;ae;der</code>,2,0.0200000
5,hire,<code>hire</code>,2,0.0200000
5,hit,<code>hit</code>,2,0.0200000
5,is,<code>is</code>,2,0.0200000
5,men,<code>men</code>,2,0.0200000
5,moder,<code>moder</code>,2,0.0200000
5,swa,<code>swa</code>,2,0.0200000
5,swi&eth;e,<code>swi&amp;d;e</code>,2,0.0200000
5,w&aelig;s,<code>w&amp;ae;s</code>,2,0.0200000
14,&aelig;,<code>&amp;ae;</code>,1,0.0100000
14,&aelig;fter,<code>&amp;ae;fter</code>,1,0.0100000
14,&aelig;nigum,<code>&amp;ae;nigum</code>,1,0.0100000
14,&eth;&aelig;re,<code>&amp;d;&amp;ae;re</code>,1,0.0100000
14,&eth;e,<code>&amp;d;e</code>,1,0.0100000
14,&eth;i,<code>&amp;d;i</code>,1,0.0100000
14,&eth;urh,<code>&amp;d;urh</code>,1,0.0100000
14,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,1,0.0100000
14,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,1,0.0100000
14,&thorn;e,<code>&amp;t;e</code>,1,0.0100000
14,&thorn;urh,<code>&amp;t;urh</code>,1,0.0100000
14,&thorn;y,<code>&amp;t;y</code>,1,0.0100000
14,ac,<code>ac</code>,1,0.0100000
14,acenned,<code>acenned</code>,1,0.0100000
14,andgite,<code>andgite</code>,1,0.0100000
14,anna,<code>anna</code>,1,0.0100000
14,awritan,<code>awritan</code>,1,0.0100000
14,be,<code>be</code>,1,0.0100000
14,befeallon,<code>befeallon</code>,1,0.0100000
14,buton,<code>buton</code>,1,0.0100000
14,cwe&eth;a&eth;,<code>cwe&amp;d;a&amp;d;</code>,1,0.0100000
14,d&aelig;ge,<code>d&amp;ae;ge</code>,1,0.0100000
14,d&aelig;ges,<code>d&amp;ae;ges</code>,1,0.0100000
14,de,<code>de</code>,1,0.0100000
14,eac,<code>eac</code>,1,0.0100000
14,ealdan,<code>ealdan</code>,1,0.0100000
14,ealm&aelig;st,<code>ealm&amp;ae;st</code>,1,0.0100000
14,earfo&eth;e,<code>earfo&amp;d;e</code>,1,0.0100000
14,eawf&aelig;ste,<code>eawf&amp;ae;ste</code>,1,0.0100000
14,gastlicum,<code>gastlicum</code>,1,0.0100000
14,gebyrdtide,<code>gebyrdtide</code>,1,0.0100000
14,gedwylde,<code>gedwylde</code>,1,0.0100000
14,geset,<code>geset</code>,1,0.0100000
14,gestryned,<code>gestryned</code>,1,0.0100000
14,godspel,<code>godspel</code>,1,0.0100000
14,habba&eth;,<code>habba&amp;d;</code>,1,0.0100000
14,haligra,<code>haligra</code>,1,0.0100000
14,hatte,<code>hatte</code>,1,0.0100000
14,heo,<code>heo</code>,1,0.0100000
14,hi,<code>hi</code>,1,0.0100000
14,hw&aelig;t,<code>hw&amp;ae;t</code>,1,0.0100000
14,idus,<code>idus</code>,1,0.0100000
14,ioachim,<code>ioachim</code>,1,0.0100000
14,l&aelig;s,<code>l&amp;ae;s</code>,1,0.0100000
14,l&aelig;ta&eth;,<code>l&amp;ae;ta&amp;d;</code>,1,0.0100000
14,l&aelig;wedum,<code>l&amp;ae;wedum</code>,1,0.0100000
14,langsume,<code>langsume</code>,1,0.0100000
14,manna,<code>manna</code>,1,0.0100000
14,mannum,<code>mannum</code>,1,0.0100000
14,maria,<code>maria</code>,1,0.0100000
14,marian,<code>marian</code>,1,0.0100000
14,mid,<code>mid</code>,1,0.0100000
14,na,<code>na</code>,1,0.0100000
14,naman,<code>naman</code>,1,0.0100000
14,nella&eth;,<code>nella&amp;d;</code>,1,0.0100000
14,o&eth;re,<code>o&amp;d;re</code>,1,0.0100000
14,sancta,<code>sancta</code>,1,0.0100000
14,secgan,<code>secgan</code>,1,0.0100000
14,septembris,<code>septembris</code>,1,0.0100000
14,sexta,<code>sexta</code>,1,0.0100000
14,swi&eth;or,<code>swi&amp;d;or</code>,1,0.0100000
14,to,<code>to</code>,1,0.0100000
14,trahtnunge,<code>trahtnunge</code>,1,0.0100000
14,understandenne,<code>understandenne</code>,1,0.0100000
14,uns&aelig;d,<code>uns&amp;ae;d</code>,1,0.0100000
14,wylle,<code>wylle</code>,1,0.0100000
14,ymbe,<code>ymbe</code>,1,0.0100000
