B_Prose,B01,B01.003.001_AELS__Pref__T03010.txt,203,144,373
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,&thorn;e,<code>&amp;t;e</code>,16,0.0428954
2,and,<code>and</code>,15,0.0402145
3,on,<code>on</code>,13,0.0348525
4,he,<code>he</code>,9,0.0241287
4,we,<code>we</code>,9,0.0241287
6,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,8,0.0214477
6,to,<code>to</code>,8,0.0214477
8,swa,<code>swa</code>,7,0.0187668
9,for&thorn;an,<code>for&amp;t;an</code>,5,0.0134048
9,hi,<code>hi</code>,5,0.0134048
9,his,<code>his</code>,5,0.0134048
9,is,<code>is</code>,5,0.0134048
13,&thorn;&aelig;ra,<code>&amp;t;&amp;ae;ra</code>,4,0.0107239
13,&thorn;am,<code>&amp;t;am</code>,4,0.0107239
13,halgena,<code>halgena</code>,4,0.0107239
13,him,<code>him</code>,4,0.0107239
13,mid,<code>mid</code>,4,0.0107239
13,ne,<code>ne</code>,4,0.0107239
13,wundra,<code>wundra</code>,4,0.0107239
20,&thorn;a,<code>&amp;t;a</code>,3,0.0080429
20,&thorn;as,<code>&amp;t;as</code>,3,0.0080429
20,be,<code>be</code>,3,0.0080429
20,boc,<code>boc</code>,3,0.0080429
20,fela,<code>fela</code>,3,0.0080429
20,god,<code>god</code>,3,0.0080429
20,gode,<code>gode</code>,3,0.0080429
20,h&aelig;bbe,<code>h&amp;ae;bbe</code>,3,0.0080429
20,heora,<code>heora</code>,3,0.0080429
20,hit,<code>hit</code>,3,0.0080429
20,ic,<code>ic</code>,3,0.0080429
20,leof,<code>leof</code>,3,0.0080429
20,mannum,<code>mannum</code>,3,0.0080429
20,nan,<code>nan</code>,3,0.0080429
20,nu,<code>nu</code>,3,0.0080429
20,us,<code>us</code>,3,0.0080429
36,&aelig;lmihtigan,<code>&amp;ae;lmihtigan</code>,2,0.0053619
36,&aelig;r,<code>&amp;ae;r</code>,2,0.0053619
36,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,2,0.0053619
36,&thorn;eah,<code>&amp;t;eah</code>,2,0.0053619
36,&thorn;incg,<code>&amp;t;incg</code>,2,0.0053619
36,&thorn;issere,<code>&amp;t;issere</code>,2,0.0053619
36,&thorn;rowunga,<code>&amp;t;rowunga</code>,2,0.0053619
36,&thorn;urh,<code>&amp;t;urh</code>,2,0.0053619
36,awendon,<code>awendon</code>,2,0.0053619
36,awriten,<code>awriten</code>,2,0.0053619
36,bec,<code>bec</code>,2,0.0053619
36,betwux,<code>betwux</code>,2,0.0053619
36,eac,<code>eac</code>,2,0.0053619
36,geris&eth;,<code>geris&amp;d;</code>,2,0.0053619
36,halgum,<code>halgum</code>,2,0.0053619
36,halige,<code>halige</code>,2,0.0053619
36,in,<code>in</code>,2,0.0053619
36,m&aelig;g,<code>m&amp;ae;g</code>,2,0.0053619
36,me,<code>me</code>,2,0.0053619
36,naman,<code>naman</code>,2,0.0053619
36,of,<code>of</code>,2,0.0053619
36,secge,<code>secge</code>,2,0.0053619
36,wundorlic,<code>wundorlic</code>,2,0.0053619
36,wur&eth;ia&eth;,<code>wur&amp;d;ia&amp;d;</code>,2,0.0053619
60,&aelig;&eth;elm&aelig;r,<code>&amp;ae;&amp;d;elm&amp;ae;r</code>,1,0.0026810
60,&aelig;&eth;elwerd,<code>&amp;ae;&amp;d;elwerd</code>,1,0.0026810
60,&aelig;lfric,<code>&amp;ae;lfric</code>,1,0.0026810
60,&aelig;rrum,<code>&amp;ae;rrum</code>,1,0.0026810
60,&eth;e,<code>&amp;d;e</code>,1,0.0026810
60,&eth;rowungum,<code>&amp;d;rowungum</code>,1,0.0026810
60,&eth;u,<code>&amp;d;u</code>,1,0.0026810
60,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,1,0.0026810
60,&thorn;an,<code>&amp;t;an</code>,1,0.0026810
60,&thorn;eawf&aelig;stnysse,<code>&amp;t;eawf&amp;ae;stnysse</code>,1,0.0026810
60,&thorn;egna,<code>&amp;t;egna</code>,1,0.0026810
60,&thorn;enas,<code>&amp;t;enas</code>,1,0.0026810
60,&thorn;eningmen,<code>&amp;t;eningmen</code>,1,0.0026810
60,&thorn;enungum,<code>&amp;t;enungum</code>,1,0.0026810
60,&thorn;ingion,<code>&amp;t;ingion</code>,1,0.0026810
60,&thorn;one,<code>&amp;t;one</code>,1,0.0026810
60,&thorn;onne,<code>&amp;t;onne</code>,1,0.0026810
60,&thorn;u,<code>&amp;t;u</code>,1,0.0026810
60,&thorn;yllic,<code>&amp;t;yllic</code>,1,0.0026810
60,&thorn;yssere,<code>&amp;t;yssere</code>,1,0.0026810
60,ac,<code>ac</code>,1,0.0026810
60,an,<code>an</code>,1,0.0026810
60,angelcynn,<code>angelcynn</code>,1,0.0026810
60,anum,<code>anum</code>,1,0.0026810
60,awendene,<code>awendene</code>,1,0.0026810
60,awrita&eth;,<code>awrita&amp;d;</code>,1,0.0026810
60,awritan,<code>awritan</code>,1,0.0026810
60,awriton,<code>awriton</code>,1,0.0026810
60,b&aelig;don,<code>b&amp;ae;don</code>,1,0.0026810
