B_Prose,B01,B01.003.003_AELS__Eugenia__T03030.txt,1106,783,3002
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,185,0.0616256
2,&thorn;a,<code>&amp;t;a</code>,94,0.0313125
3,on,<code>on</code>,85,0.0283145
4,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,74,0.0246502
5,hi,<code>hi</code>,69,0.0229847
6,mid,<code>mid</code>,67,0.0223185
7,to,<code>to</code>,64,0.0213191
8,heo,<code>heo</code>,56,0.0186542
9,hyre,<code>hyre</code>,48,0.0159893
10,&eth;a,<code>&amp;d;a</code>,42,0.0139907
11,&thorn;am,<code>&amp;t;am</code>,32,0.0106596
12,se,<code>se</code>,29,0.0096602
13,&thorn;e,<code>&amp;t;e</code>,27,0.0089940
14,seo,<code>seo</code>,22,0.0073284
14,swa,<code>swa</code>,22,0.0073284
16,&eth;am,<code>&amp;d;am</code>,21,0.0069953
16,eugenia,<code>eugenia</code>,21,0.0069953
16,wear&eth;,<code>wear&amp;d;</code>,21,0.0069953
19,he,<code>he</code>,18,0.0059960
20,ac,<code>ac</code>,16,0.0053298
20,w&aelig;s,<code>w&amp;ae;s</code>,16,0.0053298
22,ealle,<code>ealle</code>,15,0.0049967
22,philippus,<code>philippus</code>,15,0.0049967
24,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,14,0.0046636
24,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,14,0.0046636
24,eugenian,<code>eugenian</code>,14,0.0046636
24,ne,<code>ne</code>,14,0.0046636
28,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,13,0.0043304
28,&thorn;eah,<code>&amp;t;eah</code>,13,0.0043304
28,his,<code>his</code>,13,0.0043304
28,wolde,<code>wolde</code>,13,0.0043304
32,&thorn;urh,<code>&amp;t;urh</code>,12,0.0039973
32,cristenan,<code>cristenan</code>,12,0.0039973
32,eac,<code>eac</code>,12,0.0039973
32,het,<code>het</code>,12,0.0039973
32,him,<code>him</code>,12,0.0039973
32,w&aelig;re,<code>w&amp;ae;re</code>,12,0.0039973
38,casere,<code>casere</code>,11,0.0036642
38,halgan,<code>halgan</code>,11,0.0036642
38,heora,<code>heora</code>,11,0.0036642
38,ic,<code>ic</code>,11,0.0036642
42,for,<code>for</code>,10,0.0033311
42,m&aelig;den,<code>m&amp;ae;den</code>,10,0.0033311
44,com,<code>com</code>,9,0.0029980
44,f&aelig;der,<code>f&amp;ae;der</code>,9,0.0029980
46,&aelig;fter,<code>&amp;ae;fter</code>,8,0.0026649
46,&eth;&aelig;re,<code>&amp;d;&amp;ae;re</code>,8,0.0026649
46,crist,<code>crist</code>,8,0.0026649
46,geleafan,<code>geleafan</code>,8,0.0026649
46,hit,<code>hit</code>,8,0.0026649
46,hw&aelig;t,<code>hw&amp;ae;t</code>,8,0.0026649
46,mycclum,<code>mycclum</code>,8,0.0026649
46,sona,<code>sona</code>,8,0.0026649
54,&aelig;t,<code>&amp;ae;t</code>,7,0.0023318
54,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,7,0.0023318
54,&thorn;u,<code>&amp;t;u</code>,7,0.0023318
54,&thorn;ysum,<code>&amp;t;ysum</code>,7,0.0023318
54,byrig,<code>byrig</code>,7,0.0023318
54,gehaten,<code>gehaten</code>,7,0.0023318
54,godes,<code>godes</code>,7,0.0023318
54,lare,<code>lare</code>,7,0.0023318
