B_Prose,B01,B01.003.005_AELS__Julian_and_Basilissa__T03050.txt,1162,799,3330
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,167,0.0501502
2,&thorn;a,<code>&amp;t;a</code>,118,0.0354354
3,to,<code>to</code>,98,0.0294294
4,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,76,0.0228228
5,his,<code>his</code>,72,0.0216216
6,mid,<code>mid</code>,64,0.0192192
7,&thorn;am,<code>&amp;t;am</code>,62,0.0186186
8,on,<code>on</code>,57,0.0171171
9,&thorn;e,<code>&amp;t;e</code>,56,0.0168168
10,hi,<code>hi</code>,55,0.0165165
11,se,<code>se</code>,53,0.0159159
12,he,<code>he</code>,41,0.0123123
13,ne,<code>ne</code>,30,0.0090090
14,swa,<code>swa</code>,28,0.0084084
15,het,<code>het</code>,27,0.0081081
16,iulianus,<code>iulianus</code>,26,0.0078078
17,&eth;a,<code>&amp;d;a</code>,24,0.0072072
18,ealle,<code>ealle</code>,23,0.0069069
18,him,<code>him</code>,23,0.0069069
20,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,22,0.0066066
21,&thorn;one,<code>&amp;t;one</code>,20,0.0060060
21,heora,<code>heora</code>,20,0.0060060
23,martianus,<code>martianus</code>,19,0.0057057
23,of,<code>of</code>,19,0.0057057
23,wear&eth;,<code>wear&amp;d;</code>,19,0.0057057
26,&thorn;urh,<code>&amp;t;urh</code>,18,0.0054054
27,&eth;am,<code>&amp;d;am</code>,17,0.0051051
27,ic,<code>ic</code>,17,0.0051051
29,&thorn;u,<code>&amp;t;u</code>,16,0.0048048
29,for,<code>for</code>,16,0.0048048
29,me,<code>me</code>,16,0.0048048
32,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,15,0.0045045
32,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,15,0.0045045
34,fram,<code>fram</code>,14,0.0042042
34,halgan,<code>halgan</code>,14,0.0042042
36,ac,<code>ac</code>,13,0.0039039
37,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,12,0.0036036
37,god,<code>god</code>,12,0.0036036
37,w&aelig;s,<code>w&amp;ae;s</code>,12,0.0036036
37,we,<code>we</code>,12,0.0036036
41,hine,<code>hine</code>,11,0.0033033
41,is,<code>is</code>,11,0.0033033
41,sunu,<code>sunu</code>,11,0.0033033
41,wolde,<code>wolde</code>,11,0.0033033
45,&thorn;us,<code>&amp;t;us</code>,10,0.0030030
45,basilissa,<code>basilissa</code>,10,0.0030030
45,gif,<code>gif</code>,10,0.0030030
45,godes,<code>godes</code>,10,0.0030030
49,&aelig;fter,<code>&amp;ae;fter</code>,9,0.0027027
49,crist,<code>crist</code>,9,0.0027027
49,cwearterne,<code>cwearterne</code>,9,0.0027027
49,godum,<code>godum</code>,9,0.0027027
49,hu,<code>hu</code>,9,0.0027027
49,nu,<code>nu</code>,9,0.0027027
49,wurdon,<code>wurdon</code>,9,0.0027027
56,bi&eth;,<code>bi&amp;d;</code>,8,0.0024024
56,eac,<code>eac</code>,8,0.0024024
56,f&aelig;der,<code>f&amp;ae;der</code>,8,0.0024024
56,ge,<code>ge</code>,8,0.0024024
56,iulianum,<code>iulianum</code>,8,0.0024024
56,modor,<code>modor</code>,8,0.0024024
56,seo,<code>seo</code>,8,0.0024024
56,w&aelig;ron,<code>w&amp;ae;ron</code>,8,0.0024024
64,casere,<code>casere</code>,7,0.0021021
64,criste,<code>criste</code>,7,0.0021021
64,fyr,<code>fyr</code>,7,0.0021021
64,geleafan,<code>geleafan</code>,7,0.0021021
64,h&aelig;lend,<code>h&amp;ae;lend</code>,7,0.0021021
64,h&aelig;lende,<code>h&amp;ae;lende</code>,7,0.0021021
64,synd,<code>synd</code>,7,0.0021021
71,&aelig;r,<code>&amp;ae;r</code>,6,0.0018018
71,&thorn;is,<code>&amp;t;is</code>,6,0.0018018
71,binnan,<code>binnan</code>,6,0.0018018
71,cwellere,<code>cwellere</code>,6,0.0018018
71,drihten,<code>drihten</code>,6,0.0018018
71,eage,<code>eage</code>,6,0.0018018
71,eow,<code>eow</code>,6,0.0018018
