B_Prose,B01,B01.003.008_AELS__Agnes__T03080.txt,1206,828,3298
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,160,0.0485143
2,&thorn;a,<code>&amp;t;a</code>,91,0.0275925
3,to,<code>to</code>,73,0.0221346
4,mid,<code>mid</code>,66,0.0200121
5,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,62,0.0187993
6,on,<code>on</code>,60,0.0181928
7,&thorn;e,<code>&amp;t;e</code>,59,0.0178896
8,ic,<code>ic</code>,58,0.0175864
9,his,<code>his</code>,50,0.0151607
10,he,<code>he</code>,45,0.0136446
11,&eth;a,<code>&amp;d;a</code>,43,0.0130382
12,ne,<code>ne</code>,41,0.0124318
13,swa,<code>swa</code>,40,0.0121286
14,hi,<code>hi</code>,39,0.0118253
15,me,<code>me</code>,37,0.0112189
16,se,<code>se</code>,34,0.0103093
17,&thorn;am,<code>&amp;t;am</code>,31,0.0093996
18,him,<code>him</code>,28,0.0084900
19,hire,<code>hire</code>,27,0.0081868
20,&eth;am,<code>&amp;d;am</code>,26,0.0078836
20,heo,<code>heo</code>,26,0.0078836
22,ac,<code>ac</code>,18,0.0054579
22,agnes,<code>agnes</code>,18,0.0054579
22,hine,<code>hine</code>,18,0.0054579
25,halgan,<code>halgan</code>,17,0.0051546
25,wear&eth;,<code>wear&amp;d;</code>,17,0.0051546
27,f&aelig;der,<code>f&amp;ae;der</code>,16,0.0048514
27,w&aelig;s,<code>w&amp;ae;s</code>,16,0.0048514
29,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,15,0.0045482
29,&thorn;u,<code>&amp;t;u</code>,15,0.0045482
29,for,<code>for</code>,15,0.0045482
32,god,<code>god</code>,14,0.0042450
32,sona,<code>sona</code>,14,0.0042450
34,&eth;u,<code>&amp;d;u</code>,13,0.0039418
34,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,13,0.0039418
34,&thorn;urh,<code>&amp;t;urh</code>,13,0.0039418
34,godes,<code>godes</code>,13,0.0039418
34,is,<code>is</code>,13,0.0039418
34,seo,<code>seo</code>,13,0.0039418
40,&thorn;one,<code>&amp;t;one</code>,12,0.0036386
40,het,<code>het</code>,12,0.0036386
40,m&aelig;dene,<code>m&amp;ae;dene</code>,12,0.0036386
43,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,10,0.0030321
43,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,10,0.0030321
43,heora,<code>heora</code>,10,0.0030321
43,nu,<code>nu</code>,10,0.0030321
43,sunu,<code>sunu</code>,10,0.0030321
48,&thorn;eah,<code>&amp;t;eah</code>,9,0.0027289
48,eac,<code>eac</code>,9,0.0027289
48,of,<code>of</code>,9,0.0027289
51,&aelig;fter,<code>&amp;ae;fter</code>,8,0.0024257
51,&eth;e,<code>&amp;d;e</code>,8,0.0024257
51,&thorn;&aelig;ra,<code>&amp;t;&amp;ae;ra</code>,8,0.0024257
51,gif,<code>gif</code>,8,0.0024257
51,hu,<code>hu</code>,8,0.0024257
51,minne,<code>minne</code>,8,0.0024257
57,casere,<code>casere</code>,7,0.0021225
57,criste,<code>criste</code>,7,0.0021225
57,encgel,<code>encgel</code>,7,0.0021225
57,mihte,<code>mihte</code>,7,0.0021225
57,swi&eth;e,<code>swi&amp;d;e</code>,7,0.0021225
57,w&aelig;re,<code>w&amp;ae;re</code>,7,0.0021225
57,wurdon,<code>wurdon</code>,7,0.0021225
64,&thorn;inne,<code>&amp;t;inne</code>,6,0.0018193
64,com,<code>com</code>,6,0.0018193
64,fram,<code>fram</code>,6,0.0018193
64,hw&aelig;t,<code>hw&amp;ae;t</code>,6,0.0018193
64,m&aelig;den,<code>m&amp;ae;den</code>,6,0.0018193
64,man,<code>man</code>,6,0.0018193
70,&aelig;fre,<code>&amp;ae;fre</code>,5,0.0015161
70,&eth;one,<code>&amp;d;one</code>,5,0.0015161
70,&thorn;ine,<code>&amp;t;ine</code>,5,0.0015161
70,&thorn;onne,<code>&amp;t;onne</code>,5,0.0015161
70,&thorn;ysum,<code>&amp;t;ysum</code>,5,0.0015161
70,an,<code>an</code>,5,0.0015161
70,andwyrde,<code>andwyrde</code>,5,0.0015161
70,arn,<code>arn</code>,5,0.0015161
70,be,<code>be</code>,5,0.0015161
70,buton,<code>buton</code>,5,0.0015161
70,constantia,<code>constantia</code>,5,0.0015161
70,ealle,<code>ealle</code>,5,0.0015161
70,eom,<code>eom</code>,5,0.0015161
70,for&eth;,<code>for&amp;d;</code>,5,0.0015161
70,for&eth;an,<code>for&amp;d;an</code>,5,0.0015161
70,ge,<code>ge</code>,5,0.0015161
70,geleafan,<code>geleafan</code>,5,0.0015161
70,gode,<code>gode</code>,5,0.0015161
70,huse,<code>huse</code>,5,0.0015161
70,hyre,<code>hyre</code>,5,0.0015161
70,lufe,<code>lufe</code>,5,0.0015161
70,m&aelig;denu,<code>m&amp;ae;denu</code>,5,0.0015161
70,magon,<code>magon</code>,5,0.0015161
70,manna,<code>manna</code>,5,0.0015161
70,mine,<code>mine</code>,5,0.0015161
70,minum,<code>minum</code>,5,0.0015161
70,mode,<code>mode</code>,5,0.0015161
70,o&eth;&eth;e,<code>o&amp;d;&amp;d;e</code>,5,0.0015161
70,si&eth;&eth;an,<code>si&amp;d;&amp;d;an</code>,5,0.0015161
