B_Prose,B01,B01.003.009_AELS__Agatha__T03090.txt,761,533,1825
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,83,0.0454795
2,to,<code>to</code>,45,0.0246575
3,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,42,0.0230137
4,on,<code>on</code>,40,0.0219178
5,&thorn;a,<code>&amp;t;a</code>,38,0.0208219
6,swa,<code>swa</code>,34,0.0186301
7,&thorn;am,<code>&amp;t;am</code>,30,0.0164384
8,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,29,0.0158904
9,&thorn;e,<code>&amp;t;e</code>,28,0.0153425
10,hi,<code>hi</code>,26,0.0142466
11,agathes,<code>agathes</code>,24,0.0131507
11,mid,<code>mid</code>,24,0.0131507
13,&eth;u,<code>&amp;d;u</code>,22,0.0120548
13,ic,<code>ic</code>,22,0.0120548
15,&eth;a,<code>&amp;d;a</code>,21,0.0115068
15,se,<code>se</code>,21,0.0115068
17,heo,<code>heo</code>,17,0.0093151
18,&thorn;u,<code>&amp;t;u</code>,15,0.0082192
18,het,<code>het</code>,15,0.0082192
20,hire,<code>hire</code>,14,0.0076712
21,&eth;am,<code>&amp;d;am</code>,13,0.0071233
21,him,<code>him</code>,13,0.0071233
21,his,<code>his</code>,13,0.0071233
21,me,<code>me</code>,13,0.0071233
21,ne,<code>ne</code>,13,0.0071233
26,&eth;e,<code>&amp;d;e</code>,12,0.0065753
26,quintianus,<code>quintianus</code>,12,0.0065753
28,he,<code>he</code>,11,0.0060274
29,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,10,0.0054795
30,gif,<code>gif</code>,9,0.0049315
30,seo,<code>seo</code>,9,0.0049315
32,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,8,0.0043836
32,andwyrde,<code>andwyrde</code>,8,0.0043836
32,for,<code>for</code>,8,0.0043836
32,min,<code>min</code>,8,0.0043836
36,&thorn;urh,<code>&amp;t;urh</code>,7,0.0038356
36,crist,<code>crist</code>,7,0.0038356
36,cwearterne,<code>cwearterne</code>,7,0.0038356
36,hw&aelig;t,<code>hw&amp;ae;t</code>,7,0.0038356
36,is,<code>is</code>,7,0.0038356
36,witum,<code>witum</code>,7,0.0038356
42,&aelig;fre,<code>&amp;ae;fre</code>,6,0.0032877
42,ac,<code>ac</code>,6,0.0032877
42,cristes,<code>cristes</code>,6,0.0032877
42,godes,<code>godes</code>,6,0.0032877
42,godum,<code>godum</code>,6,0.0032877
42,m&aelig;den,<code>m&amp;ae;den</code>,6,0.0032877
42,nu,<code>nu</code>,6,0.0032877
49,agathen,<code>agathen</code>,5,0.0027397
49,be,<code>be</code>,5,0.0027397
49,beo,<code>beo</code>,5,0.0027397
49,dema,<code>dema</code>,5,0.0027397
49,ealle,<code>ealle</code>,5,0.0027397
49,fram,<code>fram</code>,5,0.0027397
49,halgan,<code>halgan</code>,5,0.0027397
49,hine,<code>hine</code>,5,0.0027397
49,of,<code>of</code>,5,0.0027397
49,w&aelig;s,<code>w&amp;ae;s</code>,5,0.0027397
59,&eth;&aelig;re,<code>&amp;d;&amp;ae;re</code>,4,0.0021918
59,&thorn;inum,<code>&amp;t;inum</code>,4,0.0021918
59,&thorn;one,<code>&amp;t;one</code>,4,0.0021918
59,arleasan,<code>arleasan</code>,4,0.0021918
59,beon,<code>beon</code>,4,0.0021918
59,com,<code>com</code>,4,0.0021918
59,drihten,<code>drihten</code>,4,0.0021918
59,eac,<code>eac</code>,4,0.0021918
59,fela,<code>fela</code>,4,0.0021918
59,hu,<code>hu</code>,4,0.0021918
59,hwi,<code>hwi</code>,4,0.0021918
59,hyre,<code>hyre</code>,4,0.0021918
59,magon,<code>magon</code>,4,0.0021918
59,mihte,<code>mihte</code>,4,0.0021918
59,mod,<code>mod</code>,4,0.0021918
59,naman,<code>naman</code>,4,0.0021918
59,wear&eth;,<code>wear&amp;d;</code>,4,0.0021918
76,&aelig;fter,<code>&amp;ae;fter</code>,3,0.0016438
76,&aelig;t,<code>&amp;ae;t</code>,3,0.0016438
76,&thorn;eah,<code>&amp;t;eah</code>,3,0.0016438
76,&thorn;in,<code>&amp;t;in</code>,3,0.0016438
76,&thorn;ine,<code>&amp;t;ine</code>,3,0.0016438
76,&thorn;us,<code>&amp;t;us</code>,3,0.0016438
76,an,<code>an</code>,3,0.0016438
76,befran,<code>befran</code>,3,0.0016438
76,binnan,<code>binnan</code>,3,0.0016438
76,breost,<code>breost</code>,3,0.0016438
76,breoste,<code>breoste</code>,3,0.0016438
76,eall,<code>eall</code>,3,0.0016438
76,eom,<code>eom</code>,3,0.0016438
76,ferde,<code>ferde</code>,3,0.0016438
76,for&eth;an,<code>for&amp;d;an</code>,3,0.0016438
76,fyr,<code>fyr</code>,3,0.0016438
76,gast,<code>gast</code>,3,0.0016438
76,gelicnysse,<code>gelicnysse</code>,3,0.0016438
76,gode,<code>gode</code>,3,0.0016438
76,hencgene,<code>hencgene</code>,3,0.0016438
76,hit,<code>hit</code>,3,0.0016438
76,life,<code>life</code>,3,0.0016438
76,mann,<code>mann</code>,3,0.0016438
76,mine,<code>mine</code>,3,0.0016438
76,minne,<code>minne</code>,3,0.0016438
76,mycel,<code>mycel</code>,3,0.0016438
76,o&eth;&eth;e,<code>o&amp;d;&amp;d;e</code>,3,0.0016438
76,sceolde,<code>sceolde</code>,3,0.0016438
76,sona,<code>sona</code>,3,0.0016438
76,sum,<code>sum</code>,3,0.0016438
76,swylce,<code>swylce</code>,3,0.0016438
76,w&aelig;lhreowlice,<code>w&amp;ae;lhreowlice</code>,3,0.0016438
76,wita,<code>wita</code>,3,0.0016438
76,ylcan,<code>ylcan</code>,3,0.0016438
110,&aelig;&eth;elborennys,<code>&amp;ae;&amp;d;elborennys</code>,2,0.0010959
110,&aelig;tstod,<code>&amp;ae;tstod</code>,2,0.0010959
110,&aelig;twindan,<code>&amp;ae;twindan</code>,2,0.0010959
110,&eth;inum,<code>&amp;d;inum</code>,2,0.0010959
110,&eth;rowigenne,<code>&amp;d;rowigenne</code>,2,0.0010959
110,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,2,0.0010959
110,&thorn;&aelig;ra,<code>&amp;t;&amp;ae;ra</code>,2,0.0010959
110,&thorn;as,<code>&amp;t;as</code>,2,0.0010959
110,&thorn;eawas,<code>&amp;t;eawas</code>,2,0.0010959
110,&thorn;inre,<code>&amp;t;inre</code>,2,0.0010959
110,&thorn;ryh,<code>&amp;t;ryh</code>,2,0.0010959
110,&thorn;ysum,<code>&amp;t;ysum</code>,2,0.0010959
110,affrodosia,<code>affrodosia</code>,2,0.0010959
110,anum,<code>anum</code>,2,0.0010959
110,apostol,<code>apostol</code>,2,0.0010959
110,arleasa,<code>arleasa</code>,2,0.0010959
110,arn,<code>arn</code>,2,0.0010959
110,awende,<code>awende</code>,2,0.0010959
110,beo&eth;,<code>beo&amp;d;</code>,2,0.0010959
110,bet&aelig;hte,<code>bet&amp;ae;hte</code>,2,0.0010959
110,blindum,<code>blindum</code>,2,0.0010959
110,burhwaru,<code>burhwaru</code>,2,0.0010959
110,byrgene,<code>byrgene</code>,2,0.0010959
110,criste,<code>criste</code>,2,0.0010959
110,cwealmb&aelig;ran,<code>cwealmb&amp;ae;ran</code>,2,0.0010959
110,d&aelig;ge,<code>d&amp;ae;ge</code>,2,0.0010959
110,deman,<code>deman</code>,2,0.0010959
110,deofles,<code>deofles</code>,2,0.0010959
110,dohtra,<code>dohtra</code>,2,0.0010959
110,eadige,<code>eadige</code>,2,0.0010959
110,eala,<code>eala</code>,2,0.0010959
110,ecum,<code>ecum</code>,2,0.0010959
110,efne,<code>efne</code>,2,0.0010959
