B_Prose,B01,B01.003.010_AELS__Lucy__T03100.txt,569,416,1244
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,50,0.0401929
2,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,33,0.0265273
3,to,<code>to</code>,32,0.0257235
4,&thorn;a,<code>&amp;t;a</code>,31,0.0249196
5,&thorn;e,<code>&amp;t;e</code>,26,0.0209003
6,on,<code>on</code>,24,0.0192926
7,ne,<code>ne</code>,23,0.0184887
8,swa,<code>swa</code>,22,0.0176849
9,&thorn;u,<code>&amp;t;u</code>,20,0.0160772
10,&thorn;am,<code>&amp;t;am</code>,17,0.0136656
10,heo,<code>heo</code>,17,0.0136656
10,mid,<code>mid</code>,17,0.0136656
10,se,<code>se</code>,17,0.0136656
14,hi,<code>hi</code>,15,0.0120579
15,lucia,<code>lucia</code>,14,0.0112540
16,ac,<code>ac</code>,13,0.0104502
16,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,13,0.0104502
16,ic,<code>ic</code>,13,0.0104502
19,hire,<code>hire</code>,11,0.0088424
19,me,<code>me</code>,11,0.0088424
21,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,9,0.0072347
21,his,<code>his</code>,9,0.0072347
23,&eth;a,<code>&amp;d;a</code>,8,0.0064309
23,godes,<code>godes</code>,8,0.0064309
23,seo,<code>seo</code>,8,0.0064309
23,wear&eth;,<code>wear&amp;d;</code>,8,0.0064309
27,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,7,0.0056270
27,he,<code>he</code>,7,0.0056270
27,is,<code>is</code>,7,0.0056270
27,m&aelig;den,<code>m&amp;ae;den</code>,7,0.0056270
27,nu,<code>nu</code>,7,0.0056270
32,criste,<code>criste</code>,6,0.0048232
32,fram,<code>fram</code>,6,0.0048232
32,him,<code>him</code>,6,0.0048232
32,w&aelig;s,<code>w&amp;ae;s</code>,6,0.0048232
36,&aelig;t,<code>&amp;ae;t</code>,5,0.0040193
36,ealle,<code>ealle</code>,5,0.0040193
36,for,<code>for</code>,5,0.0040193
36,gast,<code>gast</code>,5,0.0040193
36,gif,<code>gif</code>,5,0.0040193
36,halga,<code>halga</code>,5,0.0040193
36,hit,<code>hit</code>,5,0.0040193
36,miht,<code>miht</code>,5,0.0040193
36,pascasius,<code>pascasius</code>,5,0.0040193
45,&eth;u,<code>&amp;d;u</code>,4,0.0032154
45,&thorn;eah,<code>&amp;t;eah</code>,4,0.0032154
45,&thorn;urh,<code>&amp;t;urh</code>,4,0.0032154
45,&thorn;us,<code>&amp;t;us</code>,4,0.0032154
45,&thorn;usend,<code>&amp;t;usend</code>,4,0.0032154
