B_Prose,B01,B01.003.011_AELS__Peter's_Chair__T03110.txt,850,550,2301
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,110,0.0478053
2,&thorn;a,<code>&amp;t;a</code>,80,0.0347675
3,to,<code>to</code>,73,0.0317253
4,on,<code>on</code>,60,0.0260756
5,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,46,0.0199913
5,&thorn;am,<code>&amp;t;am</code>,46,0.0199913
7,&thorn;e,<code>&amp;t;e</code>,42,0.0182529
8,he,<code>he</code>,38,0.0165146
9,se,<code>se</code>,36,0.0156454
10,hi,<code>hi</code>,29,0.0126032
10,him,<code>him</code>,29,0.0126032
12,swa,<code>swa</code>,25,0.0108648
13,his,<code>his</code>,24,0.0104302
14,mid,<code>mid</code>,23,0.0099957
15,petrus,<code>petrus</code>,22,0.0095611
16,ic,<code>ic</code>,18,0.0078227
17,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,17,0.0073881
18,ne,<code>ne</code>,16,0.0069535
18,nu,<code>nu</code>,16,0.0069535
20,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,15,0.0065189
20,ac,<code>ac</code>,15,0.0065189
20,com,<code>com</code>,15,0.0065189
20,heo,<code>heo</code>,15,0.0065189
20,hire,<code>hire</code>,15,0.0065189
25,god,<code>god</code>,14,0.0060843
26,hine,<code>hine</code>,13,0.0056497
27,&thorn;one,<code>&amp;t;one</code>,12,0.0052151
27,halga,<code>halga</code>,12,0.0052151
27,w&aelig;s,<code>w&amp;ae;s</code>,12,0.0052151
30,ealle,<code>ealle</code>,11,0.0047805
30,we,<code>we</code>,11,0.0047805
32,for,<code>for</code>,10,0.0043459
32,godes,<code>godes</code>,10,0.0043459
34,&eth;a,<code>&amp;d;a</code>,9,0.0039113
34,of,<code>of</code>,9,0.0039113
36,eode,<code>eode</code>,8,0.0034767
36,petre,<code>petre</code>,8,0.0034767
36,wolde,<code>wolde</code>,8,0.0034767
39,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,7,0.0030422
39,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,7,0.0030422
39,crist,<code>crist</code>,7,0.0030422
39,heora,<code>heora</code>,7,0.0030422
39,hw&aelig;t,<code>hw&amp;ae;t</code>,7,0.0030422
39,is,<code>is</code>,7,0.0030422
39,me,<code>me</code>,7,0.0030422
39,us,<code>us</code>,7,0.0030422
47,&aelig;fter,<code>&amp;ae;fter</code>,6,0.0026076
47,&aelig;t,<code>&amp;ae;t</code>,6,0.0026076
47,&thorn;u,<code>&amp;t;u</code>,6,0.0026076
47,&thorn;us,<code>&amp;t;us</code>,6,0.0026076
47,byrig,<code>byrig</code>,6,0.0026076
47,criste,<code>criste</code>,6,0.0026076
47,eft,<code>eft</code>,6,0.0026076
47,fulluhte,<code>fulluhte</code>,6,0.0026076
47,gast,<code>gast</code>,6,0.0026076
47,secgan,<code>secgan</code>,6,0.0026076
47,seo,<code>seo</code>,6,0.0026076
47,wif,<code>wif</code>,6,0.0026076
59,&aelig;r,<code>&amp;ae;r</code>,5,0.0021730
59,&eth;e,<code>&amp;d;e</code>,5,0.0021730
59,&thorn;urh,<code>&amp;t;urh</code>,5,0.0021730
59,an,<code>an</code>,5,0.0021730
59,aris,<code>aris</code>,5,0.0021730
59,eow,<code>eow</code>,5,0.0021730
59,for&thorn;an,<code>for&amp;t;an</code>,5,0.0021730
59,fram,<code>fram</code>,5,0.0021730
59,gehaten,<code>gehaten</code>,5,0.0021730
59,h&aelig;fde,<code>h&amp;ae;fde</code>,5,0.0021730
59,halgan,<code>halgan</code>,5,0.0021730
59,het,<code>het</code>,5,0.0021730
59,hu,<code>hu</code>,5,0.0021730
59,o&eth;&thorn;&aelig;t,<code>o&amp;d;&amp;t;&amp;ae;t</code>,5,0.0021730
59,sceolde,<code>sceolde</code>,5,0.0021730
59,sum,<code>sum</code>,5,0.0021730
59,wear&eth;,<code>wear&amp;d;</code>,5,0.0021730
76,&eth;am,<code>&amp;d;am</code>,4,0.0017384
76,&thorn;an,<code>&amp;t;an</code>,4,0.0017384
76,apostol,<code>apostol</code>,4,0.0017384
76,aras,<code>aras</code>,4,0.0017384
76,be,<code>be</code>,4,0.0017384
76,binnan,<code>binnan</code>,4,0.0017384
76,cl&aelig;nnysse,<code>cl&amp;ae;nnysse</code>,4,0.0017384
76,cornelius,<code>cornelius</code>,4,0.0017384
76,eac,<code>eac</code>,4,0.0017384
76,eadiga,<code>eadiga</code>,4,0.0017384
76,eallum,<code>eallum</code>,4,0.0017384
76,efne,<code>efne</code>,4,0.0017384
76,flaccus,<code>flaccus</code>,4,0.0017384
76,for&eth;an,<code>for&amp;d;an</code>,4,0.0017384
76,gelyfdon,<code>gelyfdon</code>,4,0.0017384
76,gewat,<code>gewat</code>,4,0.0017384
76,gode,<code>gode</code>,4,0.0017384
76,godum,<code>godum</code>,4,0.0017384
76,h&aelig;&eth;enan,<code>h&amp;ae;&amp;d;enan</code>,4,0.0017384
76,h&aelig;&thorn;enan,<code>h&amp;ae;&amp;t;enan</code>,4,0.0017384
76,halige,<code>halige</code>,4,0.0017384
76,hwi,<code>hwi</code>,4,0.0017384
76,iudeiscan,<code>iudeiscan</code>,4,0.0017384
76,lare,<code>lare</code>,4,0.0017384
76,marcellus,<code>marcellus</code>,4,0.0017384
76,mihte,<code>mihte</code>,4,0.0017384
76,petres,<code>petres</code>,4,0.0017384
76,petronella,<code>petronella</code>,4,0.0017384
76,seofon,<code>seofon</code>,4,0.0017384
76,stemn,<code>stemn</code>,4,0.0017384
76,upp,<code>upp</code>,4,0.0017384
76,worulde,<code>worulde</code>,4,0.0017384
108,&thorn;&aelig;rrihte,<code>&amp;t;&amp;ae;rrihte</code>,3,0.0013038
108,&thorn;as,<code>&amp;t;as</code>,3,0.0013038
108,&thorn;is,<code>&amp;t;is</code>,3,0.0013038
108,&thorn;riwa,<code>&amp;t;riwa</code>,3,0.0013038
108,ana,<code>ana</code>,3,0.0013038
108,ar&aelig;rde,<code>ar&amp;ae;rde</code>,3,0.0013038
108,ardlice,<code>ardlice</code>,3,0.0013038
108,bedde,<code>bedde</code>,3,0.0013038
108,cathedra,<code>cathedra</code>,3,0.0013038
108,d&aelig;g,<code>d&amp;ae;g</code>,3,0.0013038
108,d&aelig;ge,<code>d&amp;ae;ge</code>,3,0.0013038
108,ege,<code>ege</code>,3,0.0013038
108,embe,<code>embe</code>,3,0.0013038
108,f&aelig;der,<code>f&amp;ae;der</code>,3,0.0013038
108,f&aelig;t,<code>f&amp;ae;t</code>,3,0.0013038
108,fela,<code>fela</code>,3,0.0013038
108,geb&aelig;d,<code>geb&amp;ae;d</code>,3,0.0013038
108,gebigde,<code>gebigde</code>,3,0.0013038
108,gebro&eth;ra,<code>gebro&amp;d;ra</code>,3,0.0013038
108,gecl&aelig;nsode,<code>gecl&amp;ae;nsode</code>,3,0.0013038
108,gehyrdon,<code>gehyrdon</code>,3,0.0013038
108,geleafan,<code>geleafan</code>,3,0.0013038
108,geleaffullan,<code>geleaffullan</code>,3,0.0013038
108,gelyfde,<code>gelyfde</code>,3,0.0013038
108,gif,<code>gif</code>,3,0.0013038
108,h&aelig;&thorn;enum,<code>h&amp;ae;&amp;t;enum</code>,3,0.0013038
108,h&aelig;le,<code>h&amp;ae;le</code>,3,0.0013038
108,h&aelig;lend,<code>h&amp;ae;lend</code>,3,0.0013038
108,habban,<code>habban</code>,3,0.0013038
108,heofonum,<code>heofonum</code>,3,0.0013038
108,hit,<code>hit</code>,3,0.0013038
108,hiwe,<code>hiwe</code>,3,0.0013038
108,hwa,<code>hwa</code>,3,0.0013038
108,l&aelig;g,<code>l&amp;ae;g</code>,3,0.0013038
108,lic,<code>lic</code>,3,0.0013038
108,liddan,<code>liddan</code>,3,0.0013038
108,lifigendan,<code>lifigendan</code>,3,0.0013038
108,menn,<code>menn</code>,3,0.0013038
108,n&aelig;s,<code>n&amp;ae;s</code>,3,0.0013038
108,naman,<code>naman</code>,3,0.0013038
108,nytenum,<code>nytenum</code>,3,0.0013038
108,ofer,<code>ofer</code>,3,0.0013038
108,si&eth;&eth;an,<code>si&amp;d;&amp;d;an</code>,3,0.0013038
108,sona,<code>sona</code>,3,0.0013038
108,sume,<code>sume</code>,3,0.0013038
108,synd,<code>synd</code>,3,0.0013038
108,uppflora,<code>uppflora</code>,3,0.0013038
108,w&aelig;ron,<code>w&amp;ae;ron</code>,3,0.0013038
108,wel,<code>wel</code>,3,0.0013038
108,weras,<code>weras</code>,3,0.0013038
108,wundra,<code>wundra</code>,3,0.0013038
108,wunode,<code>wunode</code>,3,0.0013038
160,&aelig;,<code>&amp;ae;</code>,2,0.0008692
160,&aelig;lcere,<code>&amp;ae;lcere</code>,2,0.0008692
160,&aelig;lmessan,<code>&amp;ae;lmessan</code>,2,0.0008692
160,&aelig;lmihtigan,<code>&amp;ae;lmihtigan</code>,2,0.0008692
160,&aelig;r&eth;an,<code>&amp;ae;r&amp;d;an</code>,2,0.0008692
160,&eth;&aelig;s,<code>&amp;d;&amp;ae;s</code>,2,0.0008692
160,&eth;u,<code>&amp;d;u</code>,2,0.0008692
160,&thorn;a&eth;a,<code>&amp;t;a&amp;d;a</code>,2,0.0008692
160,&thorn;eah,<code>&amp;t;eah</code>,2,0.0008692
160,&thorn;ider,<code>&amp;t;ider</code>,2,0.0008692
160,&thorn;in,<code>&amp;t;in</code>,2,0.0008692
160,&thorn;incg,<code>&amp;t;incg</code>,2,0.0008692
160,&thorn;ine,<code>&amp;t;ine</code>,2,0.0008692
160,&thorn;inum,<code>&amp;t;inum</code>,2,0.0008692
160,&thorn;yssere,<code>&amp;t;yssere</code>,2,0.0008692
160,&thorn;ysum,<code>&amp;t;ysum</code>,2,0.0008692
160,antiochian,<code>antiochian</code>,2,0.0008692
160,ar&aelig;ran,<code>ar&amp;ae;ran</code>,2,0.0008692
160,arleasa,<code>arleasa</code>,2,0.0008692
160,asende,<code>asende</code>,2,0.0008692
160,astealde,<code>astealde</code>,2,0.0008692
160,axodon,<code>axodon</code>,2,0.0008692
160,b&aelig;ddrydan,<code>b&amp;ae;ddrydan</code>,2,0.0008692
160,b&aelig;don,<code>b&amp;ae;don</code>,2,0.0008692
160,beah,<code>beah</code>,2,0.0008692
160,beo,<code>beo</code>,2,0.0008692
160,beo&eth;,<code>beo&amp;d;</code>,2,0.0008692
160,beseah,<code>beseah</code>,2,0.0008692
160,binnon,<code>binnon</code>,2,0.0008692
160,bisceopstol,<code>bisceopstol</code>,2,0.0008692
160,cessarean,<code>cessarean</code>,2,0.0008692
160,cl&aelig;nan,<code>cl&amp;ae;nan</code>,2,0.0008692
160,clypigende,<code>clypigende</code>,2,0.0008692
160,clypode,<code>clypode</code>,2,0.0008692
160,comon,<code>comon</code>,2,0.0008692
160,cristendom,<code>cristendom</code>,2,0.0008692
160,cristes,<code>cristes</code>,2,0.0008692
160,cw&aelig;&thorn;,<code>cw&amp;ae;&amp;t;</code>,2,0.0008692
160,d&aelig;dbote,<code>d&amp;ae;dbote</code>,2,0.0008692
160,dagum,<code>dagum</code>,2,0.0008692
160,de&eth;,<code>de&amp;d;</code>,2,0.0008692
160,do,<code>do</code>,2,0.0008692
160,drihten,<code>drihten</code>,2,0.0008692
160,dry,<code>dry</code>,2,0.0008692
160,eadigan,<code>eadigan</code>,2,0.0008692
160,eom,<code>eom</code>,2,0.0008692
160,f&aelig;mnan,<code>f&amp;ae;mnan</code>,2,0.0008692
160,felicula,<code>felicula</code>,2,0.0008692
160,ferde,<code>ferde</code>,2,0.0008692
160,folgode,<code>folgode</code>,2,0.0008692
160,for&thorn;y,<code>for&amp;t;y</code>,2,0.0008692
160,fores&aelig;da,<code>fores&amp;ae;da</code>,2,0.0008692
160,forgifan,<code>forgifan</code>,2,0.0008692
160,fotum,<code>fotum</code>,2,0.0008692
160,fullice,<code>fullice</code>,2,0.0008692
160,fulum,<code>fulum</code>,2,0.0008692
160,gan,<code>gan</code>,2,0.0008692
160,ge,<code>ge</code>,2,0.0008692
160,gecorene,<code>gecorene</code>,2,0.0008692
160,geh&aelig;lde,<code>geh&amp;ae;lde</code>,2,0.0008692
160,gehalgod,<code>gehalgod</code>,2,0.0008692
160,gehende,<code>gehende</code>,2,0.0008692
160,gel&aelig;hte,<code>gel&amp;ae;hte</code>,2,0.0008692
160,gereordian,<code>gereordian</code>,2,0.0008692
160,gereordum,<code>gereordum</code>,2,0.0008692
160,ges&aelig;t,<code>ges&amp;ae;t</code>,2,0.0008692
160,gesih&eth;,<code>gesih&amp;d;</code>,2,0.0008692
160,gespr&aelig;can,<code>gespr&amp;ae;can</code>,2,0.0008692
160,geswutelode,<code>geswutelode</code>,2,0.0008692
160,getacnunge,<code>getacnunge</code>,2,0.0008692
160,gewende,<code>gewende</code>,2,0.0008692
160,godas,<code>godas</code>,2,0.0008692
160,h&aelig;&eth;enum,<code>h&amp;ae;&amp;d;enum</code>,2,0.0008692
160,h&aelig;f&eth;,<code>h&amp;ae;f&amp;d;</code>,2,0.0008692
160,h&aelig;lende,<code>h&amp;ae;lende</code>,2,0.0008692
160,h&aelig;lendes,<code>h&amp;ae;lendes</code>,2,0.0008692
160,hal,<code>hal</code>,2,0.0008692
160,heofonlican,<code>heofonlican</code>,2,0.0008692
160,hus,<code>hus</code>,2,0.0008692
160,huse,<code>huse</code>,2,0.0008692
