B_Prose,B01,B01.003.012_AELS__Forty_Soldiers__T03120.txt,1049,725,2807
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,131,0.0466690
2,&thorn;a,<code>&amp;t;a</code>,91,0.0324190
3,on,<code>on</code>,88,0.0313502
4,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,57,0.0203064
5,to,<code>to</code>,54,0.0192376
6,swa,<code>swa</code>,53,0.0188814
7,hi,<code>hi</code>,52,0.0185251
8,&thorn;e,<code>&amp;t;e</code>,49,0.0174564
9,&thorn;am,<code>&amp;t;am</code>,48,0.0171001
10,se,<code>se</code>,47,0.0167439
11,his,<code>his</code>,39,0.0138938
12,we,<code>we</code>,33,0.0117563
13,he,<code>he</code>,28,0.0099751
14,ne,<code>ne</code>,27,0.0096188
15,mid,<code>mid</code>,26,0.0092626
16,heora,<code>heora</code>,24,0.0085501
17,us,<code>us</code>,23,0.0081938
18,halgan,<code>halgan</code>,21,0.0074813
19,drihten,<code>drihten</code>,20,0.0071250
20,&eth;a,<code>&amp;d;a</code>,18,0.0064125
21,&eth;am,<code>&amp;d;am</code>,17,0.0060563
21,ealle,<code>ealle</code>,17,0.0060563
23,him,<code>him</code>,16,0.0057000
23,is,<code>is</code>,16,0.0057000
25,ac,<code>ac</code>,15,0.0053438
25,for,<code>for</code>,15,0.0053438
27,&thorn;u,<code>&amp;t;u</code>,13,0.0046313
27,hw&aelig;t,<code>hw&amp;ae;t</code>,13,0.0046313
29,&thorn;urh,<code>&amp;t;urh</code>,12,0.0042750
29,hine,<code>hine</code>,12,0.0042750
29,nu,<code>nu</code>,12,0.0042750
32,&thorn;one,<code>&amp;t;one</code>,11,0.0039188
32,me,<code>me</code>,11,0.0039188
32,ure,<code>ure</code>,11,0.0039188
35,an,<code>an</code>,10,0.0035625
35,ge,<code>ge</code>,10,0.0035625
35,halgum,<code>halgum</code>,10,0.0035625
35,het,<code>het</code>,10,0.0035625
35,ic,<code>ic</code>,10,0.0035625
35,of,<code>of</code>,10,0.0035625
35,w&aelig;s,<code>w&amp;ae;s</code>,10,0.0035625
42,&thorn;&aelig;ra,<code>&amp;t;&amp;ae;ra</code>,9,0.0032063
42,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,9,0.0032063
42,dema,<code>dema</code>,9,0.0032063
42,god,<code>god</code>,9,0.0032063
42,sona,<code>sona</code>,9,0.0032063
47,&aelig;fre,<code>&amp;ae;fre</code>,8,0.0028500
47,beo&eth;,<code>beo&amp;d;</code>,8,0.0028500
47,fram,<code>fram</code>,8,0.0028500
47,gode,<code>gode</code>,8,0.0028500
47,mere,<code>mere</code>,8,0.0028500
47,synd,<code>synd</code>,8,0.0028500
47,w&aelig;ron,<code>w&amp;ae;ron</code>,8,0.0028500
54,&thorn;eah,<code>&amp;t;eah</code>,7,0.0024938
54,bi&eth;,<code>bi&amp;d;</code>,7,0.0024938
54,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,7,0.0024938
54,eac,<code>eac</code>,7,0.0024938
54,gif,<code>gif</code>,7,0.0024938
54,hu,<code>hu</code>,7,0.0024938
54,menn,<code>menn</code>,7,0.0024938
54,o&eth;,<code>o&amp;d;</code>,7,0.0024938
54,ofer,<code>ofer</code>,7,0.0024938
54,sungon,<code>sungon</code>,7,0.0024938
64,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,6,0.0021375
64,beon,<code>beon</code>,6,0.0021375
64,buton,<code>buton</code>,6,0.0021375
64,cw&aelig;don,<code>cw&amp;ae;don</code>,6,0.0021375
64,cwearterne,<code>cwearterne</code>,6,0.0021375
64,geleafan,<code>geleafan</code>,6,0.0021375
64,wear&eth;,<code>wear&amp;d;</code>,6,0.0021375
64,wurdon,<code>wurdon</code>,6,0.0021375
72,&thorn;onne,<code>&amp;t;onne</code>,5,0.0017813
72,&thorn;us,<code>&amp;t;us</code>,5,0.0017813
72,anum,<code>anum</code>,5,0.0017813
72,ban,<code>ban</code>,5,0.0017813
72,com,<code>com</code>,5,0.0017813
72,crist,<code>crist</code>,5,0.0017813
72,deofol,<code>deofol</code>,5,0.0017813
72,drihtnes,<code>drihtnes</code>,5,0.0017813
72,ealdorman,<code>ealdorman</code>,5,0.0017813
72,eallum,<code>eallum</code>,5,0.0017813
72,et,<code>et</code>,5,0.0017813
72,godes,<code>godes</code>,5,0.0017813
72,h&aelig;&eth;enan,<code>h&amp;ae;&amp;d;enan</code>,5,0.0017813
72,heom,<code>heom</code>,5,0.0017813
72,into,<code>into</code>,5,0.0017813
72,sealm,<code>sealm</code>,5,0.0017813
88,&aelig;fter,<code>&amp;ae;fter</code>,4,0.0014250
88,&aelig;lmihtigan,<code>&amp;ae;lmihtigan</code>,4,0.0014250
88,&aelig;nne,<code>&amp;ae;nne</code>,4,0.0014250
88,&eth;&aelig;s,<code>&amp;d;&amp;ae;s</code>,4,0.0014250
