B_Prose,B01,B01.003.013_AELS__Ash_Wed__T03130.txt,924,634,2585
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,105,0.0406190
2,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,81,0.0313346
3,&thorn;e,<code>&amp;t;e</code>,77,0.0297872
4,he,<code>he</code>,73,0.0282398
5,on,<code>on</code>,65,0.0251451
6,ne,<code>ne</code>,50,0.0193424
7,se,<code>se</code>,43,0.0166344
7,swa,<code>swa</code>,43,0.0166344
9,his,<code>his</code>,42,0.0162476
10,&thorn;a,<code>&amp;t;a</code>,40,0.0154739
11,to,<code>to</code>,37,0.0143133
12,&thorn;am,<code>&amp;t;am</code>,31,0.0119923
13,hi,<code>hi</code>,30,0.0116054
14,him,<code>him</code>,27,0.0104449
14,mid,<code>mid</code>,27,0.0104449
16,we,<code>we</code>,26,0.0100580
17,god,<code>god</code>,22,0.0085106
18,ac,<code>ac</code>,21,0.0081238
19,nu,<code>nu</code>,18,0.0069632
20,&thorn;u,<code>&amp;t;u</code>,16,0.0061896
20,man,<code>man</code>,16,0.0061896
22,hine,<code>hine</code>,15,0.0058027
23,bi&eth;,<code>bi&amp;d;</code>,14,0.0054159
23,for&eth;an,<code>for&amp;d;an</code>,14,0.0054159
23,hit,<code>hit</code>,14,0.0054159
26,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,13,0.0050290
27,gif,<code>gif</code>,12,0.0046422
27,gode,<code>gode</code>,12,0.0046422
27,ic,<code>ic</code>,12,0.0046422
27,synna,<code>synna</code>,12,0.0046422
27,wolde,<code>wolde</code>,12,0.0046422
32,eft,<code>eft</code>,11,0.0042553
32,heo,<code>heo</code>,11,0.0042553
32,is,<code>is</code>,11,0.0042553
32,na,<code>na</code>,11,0.0042553
32,sceal,<code>sceal</code>,11,0.0042553
37,&eth;e,<code>&amp;d;e</code>,10,0.0038685
37,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,10,0.0038685
37,be,<code>be</code>,10,0.0038685
37,eallum,<code>eallum</code>,10,0.0038685
