B_Prose,B01,B01.003.014_AELS__Pr_Moses__T03140.txt,984,685,2612
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,141,0.0539816
2,on,<code>on</code>,61,0.0233538
3,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,54,0.0206738
3,ne,<code>ne</code>,54,0.0206738
3,swa,<code>swa</code>,54,0.0206738
6,mid,<code>mid</code>,47,0.0179939
6,to,<code>to</code>,47,0.0179939
8,god,<code>god</code>,38,0.0145482
9,him,<code>him</code>,35,0.0133997
10,&thorn;a,<code>&amp;t;a</code>,34,0.0130168
10,he,<code>he</code>,34,0.0130168
10,hi,<code>hi</code>,34,0.0130168
13,his,<code>his</code>,31,0.0118683
13,se,<code>se</code>,31,0.0118683
15,&eth;a,<code>&amp;d;a</code>,30,0.0114855
15,&thorn;e,<code>&amp;t;e</code>,30,0.0114855
17,is,<code>is</code>,21,0.0080398
17,we,<code>we</code>,21,0.0080398
19,&thorn;onne,<code>&amp;t;onne</code>,20,0.0076570
20,gif,<code>gif</code>,19,0.0072741
20,us,<code>us</code>,19,0.0072741
22,godes,<code>godes</code>,18,0.0068913
23,&thorn;am,<code>&amp;t;am</code>,16,0.0061256
23,gode,<code>gode</code>,16,0.0061256
23,man,<code>man</code>,16,0.0061256
26,ic,<code>ic</code>,15,0.0057427
27,ac,<code>ac</code>,14,0.0053599
27,heora,<code>heora</code>,14,0.0053599
27,swy&eth;e,<code>swy&amp;d;e</code>,14,0.0053599
30,&eth;am,<code>&amp;d;am</code>,12,0.0045942
30,bi&eth;,<code>bi&amp;d;</code>,12,0.0045942
30,nu,<code>nu</code>,12,0.0045942
33,&eth;e,<code>&amp;d;e</code>,11,0.0042113
33,for&eth;an,<code>for&amp;d;an</code>,11,0.0042113
33,hit,<code>hit</code>,11,0.0042113
33,o&eth;&eth;e,<code>o&amp;d;&amp;d;e</code>,11,0.0042113
37,beo,<code>beo</code>,10,0.0038285
37,eow,<code>eow</code>,10,0.0038285
37,ge,<code>ge</code>,10,0.0038285
37,h&aelig;fde,<code>h&amp;ae;fde</code>,10,0.0038285
37,menn,<code>menn</code>,10,0.0038285
37,w&aelig;ron,<code>w&amp;ae;ron</code>,10,0.0038285
43,&eth;&aelig;r,<code>&amp;d;&amp;ae;r</code>,9,0.0034456
43,&thorn;one,<code>&amp;t;one</code>,9,0.0034456
43,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,9,0.0034456
43,eft,<code>eft</code>,9,0.0034456
43,handa,<code>handa</code>,9,0.0034456
43,moyses,<code>moyses</code>,9,0.0034456
49,butan,<code>butan</code>,8,0.0030628
49,eallum,<code>eallum</code>,8,0.0030628
49,for,<code>for</code>,8,0.0030628
49,sende,<code>sende</code>,8,0.0030628
49,seo,<code>seo</code>,8,0.0030628
49,wi&eth;,<code>wi&amp;d;</code>,8,0.0030628
55,&eth;onne,<code>&amp;d;onne</code>,7,0.0026799
55,be,<code>be</code>,7,0.0026799
55,hine,<code>hine</code>,7,0.0026799
55,hu,<code>hu</code>,7,0.0026799
55,nan,<code>nan</code>,7,0.0026799
55,sceolan,<code>sceolan</code>,7,0.0026799
61,&eth;u,<code>&amp;d;u</code>,6,0.0022971
61,beo&eth;,<code>beo&amp;d;</code>,6,0.0022971
61,eac,<code>eac</code>,6,0.0022971
61,ealle,<code>ealle</code>,6,0.0022971
61,of,<code>of</code>,6,0.0022971
61,sona,<code>sona</code>,6,0.0022971
67,&aelig;r,<code>&amp;ae;r</code>,5,0.0019142
67,&eth;&aelig;re,<code>&amp;d;&amp;ae;re</code>,5,0.0019142
67,&eth;eah,<code>&amp;d;eah</code>,5,0.0019142
67,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,5,0.0019142
67,&thorn;ine,<code>&amp;t;ine</code>,5,0.0019142
67,&thorn;urh,<code>&amp;t;urh</code>,5,0.0019142
67,amalech,<code>amalech</code>,5,0.0019142
67,dauid,<code>dauid</code>,5,0.0019142
67,encgel,<code>encgel</code>,5,0.0019142
67,folc,<code>folc</code>,5,0.0019142
67,fultum,<code>fultum</code>,5,0.0019142
67,gebedum,<code>gebedum</code>,5,0.0019142
67,iosue,<code>iosue</code>,5,0.0019142
67,mannum,<code>mannum</code>,5,0.0019142
67,me,<code>me</code>,5,0.0019142
67,oft,<code>oft</code>,5,0.0019142
67,sceal,<code>sceal</code>,5,0.0019142
67,sibbe,<code>sibbe</code>,5,0.0019142
67,sylf,<code>sylf</code>,5,0.0019142
67,sylfum,<code>sylfum</code>,5,0.0019142
67,ure,<code>ure</code>,5,0.0019142
67,w&aelig;s,<code>w&amp;ae;s</code>,5,0.0019142
89,&aelig;fre,<code>&amp;ae;fre</code>,4,0.0015314
89,&aelig;lmihtiga,<code>&amp;ae;lmihtiga</code>,4,0.0015314
89,&aelig;lmihtigan,<code>&amp;ae;lmihtigan</code>,4,0.0015314
89,beon,<code>beon</code>,4,0.0015314
89,buton,<code>buton</code>,4,0.0015314
89,clypian,<code>clypian</code>,4,0.0015314
89,drihten,<code>drihten</code>,4,0.0015314
89,dyslice,<code>dyslice</code>,4,0.0015314
89,f&aelig;ston,<code>f&amp;ae;ston</code>,4,0.0015314
89,gebedu,<code>gebedu</code>,4,0.0015314
89,heo,<code>heo</code>,4,0.0015314
89,huse,<code>huse</code>,4,0.0015314
89,leode,<code>leode</code>,4,0.0015314
89,m&aelig;g,<code>m&amp;ae;g</code>,4,0.0015314
89,mot,<code>mot</code>,4,0.0015314
89,na,<code>na</code>,4,0.0015314
89,nis,<code>nis</code>,4,0.0015314
89,se&eth;e,<code>se&amp;d;e</code>,4,0.0015314
89,si&eth;&eth;an,<code>si&amp;d;&amp;d;an</code>,4,0.0015314
89,sige,<code>sige</code>,4,0.0015314
89,sloh,<code>sloh</code>,4,0.0015314
89,sume,<code>sume</code>,4,0.0015314
89,wisdom,<code>wisdom</code>,4,0.0015314
89,wite,<code>wite</code>,4,0.0015314
89,wolde,<code>wolde</code>,4,0.0015314
89,worulde,<code>worulde</code>,4,0.0015314
115,&aelig;fter,<code>&amp;ae;fter</code>,3,0.0011485
115,&eth;&aelig;s,<code>&amp;d;&amp;ae;s</code>,3,0.0011485
115,&thorn;u,<code>&amp;t;u</code>,3,0.0011485
115,an,<code>an</code>,3,0.0011485
115,beboda,<code>beboda</code>,3,0.0011485
115,biddan,<code>biddan</code>,3,0.0011485
115,binnan,<code>binnan</code>,3,0.0011485
115,com,<code>com</code>,3,0.0011485
115,cynincg,<code>cynincg</code>,3,0.0011485
115,dagas,<code>dagas</code>,3,0.0011485
115,drincan,<code>drincan</code>,3,0.0011485
115,dyde,<code>dyde</code>,3,0.0011485
115,ende,<code>ende</code>,3,0.0011485
115,eor&eth;an,<code>eor&amp;d;an</code>,3,0.0011485
115,eor&eth;e,<code>eor&amp;d;e</code>,3,0.0011485
115,eower,<code>eower</code>,3,0.0011485
115,ferde,<code>ferde</code>,3,0.0011485
115,folce,<code>folce</code>,3,0.0011485
115,forsewennysse,<code>forsewennysse</code>,3,0.0011485
115,fram,<code>fram</code>,3,0.0011485
115,fynd,<code>fynd</code>,3,0.0011485
115,gecweme,<code>gecweme</code>,3,0.0011485
115,gegremedon,<code>gegremedon</code>,3,0.0011485
115,geleafan,<code>geleafan</code>,3,0.0011485
115,gewr&aelig;c,<code>gewr&amp;ae;c</code>,3,0.0011485
115,halgan,<code>halgan</code>,3,0.0011485
115,hwile,<code>hwile</code>,3,0.0011485
115,la&eth;,<code>la&amp;d;</code>,3,0.0011485
115,libban,<code>libban</code>,3,0.0011485
115,magon,<code>magon</code>,3,0.0011485
115,mancynne,<code>mancynne</code>,3,0.0011485
115,mann,<code>mann</code>,3,0.0011485
115,mihte,<code>mihte</code>,3,0.0011485
115,mine,<code>mine</code>,3,0.0011485
115,o&eth;&thorn;&aelig;t,<code>o&amp;d;&amp;t;&amp;ae;t</code>,3,0.0011485
115,o&thorn;&thorn;e,<code>o&amp;t;&amp;t;e</code>,3,0.0011485
115,ofer,<code>ofer</code>,3,0.0011485
115,ofslean,<code>ofslean</code>,3,0.0011485
115,rihtwisra,<code>rihtwisra</code>,3,0.0011485
115,tocnawan,<code>tocnawan</code>,3,0.0011485
115,tyn,<code>tyn</code>,3,0.0011485
115,wel,<code>wel</code>,3,0.0011485
115,wile,<code>wile</code>,3,0.0011485
115,wordum,<code>wordum</code>,3,0.0011485
115,wunigende,<code>wunigende</code>,3,0.0011485
160,&aelig;,<code>&amp;ae;</code>,2,0.0007657
160,&aelig;lc,<code>&amp;ae;lc</code>,2,0.0007657
