B_Prose,B01,B01.003.015_AELS__George__T03150.txt,592,429,1373
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,86,0.0626366
2,to,<code>to</code>,37,0.0269483
3,mid,<code>mid</code>,29,0.0211216
4,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,28,0.0203933
5,&thorn;a,<code>&amp;t;a</code>,27,0.0196650
5,his,<code>his</code>,27,0.0196650
7,he,<code>he</code>,26,0.0189366
7,on,<code>on</code>,26,0.0189366
9,&eth;a,<code>&amp;d;a</code>,21,0.0152950
9,se,<code>se</code>,21,0.0152950
11,&eth;am,<code>&amp;d;am</code>,17,0.0123816
12,hine,<code>hine</code>,16,0.0116533
13,&thorn;e,<code>&amp;t;e</code>,15,0.0109250
14,georius,<code>georius</code>,14,0.0101966
15,datianus,<code>datianus</code>,13,0.0094683
15,him,<code>him</code>,13,0.0094683
15,ic,<code>ic</code>,13,0.0094683
18,&thorn;am,<code>&amp;t;am</code>,12,0.0087400
18,het,<code>het</code>,12,0.0087400
20,swa,<code>swa</code>,11,0.0080117
21,&thorn;one,<code>&amp;t;one</code>,10,0.0072833
21,casere,<code>casere</code>,10,0.0072833
23,&eth;e,<code>&amp;d;e</code>,9,0.0065550
23,&thorn;u,<code>&amp;t;u</code>,9,0.0065550
23,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,9,0.0065550
23,dry,<code>dry</code>,9,0.0065550
23,ealle,<code>ealle</code>,9,0.0065550
23,hi,<code>hi</code>,9,0.0065550
23,ne,<code>ne</code>,9,0.0065550
30,godas,<code>godas</code>,8,0.0058267
30,halga,<code>halga</code>,8,0.0058267
32,ac,<code>ac</code>,7,0.0050983
32,drihten,<code>drihten</code>,7,0.0050983
32,eor&eth;an,<code>eor&amp;d;an</code>,7,0.0050983
32,god,<code>god</code>,7,0.0050983
32,halgan,<code>halgan</code>,7,0.0050983
32,hw&aelig;t,<code>hw&amp;ae;t</code>,7,0.0050983
32,nu,<code>nu</code>,7,0.0050983
39,me,<code>me</code>,6,0.0043700
39,of,<code>of</code>,6,0.0043700
39,w&aelig;s,<code>w&amp;ae;s</code>,6,0.0043700
39,wear&eth;,<code>wear&amp;d;</code>,6,0.0043700
39,wer,<code>wer</code>,6,0.0043700
44,&eth;one,<code>&amp;d;one</code>,5,0.0036417
44,&eth;u,<code>&amp;d;u</code>,5,0.0036417
44,for,<code>for</code>,5,0.0036417
44,h&aelig;&eth;enan,<code>h&amp;ae;&amp;d;enan</code>,5,0.0036417
44,heora,<code>heora</code>,5,0.0036417
44,is,<code>is</code>,5,0.0036417
44,o&eth;&eth;e,<code>o&amp;d;&amp;d;e</code>,5,0.0036417
51,&eth;&aelig;re,<code>&amp;d;&amp;ae;re</code>,4,0.0029133
51,&eth;isum,<code>&amp;d;isum</code>,4,0.0029133
51,&thorn;&aelig;ra,<code>&amp;t;&amp;ae;ra</code>,4,0.0029133
51,&thorn;isne,<code>&amp;t;isne</code>,4,0.0029133
51,criste,<code>criste</code>,4,0.0029133
51,deoflum,<code>deoflum</code>,4,0.0029133
51,gode,<code>gode</code>,4,0.0029133
51,godes,<code>godes</code>,4,0.0029133
51,lac,<code>lac</code>,4,0.0029133
51,minum,<code>minum</code>,4,0.0029133
51,sona,<code>sona</code>,4,0.0029133
62,&aelig;fter,<code>&amp;ae;fter</code>,3,0.0021850
62,&eth;us,<code>&amp;d;us</code>,3,0.0021850
62,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,3,0.0021850
62,&thorn;ine,<code>&amp;t;ine</code>,3,0.0021850
62,&thorn;urh,<code>&amp;t;urh</code>,3,0.0021850
62,ahreddan,<code>ahreddan</code>,3,0.0021850
62,andwyrde,<code>andwyrde</code>,3,0.0021850
62,b&aelig;d,<code>b&amp;ae;d</code>,3,0.0021850
62,biddende,<code>biddende</code>,3,0.0021850
62,byrig,<code>byrig</code>,3,0.0021850
62,fordo,<code>fordo</code>,3,0.0021850
62,gedwyld,<code>gedwyld</code>,3,0.0021850
62,gehaten,<code>gehaten</code>,3,0.0021850
62,geori,<code>geori</code>,3,0.0021850
62,godum,<code>godum</code>,3,0.0021850
62,l&aelig;dan,<code>l&amp;ae;dan</code>,3,0.0021850
62,martyr,<code>martyr</code>,3,0.0021850
62,synd,<code>synd</code>,3,0.0021850
62,ure,<code>ure</code>,3,0.0021850
81,&aelig;lmihtig,<code>&amp;ae;lmihtig</code>,2,0.0014567
81,&aelig;lmihtigan,<code>&amp;ae;lmihtigan</code>,2,0.0014567
81,&aelig;nne,<code>&amp;ae;nne</code>,2,0.0014567
81,&aelig;r&eth;an,<code>&amp;ae;r&amp;d;an</code>,2,0.0014567
81,&eth;inum,<code>&amp;d;inum</code>,2,0.0014567
81,&eth;urh,<code>&amp;d;urh</code>,2,0.0014567
81,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,2,0.0014567
81,&thorn;us,<code>&amp;t;us</code>,2,0.0014567
81,adw&aelig;scan,<code>adw&amp;ae;scan</code>,2,0.0014567
81,afylled,<code>afylled</code>,2,0.0014567
81,apolline,<code>apolline</code>,2,0.0014567
81,arleasan,<code>arleasan</code>,2,0.0014567
81,arwur&eth;an,<code>arwur&amp;d;an</code>,2,0.0014567
81,athanasius,<code>athanasius</code>,2,0.0014567
81,be,<code>be</code>,2,0.0014567
81,bealdlice,<code>bealdlice</code>,2,0.0014567
81,befran,<code>befran</code>,2,0.0014567
81,bletsode,<code>bletsode</code>,2,0.0014567
