B_Prose,B01,B01.003.016_AELS__Mark__T03160.txt,715,489,1778
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,114,0.0641170
2,on,<code>on</code>,62,0.0348706
3,he,<code>he</code>,52,0.0292463
4,&thorn;a,<code>&amp;t;a</code>,42,0.0236220
5,to,<code>to</code>,36,0.0202475
6,se,<code>se</code>,32,0.0179978
7,&thorn;e,<code>&amp;t;e</code>,30,0.0168729
7,mid,<code>mid</code>,30,0.0168729
9,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,28,0.0157480
10,swa,<code>swa</code>,24,0.0134983
11,hi,<code>hi</code>,22,0.0123735
12,his,<code>his</code>,20,0.0112486
13,&thorn;am,<code>&amp;t;am</code>,17,0.0095613
13,w&aelig;s,<code>w&amp;ae;s</code>,17,0.0095613
15,&eth;a,<code>&amp;d;a</code>,15,0.0084364
15,&eth;am,<code>&amp;d;am</code>,15,0.0084364
17,him,<code>him</code>,14,0.0078740
18,hine,<code>hine</code>,13,0.0073116
18,is,<code>is</code>,13,0.0073116
20,godspellere,<code>godspellere</code>,12,0.0067492
21,&eth;e,<code>&amp;d;e</code>,11,0.0061867
21,gode,<code>gode</code>,11,0.0061867
23,be,<code>be</code>,10,0.0056243
24,feower,<code>feower</code>,9,0.0050619
24,god,<code>god</code>,9,0.0050619
24,godes,<code>godes</code>,9,0.0050619
24,heora,<code>heora</code>,9,0.0050619
24,ne,<code>ne</code>,9,0.0050619
29,&eth;&aelig;re,<code>&amp;d;&amp;ae;re</code>,8,0.0044994
29,geleafan,<code>geleafan</code>,8,0.0044994
29,of,<code>of</code>,8,0.0044994
32,awrat,<code>awrat</code>,7,0.0039370
32,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,7,0.0039370
32,eac,<code>eac</code>,7,0.0039370
32,h&aelig;lend,<code>h&amp;ae;lend</code>,7,0.0039370
32,halga,<code>halga</code>,7,0.0039370
32,halgan,<code>halgan</code>,7,0.0039370
32,hu,<code>hu</code>,7,0.0039370
32,marcus,<code>marcus</code>,7,0.0039370
40,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,6,0.0033746
40,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,6,0.0033746
40,ac,<code>ac</code>,6,0.0033746
40,criste,<code>criste</code>,6,0.0033746
40,for&eth;an,<code>for&amp;d;an</code>,6,0.0033746
40,fram,<code>fram</code>,6,0.0033746
40,h&aelig;&eth;enan,<code>h&amp;ae;&amp;d;enan</code>,6,0.0033746
40,nu,<code>nu</code>,6,0.0033746
40,o&eth;re,<code>o&amp;d;re</code>,6,0.0033746
40,s&aelig;de,<code>s&amp;ae;de</code>,6,0.0033746
40,seo,<code>seo</code>,6,0.0033746
40,sona,<code>sona</code>,6,0.0033746
40,we,<code>we</code>,6,0.0033746
53,&aelig;fre,<code>&amp;ae;fre</code>,5,0.0028121
53,&aelig;r,<code>&amp;ae;r</code>,5,0.0028121
53,byrig,<code>byrig</code>,5,0.0028121
53,drihten,<code>drihten</code>,5,0.0028121
53,gaste,<code>gaste</code>,5,0.0028121
53,lande,<code>lande</code>,5,0.0028121
53,w&aelig;ron,<code>w&amp;ae;ron</code>,5,0.0028121
53,worulde,<code>worulde</code>,5,0.0028121
61,&aelig;fter,<code>&amp;ae;fter</code>,4,0.0022497
61,&eth;&aelig;r,<code>&amp;d;&amp;ae;r</code>,4,0.0022497
61,&eth;as,<code>&amp;d;as</code>,4,0.0022497
61,&thorn;one,<code>&amp;t;one</code>,4,0.0022497
61,alexandrian,<code>alexandrian</code>,4,0.0022497
61,belimp&eth;,<code>belimp&amp;d;</code>,4,0.0022497
61,boc,<code>boc</code>,4,0.0022497
61,butan,<code>butan</code>,4,0.0022497
61,ealdan,<code>ealdan</code>,4,0.0022497
61,eft,<code>eft</code>,4,0.0022497
61,ferde,<code>ferde</code>,4,0.0022497
61,gast,<code>gast</code>,4,0.0022497
61,geh&aelig;lde,<code>geh&amp;ae;lde</code>,4,0.0022497
61,gesette,<code>gesette</code>,4,0.0022497
61,godspell,<code>godspell</code>,4,0.0022497
61,ic,<code>ic</code>,4,0.0022497
61,life,<code>life</code>,4,0.0022497
61,o&eth;,<code>o&amp;d;</code>,4,0.0022497
79,&aelig;,<code>&amp;ae;</code>,3,0.0016873
79,&eth;&aelig;s,<code>&amp;d;&amp;ae;s</code>,3,0.0016873
79,&eth;u,<code>&amp;d;u</code>,3,0.0016873
79,&eth;urh,<code>&amp;d;urh</code>,3,0.0016873
79,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,3,0.0016873
79,&thorn;&aelig;ra,<code>&amp;t;&amp;ae;ra</code>,3,0.0016873
79,&thorn;in,<code>&amp;t;in</code>,3,0.0016873
79,a,<code>a</code>,3,0.0016873
79,anre,<code>anre</code>,3,0.0016873
79,crist,<code>crist</code>,3,0.0016873
79,cristes,<code>cristes</code>,3,0.0016873
79,ealne,<code>ealne</code>,3,0.0016873
79,eow,<code>eow</code>,3,0.0016873
79,faran,<code>faran</code>,3,0.0016873
79,fela,<code>fela</code>,3,0.0016873
79,for,<code>for</code>,3,0.0016873
79,gebigde,<code>gebigde</code>,3,0.0016873
79,geendebyrde,<code>geendebyrde</code>,3,0.0016873
79,gelicnysse,<code>gelicnysse</code>,3,0.0016873
79,geond,<code>geond</code>,3,0.0016873
79,godspel,<code>godspel</code>,3,0.0016873
79,godspelleras,<code>godspelleras</code>,3,0.0016873
79,h&aelig;lendes,<code>h&amp;ae;lendes</code>,3,0.0016873
79,halig,<code>halig</code>,3,0.0016873
79,hit,<code>hit</code>,3,0.0016873
79,iohannes,<code>iohannes</code>,3,0.0016873
79,lange,<code>lange</code>,3,0.0016873
79,lare,<code>lare</code>,3,0.0016873
79,lic,<code>lic</code>,3,0.0016873
79,manega,<code>manega</code>,3,0.0016873
79,mycel,<code>mycel</code>,3,0.0016873
79,qui,<code>qui</code>,3,0.0016873
79,sanctus,<code>sanctus</code>,3,0.0016873
79,se&eth;e,<code>se&amp;d;e</code>,3,0.0016873
79,swylce,<code>swylce</code>,3,0.0016873
79,wear&eth;,<code>wear&amp;d;</code>,3,0.0016873
79,word,<code>word</code>,3,0.0016873
79,ylcan,<code>ylcan</code>,3,0.0016873
117,&aelig;lmihtigan,<code>&amp;ae;lmihtigan</code>,2,0.0011249
117,&aelig;rest,<code>&amp;ae;rest</code>,2,0.0011249
117,&aelig;t,<code>&amp;ae;t</code>,2,0.0011249
117,&eth;&aelig;ra,<code>&amp;d;&amp;ae;ra</code>,2,0.0011249
117,&thorn;ancode,<code>&amp;t;ancode</code>,2,0.0011249
117,&thorn;as,<code>&amp;t;as</code>,2,0.0011249
117,&thorn;is,<code>&amp;t;is</code>,2,0.0011249
117,&thorn;isne,<code>&amp;t;isne</code>,2,0.0011249
117,&thorn;u,<code>&amp;t;u</code>,2,0.0011249
117,&thorn;urh,<code>&amp;t;urh</code>,2,0.0011249
117,&thorn;us,<code>&amp;t;us</code>,2,0.0011249
117,acwealdon,<code>acwealdon</code>,2,0.0011249
117,afylled,<code>afylled</code>,2,0.0011249
117,agenre,<code>agenre</code>,2,0.0011249
117,an,<code>an</code>,2,0.0011249
117,awende,<code>awende</code>,2,0.0011249
117,awriten,<code>awriten</code>,2,0.0011249
117,bec,<code>bec</code>,2,0.0011249
117,becnytton,<code>becnytton</code>,2,0.0011249
117,bodian,<code>bodian</code>,2,0.0011249
117,bodode,<code>bodode</code>,2,0.0011249
117,buton,<code>buton</code>,2,0.0011249
117,cepton,<code>cepton</code>,2,0.0011249
117,com,<code>com</code>,2,0.0011249
117,comon,<code>comon</code>,2,0.0011249
117,cristesboc,<code>cristesboc</code>,2,0.0011249
117,ealle,<code>ealle</code>,2,0.0011249
