B_Prose,B01,B01.003.017_AELS__Memory_of_Saints__T03170.txt,1120,781,3198
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,164,0.0512821
2,on,<code>on</code>,94,0.0293934
3,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,92,0.0287680
4,is,<code>is</code>,71,0.0222014
5,swa,<code>swa</code>,68,0.0212633
6,he,<code>he</code>,59,0.0184490
7,his,<code>his</code>,57,0.0178236
8,to,<code>to</code>,53,0.0165729
9,&thorn;e,<code>&amp;t;e</code>,50,0.0156348
9,se,<code>se</code>,50,0.0156348
11,mid,<code>mid</code>,46,0.0143840
12,ne,<code>ne</code>,40,0.0125078
13,&eth;a,<code>&amp;d;a</code>,39,0.0121951
14,we,<code>we</code>,36,0.0112570
15,&thorn;a,<code>&amp;t;a</code>,33,0.0103189
16,god,<code>god</code>,32,0.0100063
17,for,<code>for</code>,28,0.0087555
18,us,<code>us</code>,26,0.0081301
19,him,<code>him</code>,24,0.0075047
19,seo,<code>seo</code>,24,0.0075047
21,gode,<code>gode</code>,23,0.0071920
21,hi,<code>hi</code>,23,0.0071920
23,for&eth;an,<code>for&amp;d;an</code>,22,0.0068793
23,man,<code>man</code>,22,0.0068793
25,ac,<code>ac</code>,18,0.0056285
25,godes,<code>godes</code>,18,0.0056285
27,eac,<code>eac</code>,17,0.0053158
27,eft,<code>eft</code>,17,0.0053158
27,heora,<code>heora</code>,17,0.0053158
30,&eth;am,<code>&amp;d;am</code>,16,0.0050031
30,hine,<code>hine</code>,16,0.0050031
32,ge,<code>ge</code>,15,0.0046904
32,nu,<code>nu</code>,15,0.0046904
34,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,14,0.0043777
34,ealle,<code>ealle</code>,14,0.0043777
34,gif,<code>gif</code>,14,0.0043777
37,bi&eth;,<code>bi&amp;d;</code>,13,0.0040650
37,ure,<code>ure</code>,13,0.0040650
39,geleafan,<code>geleafan</code>,11,0.0034396
40,&aelig;fre,<code>&amp;ae;fre</code>,10,0.0031270
40,&thorn;am,<code>&amp;t;am</code>,10,0.0031270
40,be,<code>be</code>,10,0.0031270
43,&eth;e,<code>&amp;d;e</code>,9,0.0028143
43,&thorn;onne,<code>&amp;t;onne</code>,9,0.0028143
43,crist,<code>crist</code>,9,0.0028143
43,deofol,<code>deofol</code>,9,0.0028143
43,h&aelig;lend,<code>h&amp;ae;lend</code>,9,0.0028143
43,w&aelig;s,<code>w&amp;ae;s</code>,9,0.0028143
49,&aelig;t,<code>&amp;ae;t</code>,8,0.0025016
49,&thorn;urh,<code>&amp;t;urh</code>,8,0.0025016
49,englisc,<code>englisc</code>,8,0.0025016
49,ic,<code>ic</code>,8,0.0025016
49,sylf,<code>sylf</code>,8,0.0025016
49,w&aelig;ron,<code>w&amp;ae;ron</code>,8,0.0025016
49,wear&eth;,<code>wear&amp;d;</code>,8,0.0025016
56,&thorn;one,<code>&amp;t;one</code>,7,0.0021889
56,butan,<code>butan</code>,7,0.0021889
56,fram,<code>fram</code>,7,0.0021889
56,habba&eth;,<code>habba&amp;d;</code>,7,0.0021889
56,heofonum,<code>heofonum</code>,7,0.0021889
56,heortan,<code>heortan</code>,7,0.0021889
56,mann,<code>mann</code>,7,0.0021889
56,menn,<code>menn</code>,7,0.0021889
56,miht,<code>miht</code>,7,0.0021889
56,sceolan,<code>sceolan</code>,7,0.0021889
56,synd,<code>synd</code>,7,0.0021889
56,wolde,<code>wolde</code>,7,0.0021889
56,worulde,<code>worulde</code>,7,0.0021889
69,&aelig;hta,<code>&amp;ae;hta</code>,6,0.0018762
69,&eth;onne,<code>&amp;d;onne</code>,6,0.0018762
69,&eth;urh,<code>&amp;d;urh</code>,6,0.0018762
69,&thorn;as,<code>&amp;t;as</code>,6,0.0018762
69,dea&eth;e,<code>dea&amp;d;e</code>,6,0.0018762
69,ende,<code>ende</code>,6,0.0018762
69,et,<code>et</code>,6,0.0018762
69,hu,<code>hu</code>,6,0.0018762
69,lif,<code>lif</code>,6,0.0018762
69,life,<code>life</code>,6,0.0018762
69,lufian,<code>lufian</code>,6,0.0018762
69,magon,<code>magon</code>,6,0.0018762
69,me,<code>me</code>,6,0.0018762
69,n&aelig;fre,<code>n&amp;ae;fre</code>,6,0.0018762
69,of,<code>of</code>,6,0.0018762
69,se&eth;e,<code>se&amp;d;e</code>,6,0.0018762
69,urum,<code>urum</code>,6,0.0018762
69,weorcum,<code>weorcum</code>,6,0.0018762
87,&aelig;rest,<code>&amp;ae;rest</code>,5,0.0015635
87,an,<code>an</code>,5,0.0015635
87,beo&eth;,<code>beo&amp;d;</code>,5,0.0015635
87,beon,<code>beon</code>,5,0.0015635
87,criste,<code>criste</code>,5,0.0015635
87,drihten,<code>drihten</code>,5,0.0015635
