B_Prose,B01,B01.003.018_AELS__Auguries__T03180.txt,910,650,2284
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,109,0.0477233
2,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,65,0.0284588
3,on,<code>on</code>,58,0.0253940
4,ne,<code>ne</code>,51,0.0223292
5,swa,<code>swa</code>,46,0.0201401
6,he,<code>he</code>,42,0.0183888
7,his,<code>his</code>,32,0.0140105
7,to,<code>to</code>,32,0.0140105
9,se,<code>se</code>,31,0.0135727
10,&thorn;e,<code>&amp;t;e</code>,28,0.0122592
10,hi,<code>hi</code>,28,0.0122592
12,mid,<code>mid</code>,24,0.0105079
13,ac,<code>ac</code>,21,0.0091944
13,heora,<code>heora</code>,21,0.0091944
15,ge,<code>ge</code>,20,0.0087566
15,is,<code>is</code>,20,0.0087566
15,o&eth;&eth;e,<code>o&amp;d;&amp;d;e</code>,20,0.0087566
18,&eth;a,<code>&amp;d;a</code>,19,0.0083187
18,&thorn;a,<code>&amp;t;a</code>,19,0.0083187
20,gif,<code>gif</code>,17,0.0074431
20,god,<code>god</code>,17,0.0074431
22,bi&eth;,<code>bi&amp;d;</code>,16,0.0070053
22,him,<code>him</code>,16,0.0070053
24,butan,<code>butan</code>,14,0.0061296
24,we,<code>we</code>,14,0.0061296
26,&eth;am,<code>&amp;d;am</code>,13,0.0056918
27,&eth;e,<code>&amp;d;e</code>,12,0.0052539
27,be,<code>be</code>,12,0.0052539
27,man,<code>man</code>,12,0.0052539
27,us,<code>us</code>,12,0.0052539
31,godes,<code>godes</code>,11,0.0048161
32,&thorn;am,<code>&amp;t;am</code>,10,0.0043783
32,&thorn;onne,<code>&amp;t;onne</code>,10,0.0043783
32,&thorn;urh,<code>&amp;t;urh</code>,10,0.0043783
32,eow,<code>eow</code>,10,0.0043783
32,synd,<code>synd</code>,10,0.0043783
37,for&eth;an,<code>for&amp;d;an</code>,9,0.0039405
37,neque,<code>neque</code>,9,0.0039405
37,nu,<code>nu</code>,9,0.0039405
40,&thorn;one,<code>&amp;t;one</code>,8,0.0035026
40,beon,<code>beon</code>,8,0.0035026
40,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,8,0.0035026
