B_Prose,B01,B01.003.019_AELS__Book_of_Kings__T03190.txt,1217,813,3651
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,213,0.0583402
2,to,<code>to</code>,112,0.0306765
3,his,<code>his</code>,88,0.0241030
4,&thorn;a,<code>&amp;t;a</code>,82,0.0224596
5,on,<code>on</code>,71,0.0194467
6,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,64,0.0175294
7,he,<code>he</code>,63,0.0172555
8,se,<code>se</code>,61,0.0167078
9,mid,<code>mid</code>,60,0.0164339
10,&eth;a,<code>&amp;d;a</code>,56,0.0153383
11,him,<code>him</code>,53,0.0145166
12,&thorn;e,<code>&amp;t;e</code>,44,0.0120515
12,god,<code>god</code>,44,0.0120515
14,swa,<code>swa</code>,40,0.0109559
15,&eth;am,<code>&amp;d;am</code>,38,0.0104081
16,hine,<code>hine</code>,34,0.0093125
17,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,32,0.0087647
18,godes,<code>godes</code>,29,0.0079430
18,hi,<code>hi</code>,29,0.0079430
20,&eth;e,<code>&amp;d;e</code>,28,0.0076691
21,&thorn;am,<code>&amp;t;am</code>,25,0.0068474
21,of,<code>of</code>,25,0.0068474
23,ic,<code>ic</code>,24,0.0065735
24,ne,<code>ne</code>,21,0.0057518
25,&thorn;one,<code>&amp;t;one</code>,20,0.0054780
25,helias,<code>helias</code>,20,0.0054780
25,het,<code>het</code>,20,0.0054780
28,gode,<code>gode</code>,18,0.0049302
28,witegan,<code>witegan</code>,18,0.0049302
30,witega,<code>witega</code>,15,0.0041085
31,cyning,<code>cyning</code>,14,0.0038346
31,sona,<code>sona</code>,14,0.0038346
31,w&aelig;s,<code>w&amp;ae;s</code>,14,0.0038346
34,&thorn;u,<code>&amp;t;u</code>,13,0.0035607
34,ac,<code>ac</code>,13,0.0035607
34,cynincge,<code>cynincge</code>,13,0.0035607
37,be,<code>be</code>,12,0.0032868
37,cynincg,<code>cynincg</code>,12,0.0032868
37,gezabel,<code>gezabel</code>,12,0.0032868
37,hieu,<code>hieu</code>,12,0.0032868
41,&aelig;fter,<code>&amp;ae;fter</code>,11,0.0030129
41,baal,<code>baal</code>,11,0.0030129
41,com,<code>com</code>,11,0.0030129
41,eft,<code>eft</code>,11,0.0030129
45,&aelig;lmihtiga,<code>&amp;ae;lmihtiga</code>,10,0.0027390
45,&eth;u,<code>&amp;d;u</code>,10,0.0027390
45,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,10,0.0027390
45,asende,<code>asende</code>,10,0.0027390
45,eac,<code>eac</code>,10,0.0027390
45,ealle,<code>ealle</code>,10,0.0027390
45,eode,<code>eode</code>,10,0.0027390
45,heora,<code>heora</code>,10,0.0027390
45,hw&aelig;t,<code>hw&amp;ae;t</code>,10,0.0027390
54,&aelig;lmihtigan,<code>&amp;ae;lmihtigan</code>,9,0.0024651
54,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,9,0.0024651
54,an,<code>an</code>,9,0.0024651
54,ferde,<code>ferde</code>,9,0.0024651
54,folc,<code>folc</code>,9,0.0024651
54,is,<code>is</code>,9,0.0024651
54,israhela,<code>israhela</code>,9,0.0024651
61,&eth;&aelig;s,<code>&amp;d;&amp;ae;s</code>,8,0.0021912
61,heortan,<code>heortan</code>,8,0.0021912
61,hire,<code>hire</code>,8,0.0021912
61,hu,<code>hu</code>,8,0.0021912
61,nu,<code>nu</code>,8,0.0021912
61,rice,<code>rice</code>,8,0.0021912
