B_Prose,B01,B01.003.020_AELS__Alban__T03200.txt,776,518,1973
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,107,0.0542321
2,to,<code>to</code>,53,0.0268626
3,he,<code>he</code>,52,0.0263558
4,his,<code>his</code>,49,0.0248353
5,mid,<code>mid</code>,42,0.0212874
6,&thorn;e,<code>&amp;t;e</code>,40,0.0202737
7,on,<code>on</code>,35,0.0177395
7,se,<code>se</code>,35,0.0177395
9,&eth;a,<code>&amp;d;a</code>,30,0.0152053
9,&thorn;a,<code>&amp;t;a</code>,30,0.0152053
9,swa,<code>swa</code>,30,0.0152053
12,&thorn;am,<code>&amp;t;am</code>,29,0.0146984
13,hine,<code>hine</code>,24,0.0121642
14,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,23,0.0116574
15,&eth;am,<code>&amp;d;am</code>,18,0.0091232
16,him,<code>him</code>,17,0.0086163
17,ac,<code>ac</code>,16,0.0081095
18,hi,<code>hi</code>,15,0.0076026
19,ne,<code>ne</code>,14,0.0070958
20,for,<code>for</code>,13,0.0065890
20,w&aelig;s,<code>w&amp;ae;s</code>,13,0.0065890
22,albanus,<code>albanus</code>,11,0.0055753
22,wear&eth;,<code>wear&amp;d;</code>,11,0.0055753
24,mihte,<code>mihte</code>,10,0.0050684
25,eac,<code>eac</code>,9,0.0045616
25,for&eth;an,<code>for&amp;d;an</code>,9,0.0045616
25,geleafan,<code>geleafan</code>,9,0.0045616
28,&thorn;one,<code>&amp;t;one</code>,8,0.0040547
28,dema,<code>dema</code>,8,0.0040547
28,god,<code>god</code>,8,0.0040547
28,godes,<code>godes</code>,8,0.0040547
28,heora,<code>heora</code>,8,0.0040547
28,ic,<code>ic</code>,8,0.0040547
34,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,7,0.0035479
34,gif,<code>gif</code>,7,0.0035479
34,gode,<code>gode</code>,7,0.0035479
34,halgan,<code>halgan</code>,7,0.0035479
34,het,<code>het</code>,7,0.0035479
34,wolde,<code>wolde</code>,7,0.0035479
40,&aelig;fre,<code>&amp;ae;fre</code>,6,0.0030411
40,&eth;&aelig;re,<code>&amp;d;&amp;ae;re</code>,6,0.0030411
40,&eth;e,<code>&amp;d;e</code>,6,0.0030411
40,&eth;one,<code>&amp;d;one</code>,6,0.0030411
40,&thorn;onne,<code>&amp;t;onne</code>,6,0.0030411
40,be,<code>be</code>,6,0.0030411
40,criste,<code>criste</code>,6,0.0030411
40,hit,<code>hit</code>,6,0.0030411
40,sona,<code>sona</code>,6,0.0030411
40,us,<code>us</code>,6,0.0030411
50,&aelig;t,<code>&amp;ae;t</code>,5,0.0025342
50,&eth;&aelig;r,<code>&amp;d;&amp;ae;r</code>,5,0.0025342
50,&eth;&aelig;s,<code>&amp;d;&amp;ae;s</code>,5,0.0025342
50,&eth;u,<code>&amp;d;u</code>,5,0.0025342
50,&thorn;urh,<code>&amp;t;urh</code>,5,0.0025342
50,acwealde,<code>acwealde</code>,5,0.0025342
50,arleasan,<code>arleasan</code>,5,0.0025342
50,arn,<code>arn</code>,5,0.0025342
50,bi&eth;,<code>bi&amp;d;</code>,5,0.0025342
50,comon,<code>comon</code>,5,0.0025342
50,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,5,0.0025342
50,ecan,<code>ecan</code>,5,0.0025342
50,ende,<code>ende</code>,5,0.0025342
50,fram,<code>fram</code>,5,0.0025342
50,h&aelig;lend,<code>h&amp;ae;lend</code>,5,0.0025342
50,man,<code>man</code>,5,0.0025342
50,nolde,<code>nolde</code>,5,0.0025342
50,swy&eth;e,<code>swy&amp;d;e</code>,5,0.0025342
50,sylfne,<code>sylfne</code>,5,0.0025342
50,wi&eth;,<code>wi&amp;d;</code>,5,0.0025342
70,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,4,0.0020274
70,acitofel,<code>acitofel</code>,4,0.0020274
70,acwellan,<code>acwellan</code>,4,0.0020274
70,an,<code>an</code>,4,0.0020274
70,andwyrde,<code>andwyrde</code>,4,0.0020274
70,ardlice,<code>ardlice</code>,4,0.0020274
70,cwellere,<code>cwellere</code>,4,0.0020274
70,cyrcan,<code>cyrcan</code>,4,0.0020274
70,deman,<code>deman</code>,4,0.0020274
70,eode,<code>eode</code>,4,0.0020274
70,me,<code>me</code>,4,0.0020274
70,nan,<code>nan</code>,4,0.0020274
70,of,<code>of</code>,4,0.0020274
70,ofer,<code>ofer</code>,4,0.0020274
70,preost,<code>preost</code>,4,0.0020274
70,sceattum,<code>sceattum</code>,4,0.0020274
70,se&eth;e,<code>se&amp;d;e</code>,4,0.0020274
70,wurdon,<code>wurdon</code>,4,0.0020274
88,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,3,0.0015205
88,&thorn;us,<code>&amp;t;us</code>,3,0.0015205
88,absalon,<code>absalon</code>,3,0.0015205
88,albane,<code>albane</code>,3,0.0015205
88,albanes,<code>albanes</code>,3,0.0015205
88,butan,<code>butan</code>,3,0.0015205
88,casere,<code>casere</code>,3,0.0015205
88,crist,<code>crist</code>,3,0.0015205
88,cristenan,<code>cristenan</code>,3,0.0015205
88,cristes,<code>cristes</code>,3,0.0015205
88,dune,<code>dune</code>,3,0.0015205
88,ea,<code>ea</code>,3,0.0015205
88,ece,<code>ece</code>,3,0.0015205
88,ehterum,<code>ehterum</code>,3,0.0015205
88,ehtnysse,<code>ehtnysse</code>,3,0.0015205
88,engla,<code>engla</code>,3,0.0015205
88,f&aelig;der,<code>f&amp;ae;der</code>,3,0.0015205
88,ferde,<code>ferde</code>,3,0.0015205
88,gebigan,<code>gebigan</code>,3,0.0015205
88,godum,<code>godum</code>,3,0.0015205
88,h&aelig;lende,<code>h&amp;ae;lende</code>,3,0.0015205
88,hu,<code>hu</code>,3,0.0015205
88,huru,<code>huru</code>,3,0.0015205
88,hw&aelig;t,<code>hw&amp;ae;t</code>,3,0.0015205
88,hwylcere,<code>hwylcere</code>,3,0.0015205
88,is,<code>is</code>,3,0.0015205
88,life,<code>life</code>,3,0.0015205
88,martyr,<code>martyr</code>,3,0.0015205
88,naman,<code>naman</code>,3,0.0015205
88,nu,<code>nu</code>,3,0.0015205
88,o&eth;,<code>o&amp;d;</code>,3,0.0015205
88,o&eth;&thorn;&aelig;t,<code>o&amp;d;&amp;t;&amp;ae;t</code>,3,0.0015205
88,r&aelig;de,<code>r&amp;ae;de</code>,3,0.0015205
88,scea&eth;a,<code>scea&amp;d;a</code>,3,0.0015205
88,sceolde,<code>sceolde</code>,3,0.0015205
88,seo,<code>seo</code>,3,0.0015205
88,so&eth;,<code>so&amp;d;</code>,3,0.0015205
88,so&eth;an,<code>so&amp;d;an</code>,3,0.0015205
88,sum,<code>sum</code>,3,0.0015205
88,swurd,<code>swurd</code>,3,0.0015205
88,swylce,<code>swylce</code>,3,0.0015205
88,sy,<code>sy</code>,3,0.0015205
88,sy&eth;&eth;an,<code>sy&amp;d;&amp;d;an</code>,3,0.0015205
88,w&aelig;re,<code>w&amp;ae;re</code>,3,0.0015205
88,wer,<code>wer</code>,3,0.0015205
88,were,<code>were</code>,3,0.0015205
88,wita,<code>wita</code>,3,0.0015205
135,&aelig;lc,<code>&amp;ae;lc</code>,2,0.0010137
135,&aelig;lcere,<code>&amp;ae;lcere</code>,2,0.0010137
135,&aelig;lmihtigan,<code>&amp;ae;lmihtigan</code>,2,0.0010137
135,&aelig;r&eth;an,<code>&amp;ae;r&amp;d;an</code>,2,0.0010137
135,&aelig;tforan,<code>&amp;ae;tforan</code>,2,0.0010137
135,&eth;&aelig;ra,<code>&amp;d;&amp;ae;ra</code>,2,0.0010137
135,&eth;incg,<code>&amp;d;incg</code>,2,0.0010137
135,&thorn;a&eth;a,<code>&amp;t;a&amp;d;a</code>,2,0.0010137
135,&thorn;eah&eth;e,<code>&amp;t;eah&amp;d;e</code>,2,0.0010137
135,&thorn;u,<code>&amp;t;u</code>,2,0.0010137
135,a,<code>a</code>,2,0.0010137
135,absalone,<code>absalone</code>,2,0.0010137
135,amen,<code>amen</code>,2,0.0010137
135,anre,<code>anre</code>,2,0.0010137
135,arleasa,<code>arleasa</code>,2,0.0010137
135,astealde,<code>astealde</code>,2,0.0010137
135,awenda&eth;,<code>awenda&amp;d;</code>,2,0.0010137
135,b&aelig;d,<code>b&amp;ae;d</code>,2,0.0010137
135,bec,<code>bec</code>,2,0.0010137
135,becom,<code>becom</code>,2,0.0010137
135,beheafdian,<code>beheafdian</code>,2,0.0010137
135,behreowsunge,<code>behreowsunge</code>,2,0.0010137
135,beseah,<code>beseah</code>,2,0.0010137
135,brycge,<code>brycge</code>,2,0.0010137
135,cristen,<code>cristen</code>,2,0.0010137
135,cristendom,<code>cristendom</code>,2,0.0010137
135,cwealmb&aelig;re,<code>cwealmb&amp;ae;re</code>,2,0.0010137
135,cwelleras,<code>cwelleras</code>,2,0.0010137
135,de&eth;,<code>de&amp;d;</code>,2,0.0010137
135,deofle,<code>deofle</code>,2,0.0010137
135,deofollice,<code>deofollice</code>,2,0.0010137
135,domas,<code>domas</code>,2,0.0010137
135,drihten,<code>drihten</code>,2,0.0010137
135,drihtnes,<code>drihtnes</code>,2,0.0010137
135,dyde,<code>dyde</code>,2,0.0010137
135,ea&eth;e,<code>ea&amp;d;e</code>,2,0.0010137
135,eall,<code>eall</code>,2,0.0010137
135,ealle,<code>ealle</code>,2,0.0010137
