B_Prose,B01,B01.003.021_AELS__AEthelthryth__T03210.txt,483,326,1081
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,52,0.0481036
2,on,<code>on</code>,34,0.0314524
2,swa,<code>swa</code>,34,0.0314524
4,heo,<code>heo</code>,31,0.0286772
5,&thorn;a,<code>&amp;t;a</code>,23,0.0212766
6,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,22,0.0203515
7,&thorn;e,<code>&amp;t;e</code>,20,0.0185014
8,hire,<code>hire</code>,17,0.0157262
8,to,<code>to</code>,17,0.0157262
10,hi,<code>hi</code>,16,0.0148011
11,mid,<code>mid</code>,15,0.0138760
11,w&aelig;s,<code>w&amp;ae;s</code>,15,0.0138760
13,se,<code>se</code>,14,0.0129510
14,&eth;a,<code>&amp;d;a</code>,11,0.0101758
15,&thorn;am,<code>&amp;t;am</code>,10,0.0092507
15,he,<code>he</code>,10,0.0092507
17,god,<code>god</code>,8,0.0074006
17,his,<code>his</code>,8,0.0074006
17,hit,<code>hit</code>,8,0.0074006
17,wear&eth;,<code>wear&amp;d;</code>,8,0.0074006
21,&eth;&aelig;re,<code>&amp;d;&amp;ae;re</code>,7,0.0064755
21,wolde,<code>wolde</code>,7,0.0064755
23,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,6,0.0055504
23,&thorn;one,<code>&amp;t;one</code>,6,0.0055504
23,eac,<code>eac</code>,6,0.0055504
23,is,<code>is</code>,6,0.0055504
23,seo,<code>seo</code>,6,0.0055504
28,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,5,0.0046253
28,&thorn;urh,<code>&amp;t;urh</code>,5,0.0046253
28,be,<code>be</code>,5,0.0046253
28,cl&aelig;nnysse,<code>cl&amp;ae;nnysse</code>,5,0.0046253
28,mihte,<code>mihte</code>,5,0.0046253
28,nu,<code>nu</code>,5,0.0046253
28,w&aelig;ron,<code>w&amp;ae;ron</code>,5,0.0046253
35,&aelig;r,<code>&amp;ae;r</code>,4,0.0037003
35,&eth;e,<code>&amp;d;e</code>,4,0.0037003
35,byrgene,<code>byrgene</code>,4,0.0037003
35,eall,<code>eall</code>,4,0.0037003
35,godes,<code>godes</code>,4,0.0037003
35,heold,<code>heold</code>,4,0.0037003
35,him,<code>him</code>,4,0.0037003
35,hyre,<code>hyre</code>,4,0.0037003
35,l&aelig;ce,<code>l&amp;ae;ce</code>,4,0.0037003
35,m&aelig;den,<code>m&amp;ae;den</code>,4,0.0037003
35,mynstre,<code>mynstre</code>,4,0.0037003
35,of,<code>of</code>,4,0.0037003
35,sexburh,<code>sexburh</code>,4,0.0037003
35,sy&eth;&eth;an,<code>sy&amp;d;&amp;d;an</code>,4,0.0037003
35,we,<code>we</code>,4,0.0037003
50,&aelig;&eth;eldry&eth;,<code>&amp;ae;&amp;d;eldry&amp;d;</code>,3,0.0027752
