B_Prose,B01,B01.003.022_AELS__Swithun__T03220.txt,1186,749,4030
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,200,0.0496278
2,he,<code>he</code>,104,0.0258065
3,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,102,0.0253102
4,to,<code>to</code>,96,0.0238213
5,swa,<code>swa</code>,79,0.0196030
6,&thorn;a,<code>&amp;t;a</code>,74,0.0183623
7,on,<code>on</code>,73,0.0181141
8,se,<code>se</code>,70,0.0173697
9,his,<code>his</code>,63,0.0156328
10,&thorn;am,<code>&amp;t;am</code>,58,0.0143921
10,mid,<code>mid</code>,58,0.0143921
12,&thorn;e,<code>&amp;t;e</code>,51,0.0126551
13,hi,<code>hi</code>,50,0.0124069
14,him,<code>him</code>,49,0.0121588
14,ne,<code>ne</code>,49,0.0121588
16,&thorn;one,<code>&amp;t;one</code>,36,0.0089330
17,&thorn;urh,<code>&amp;t;urh</code>,35,0.0086849
17,halgan,<code>halgan</code>,35,0.0086849
17,w&aelig;s,<code>w&amp;ae;s</code>,35,0.0086849
20,&eth;a,<code>&amp;d;a</code>,33,0.0081886
21,of,<code>of</code>,27,0.0066998
22,&eth;e,<code>&amp;d;e</code>,26,0.0064516
23,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,25,0.0062035
24,&eth;am,<code>&amp;d;am</code>,23,0.0057072
24,god,<code>god</code>,23,0.0057072
24,man,<code>man</code>,23,0.0057072
27,hine,<code>hine</code>,22,0.0054591
28,hit,<code>hit</code>,20,0.0049628
28,ic,<code>ic</code>,20,0.0049628
30,wear&eth;,<code>wear&amp;d;</code>,19,0.0047146
31,swy&eth;un,<code>swy&amp;d;un</code>,18,0.0044665
32,ac,<code>ac</code>,17,0.0042184
32,ealle,<code>ealle</code>,17,0.0042184
32,for,<code>for</code>,17,0.0042184
32,menn,<code>menn</code>,17,0.0042184
36,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,16,0.0039702
36,eac,<code>eac</code>,16,0.0039702
36,mihte,<code>mihte</code>,16,0.0039702
36,nu,<code>nu</code>,16,0.0039702
36,sona,<code>sona</code>,16,0.0039702
36,we,<code>we</code>,16,0.0039702
42,&aelig;t,<code>&amp;ae;t</code>,15,0.0037221
42,is,<code>is</code>,15,0.0037221
42,wundra,<code>wundra</code>,15,0.0037221
45,gode,<code>gode</code>,14,0.0034739
45,sum,<code>sum</code>,14,0.0034739
47,&eth;u,<code>&amp;d;u</code>,13,0.0032258
