B_Prose,B01,B01.003.023_AELS__Apollinaris__T03230.txt,732,484,2069
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,134,0.0647656
2,on,<code>on</code>,54,0.0260996
3,to,<code>to</code>,53,0.0256162
4,se,<code>se</code>,49,0.0236829
5,&thorn;a,<code>&amp;t;a</code>,42,0.0202997
5,he,<code>he</code>,42,0.0202997
7,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,33,0.0159497
8,his,<code>his</code>,32,0.0154664
9,mid,<code>mid</code>,31,0.0149831
10,&eth;a,<code>&amp;d;a</code>,28,0.0135331
11,&thorn;am,<code>&amp;t;am</code>,24,0.0115998
11,&thorn;e,<code>&amp;t;e</code>,24,0.0115998
11,him,<code>him</code>,24,0.0115998
14,&thorn;one,<code>&amp;t;one</code>,20,0.0096665
15,god,<code>god</code>,19,0.0091832
15,swa,<code>swa</code>,19,0.0091832
17,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,17,0.0082165
18,hine,<code>hine</code>,16,0.0077332
19,&eth;e,<code>&amp;d;e</code>,15,0.0072499
19,bisceop,<code>bisceop</code>,15,0.0072499
19,byrig,<code>byrig</code>,15,0.0072499
19,halgan,<code>halgan</code>,15,0.0072499
19,hi,<code>hi</code>,15,0.0072499
24,w&aelig;s,<code>w&amp;ae;s</code>,14,0.0067666
25,geleafan,<code>geleafan</code>,13,0.0062832
25,wear&eth;,<code>wear&amp;d;</code>,13,0.0062832
27,&eth;am,<code>&amp;d;am</code>,12,0.0057999
27,&thorn;urh,<code>&amp;t;urh</code>,12,0.0057999
27,is,<code>is</code>,12,0.0057999
27,naman,<code>naman</code>,12,0.0057999
27,nu,<code>nu</code>,12,0.0057999
32,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,11,0.0053166
32,ic,<code>ic</code>,11,0.0053166
32,ne,<code>ne</code>,11,0.0053166
35,godes,<code>godes</code>,10,0.0048333
35,h&aelig;lendes,<code>h&amp;ae;lendes</code>,10,0.0048333
35,sona,<code>sona</code>,10,0.0048333
38,&eth;&aelig;re,<code>&amp;d;&amp;ae;re</code>,9,0.0043499
38,&eth;u,<code>&amp;d;u</code>,9,0.0043499
38,h&aelig;lend,<code>h&amp;ae;lend</code>,9,0.0043499
38,of,<code>of</code>,9,0.0043499
42,&thorn;u,<code>&amp;t;u</code>,8,0.0038666
42,andwyrde,<code>andwyrde</code>,8,0.0038666
44,&eth;&aelig;s,<code>&amp;d;&amp;ae;s</code>,7,0.0033833
44,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,7,0.0033833
44,ac,<code>ac</code>,7,0.0033833
44,bi&eth;,<code>bi&amp;d;</code>,7,0.0033833
44,ealle,<code>ealle</code>,7,0.0033833
44,gif,<code>gif</code>,7,0.0033833
44,heo,<code>heo</code>,7,0.0033833
44,heora,<code>heora</code>,7,0.0033833
52,&aelig;fter,<code>&amp;ae;fter</code>,6,0.0029000
52,for,<code>for</code>,6,0.0029000
52,gode,<code>gode</code>,6,0.0029000
52,h&aelig;&eth;enan,<code>h&amp;ae;&amp;d;enan</code>,6,0.0029000
52,me,<code>me</code>,6,0.0029000
52,mihte,<code>mihte</code>,6,0.0029000
52,sum,<code>sum</code>,6,0.0029000
59,&eth;&aelig;r,<code>&amp;d;&amp;ae;r</code>,5,0.0024166
59,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,5,0.0024166
59,apollonaris,<code>apollonaris</code>,5,0.0024166
59,appollonaris,<code>appollonaris</code>,5,0.0024166
59,beo,<code>beo</code>,5,0.0024166
59,bisceope,<code>bisceope</code>,5,0.0024166
59,com,<code>com</code>,5,0.0024166
59,cristenan,<code>cristenan</code>,5,0.0024166
59,cristes,<code>cristes</code>,5,0.0024166
59,efne,<code>efne</code>,5,0.0024166
59,gefullode,<code>gefullode</code>,5,0.0024166
59,gehaten,<code>gehaten</code>,5,0.0024166
59,halga,<code>halga</code>,5,0.0024166
59,hire,<code>hire</code>,5,0.0024166
59,hw&aelig;t,<code>hw&amp;ae;t</code>,5,0.0024166
59,man,<code>man</code>,5,0.0024166
59,manega,<code>manega</code>,5,0.0024166
59,nan,<code>nan</code>,5,0.0024166
59,rauenna,<code>rauenna</code>,5,0.0024166
59,wurdon,<code>wurdon</code>,5,0.0024166
79,&eth;one,<code>&amp;d;one</code>,4,0.0019333
79,axode,<code>axode</code>,4,0.0019333
79,be,<code>be</code>,4,0.0019333
79,clypode,<code>clypode</code>,4,0.0019333
79,dea&eth;e,<code>dea&amp;d;e</code>,4,0.0019333
79,digellice,<code>digellice</code>,4,0.0019333
79,drihten,<code>drihten</code>,4,0.0019333
79,eft,<code>eft</code>,4,0.0019333
79,eode,<code>eode</code>,4,0.0019333
79,f&aelig;der,<code>f&amp;ae;der</code>,4,0.0019333
79,gelyfdon,<code>gelyfdon</code>,4,0.0019333
79,hal,<code>hal</code>,4,0.0019333
79,m&aelig;den,<code>m&amp;ae;den</code>,4,0.0019333
79,manegum,<code>manegum</code>,4,0.0019333
79,mann,<code>mann</code>,4,0.0019333
79,min,<code>min</code>,4,0.0019333
79,nis,<code>nis</code>,4,0.0019333
79,petrus,<code>petrus</code>,4,0.0019333
79,so&eth;,<code>so&amp;d;</code>,4,0.0019333
79,sumum,<code>sumum</code>,4,0.0019333
79,swylce,<code>swylce</code>,4,0.0019333
79,taurus,<code>taurus</code>,4,0.0019333
79,w&aelig;re,<code>w&amp;ae;re</code>,4,0.0019333
79,we,<code>we</code>,4,0.0019333
79,wer,<code>wer</code>,4,0.0019333
79,were,<code>were</code>,4,0.0019333
79,wundra,<code>wundra</code>,4,0.0019333
