B_Prose,B01,B01.003.024_AELS__Abdon_and_Sennes__T03240.txt,582,392,1468
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,83,0.0565395
2,to,<code>to</code>,61,0.0415531
3,&thorn;a,<code>&amp;t;a</code>,35,0.0238420
4,on,<code>on</code>,33,0.0224796
5,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,30,0.0204360
6,&thorn;e,<code>&amp;t;e</code>,29,0.0197548
7,he,<code>he</code>,26,0.0177112
8,him,<code>him</code>,24,0.0163488
9,&eth;a,<code>&amp;d;a</code>,21,0.0143052
9,&thorn;am,<code>&amp;t;am</code>,21,0.0143052
11,hi,<code>hi</code>,20,0.0136240
11,his,<code>his</code>,20,0.0136240
11,ic,<code>ic</code>,20,0.0136240
14,se,<code>se</code>,18,0.0122616
15,&eth;am,<code>&amp;d;am</code>,16,0.0108992
16,swa,<code>swa</code>,15,0.0102180
17,me,<code>me</code>,14,0.0095368
18,&eth;e,<code>&amp;d;e</code>,13,0.0088556
18,be,<code>be</code>,13,0.0088556
20,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,11,0.0074932
21,&eth;u,<code>&amp;d;u</code>,10,0.0068120
21,het,<code>het</code>,10,0.0068120
21,we,<code>we</code>,10,0.0068120
24,&thorn;u,<code>&amp;t;u</code>,9,0.0061308
24,for,<code>for</code>,9,0.0061308
26,mid,<code>mid</code>,8,0.0054496
27,h&aelig;lend,<code>h&amp;ae;lend</code>,7,0.0047684
27,halgan,<code>halgan</code>,7,0.0047684
27,ne,<code>ne</code>,7,0.0047684
27,tatheus,<code>tatheus</code>,7,0.0047684
31,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,6,0.0040872
31,&thorn;is,<code>&amp;t;is</code>,6,0.0040872
31,&thorn;one,<code>&amp;t;one</code>,6,0.0040872
31,&thorn;urh,<code>&amp;t;urh</code>,6,0.0040872
31,abgarus,<code>abgarus</code>,6,0.0040872
31,cristes,<code>cristes</code>,6,0.0040872
31,ge,<code>ge</code>,6,0.0040872
31,geleafan,<code>geleafan</code>,6,0.0040872
31,w&aelig;s,<code>w&amp;ae;s</code>,6,0.0040872
31,wolde,<code>wolde</code>,6,0.0040872
41,&eth;&aelig;s,<code>&amp;d;&amp;ae;s</code>,5,0.0034060
41,&thorn;us,<code>&amp;t;us</code>,5,0.0034060
41,asende,<code>asende</code>,5,0.0034060
41,cyninge,<code>cyninge</code>,5,0.0034060
41,eft,<code>eft</code>,5,0.0034060
41,godum,<code>godum</code>,5,0.0034060
41,heora,<code>heora</code>,5,0.0034060
41,hine,<code>hine</code>,5,0.0034060
41,hu,<code>hu</code>,5,0.0034060
41,is,<code>is</code>,5,0.0034060
