B_Prose,B01,B01.003.025_AELS__Maccabees__T03250.txt,1834,1149,6767
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,453,0.0669425
2,&thorn;a,<code>&amp;t;a</code>,163,0.0240875
3,on,<code>on</code>,160,0.0236442
4,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,151,0.0223142
4,to,<code>to</code>,151,0.0223142
6,mid,<code>mid</code>,142,0.0209842
7,his,<code>his</code>,137,0.0202453
8,&eth;a,<code>&amp;d;a</code>,130,0.0192109
9,hi,<code>hi</code>,121,0.0178809
10,he,<code>he</code>,112,0.0165509
11,&thorn;e,<code>&amp;t;e</code>,110,0.0162554
12,him,<code>him</code>,78,0.0115265
12,swa,<code>swa</code>,78,0.0115265
14,&thorn;am,<code>&amp;t;am</code>,66,0.0097532
15,heora,<code>heora</code>,60,0.0088666
16,se,<code>se</code>,59,0.0087188
17,godes,<code>godes</code>,55,0.0081277
18,for,<code>for</code>,44,0.0065021
19,&eth;am,<code>&amp;d;am</code>,42,0.0062066
20,ac,<code>ac</code>,41,0.0060588
21,iudas,<code>iudas</code>,40,0.0059110
21,ne,<code>ne</code>,40,0.0059110
21,w&aelig;s,<code>w&amp;ae;s</code>,40,0.0059110
24,wi&eth;,<code>wi&amp;d;</code>,36,0.0053199
25,of,<code>of</code>,35,0.0051722
26,&eth;e,<code>&amp;d;e</code>,33,0.0048766
26,god,<code>god</code>,33,0.0048766
28,&aelig;,<code>&amp;ae;</code>,31,0.0045811
29,ealle,<code>ealle</code>,29,0.0042855
30,hine,<code>hine</code>,28,0.0041377
30,nu,<code>nu</code>,28,0.0041377
30,we,<code>we</code>,28,0.0041377
33,&thorn;one,<code>&amp;t;one</code>,27,0.0039900
33,is,<code>is</code>,27,0.0039900
35,&eth;&aelig;re,<code>&amp;d;&amp;ae;re</code>,26,0.0038422
36,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,24,0.0035466
36,w&aelig;ron,<code>w&amp;ae;ron</code>,24,0.0035466
38,eac,<code>eac</code>,23,0.0033988
38,h&aelig;&eth;enan,<code>h&amp;ae;&amp;d;enan</code>,23,0.0033988
38,ic,<code>ic</code>,23,0.0033988
38,wolde,<code>wolde</code>,23,0.0033988
42,gode,<code>gode</code>,22,0.0032511
42,us,<code>us</code>,22,0.0032511
44,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,21,0.0031033
45,&aelig;fter,<code>&amp;ae;fter</code>,20,0.0029555
45,gefeohte,<code>gefeohte</code>,20,0.0029555
47,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,19,0.0028077
47,for&eth;an,<code>for&amp;d;an</code>,19,0.0028077
47,iudan,<code>iudan</code>,19,0.0028077
47,wear&eth;,<code>wear&amp;d;</code>,19,0.0028077
51,synd,<code>synd</code>,17,0.0025122
52,eft,<code>eft</code>,16,0.0023644
52,manna,<code>manna</code>,16,0.0023644
54,com,<code>com</code>,15,0.0022166
54,ealdan,<code>ealdan</code>,15,0.0022166
54,fram,<code>fram</code>,15,0.0022166
57,&aelig;lmihtigan,<code>&amp;ae;lmihtigan</code>,14,0.0020689
57,fyrde,<code>fyrde</code>,14,0.0020689
57,o&eth;,<code>o&amp;d;</code>,14,0.0020689
60,&aelig;t,<code>&amp;ae;t</code>,13,0.0019211
60,&thorn;urh,<code>&amp;t;urh</code>,13,0.0019211
60,cynincg,<code>cynincg</code>,13,0.0019211
60,fela,<code>fela</code>,13,0.0019211
60,here,<code>here</code>,13,0.0019211
60,het,<code>het</code>,13,0.0019211
60,hit,<code>hit</code>,13,0.0019211
60,hu,<code>hu</code>,13,0.0019211
60,hw&aelig;t,<code>hw&amp;ae;t</code>,13,0.0019211
69,&eth;u,<code>&amp;d;u</code>,12,0.0017733
69,ferde,<code>ferde</code>,12,0.0017733
69,fuhton,<code>fuhton</code>,12,0.0017733
69,life,<code>life</code>,12,0.0017733
69,mihte,<code>mihte</code>,12,0.0017733
69,sona,<code>sona</code>,12,0.0017733
69,sum,<code>sum</code>,12,0.0017733
76,byrig,<code>byrig</code>,11,0.0016255
76,gif,<code>gif</code>,11,0.0016255
76,lande,<code>lande</code>,11,0.0016255
76,sende,<code>sende</code>,11,0.0016255
80,&eth;&aelig;r,<code>&amp;d;&amp;ae;r</code>,10,0.0014778
80,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,10,0.0014778
80,an,<code>an</code>,10,0.0014778
80,comon,<code>comon</code>,10,0.0014778
80,fynd,<code>fynd</code>,10,0.0014778
80,gebro&eth;ra,<code>gebro&amp;d;ra</code>,10,0.0014778
80,geleafan,<code>geleafan</code>,10,0.0014778
80,lif,<code>lif</code>,10,0.0014778
80,o&eth;re,<code>o&amp;d;re</code>,10,0.0014778
80,seo,<code>seo</code>,10,0.0014778
80,ure,<code>ure</code>,10,0.0014778
80,w&aelig;pnum,<code>w&amp;ae;pnum</code>,10,0.0014778
80,wurdon,<code>wurdon</code>,10,0.0014778
93,&aelig;fre,<code>&amp;ae;fre</code>,9,0.0013300
93,&thorn;onne,<code>&amp;t;onne</code>,9,0.0013300
93,butan,<code>butan</code>,9,0.0013300
93,eallum,<code>eallum</code>,9,0.0013300
93,eow,<code>eow</code>,9,0.0013300
93,geferan,<code>geferan</code>,9,0.0013300
93,ofslagene,<code>ofslagene</code>,9,0.0013300
93,ofsloh,<code>ofsloh</code>,9,0.0013300
93,sume,<code>sume</code>,9,0.0013300
93,swy&eth;e,<code>swy&amp;d;e</code>,9,0.0013300
93,sylf,<code>sylf</code>,9,0.0013300
93,uncl&aelig;ne,<code>uncl&amp;ae;ne</code>,9,0.0013300
105,&eth;one,<code>&amp;d;one</code>,8,0.0011822
105,&thorn;usend,<code>&amp;t;usend</code>,8,0.0011822
105,be,<code>be</code>,8,0.0011822
105,betwux,<code>betwux</code>,8,0.0011822
105,bi&eth;,<code>bi&amp;d;</code>,8,0.0011822
105,folc,<code>folc</code>,8,0.0011822
105,gehaten,<code>gehaten</code>,8,0.0011822
105,halgan,<code>halgan</code>,8,0.0011822
105,heom,<code>heom</code>,8,0.0011822
105,man,<code>man</code>,8,0.0011822
105,mannum,<code>mannum</code>,8,0.0011822
105,modor,<code>modor</code>,8,0.0011822
105,mycelre,<code>mycelre</code>,8,0.0011822
118,&thorn;&aelig;ra,<code>&amp;t;&amp;ae;ra</code>,7,0.0010344
118,&thorn;eah,<code>&amp;t;eah</code>,7,0.0010344
118,&thorn;usenda,<code>&amp;t;usenda</code>,7,0.0010344
118,beo&eth;,<code>beo&amp;d;</code>,7,0.0010344
