B_Prose,B01,B01.003.026_AELS__Oswald__T03260.txt,848,573,2264
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,127,0.0560954
2,to,<code>to</code>,69,0.0304770
3,on,<code>on</code>,68,0.0300353
4,&thorn;a,<code>&amp;t;a</code>,66,0.0291519
5,his,<code>his</code>,56,0.0247350
6,he,<code>he</code>,49,0.0216431
7,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,47,0.0207597
8,swa,<code>swa</code>,41,0.0181095
9,&thorn;e,<code>&amp;t;e</code>,36,0.0159011
9,mid,<code>mid</code>,36,0.0159011
11,&thorn;am,<code>&amp;t;am</code>,35,0.0154594
12,se,<code>se</code>,31,0.0136926
13,him,<code>him</code>,21,0.0092756
14,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,20,0.0088339
15,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,19,0.0083922
15,&thorn;one,<code>&amp;t;one</code>,19,0.0083922
17,w&aelig;s,<code>w&amp;ae;s</code>,18,0.0079505
18,&eth;a,<code>&amp;d;a</code>,16,0.0070671
18,wear&eth;,<code>wear&amp;d;</code>,16,0.0070671
20,hi,<code>hi</code>,15,0.0066254
20,oswold,<code>oswold</code>,15,0.0066254
22,halgan,<code>halgan</code>,14,0.0061837
23,gode,<code>gode</code>,13,0.0057420
23,sona,<code>sona</code>,13,0.0057420
25,man,<code>man</code>,12,0.0053004
26,for,<code>for</code>,10,0.0044170
26,hit,<code>hit</code>,10,0.0044170
28,cyning,<code>cyning</code>,9,0.0039753
28,fram,<code>fram</code>,9,0.0039753
28,geleafan,<code>geleafan</code>,9,0.0039753
28,ne,<code>ne</code>,9,0.0039753
28,of,<code>of</code>,9,0.0039753
33,eft,<code>eft</code>,8,0.0035336
33,heora,<code>heora</code>,8,0.0035336
33,hine,<code>hine</code>,8,0.0035336
33,o&eth;,<code>o&amp;d;</code>,8,0.0035336
33,sum,<code>sum</code>,8,0.0035336
38,&aelig;r,<code>&amp;ae;r</code>,7,0.0030919
38,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,7,0.0030919
38,cynincg,<code>cynincg</code>,7,0.0030919
38,eac,<code>eac</code>,7,0.0030919
38,ealle,<code>ealle</code>,7,0.0030919
38,geond,<code>geond</code>,7,0.0030919
38,god,<code>god</code>,7,0.0030919
38,godes,<code>godes</code>,7,0.0030919
38,ic,<code>ic</code>,7,0.0030919
38,nu,<code>nu</code>,7,0.0030919
48,ban,<code>ban</code>,6,0.0026502
48,be,<code>be</code>,6,0.0026502
48,bisceop,<code>bisceop</code>,6,0.0026502
48,eall,<code>eall</code>,6,0.0026502
48,ferde,<code>ferde</code>,6,0.0026502
48,gehaten,<code>gehaten</code>,6,0.0026502
48,hw&aelig;t,<code>hw&amp;ae;t</code>,6,0.0026502
48,oswoldes,<code>oswoldes</code>,6,0.0026502
48,wolde,<code>wolde</code>,6,0.0026502
48,wurdon,<code>wurdon</code>,6,0.0026502
58,&aelig;fter,<code>&amp;ae;fter</code>,5,0.0022085
58,&eth;&aelig;re,<code>&amp;d;&amp;ae;re</code>,5,0.0022085
58,&thorn;urh,<code>&amp;t;urh</code>,5,0.0022085
58,ac,<code>ac</code>,5,0.0022085
58,binnan,<code>binnan</code>,5,0.0022085
58,cyninges,<code>cyninges</code>,5,0.0022085
58,cyrcan,<code>cyrcan</code>,5,0.0022085
58,hand,<code>hand</code>,5,0.0022085
58,heafod,<code>heafod</code>,5,0.0022085
58,nor&eth;hymbra,<code>nor&amp;d;hymbra</code>,5,0.0022085
58,wi&eth;,<code>wi&amp;d;</code>,5,0.0022085
58,worulde,<code>worulde</code>,5,0.0022085
58,ylcan,<code>ylcan</code>,5,0.0022085
71,&aelig;lmihtigan,<code>&amp;ae;lmihtigan</code>,4,0.0017668
71,&eth;am,<code>&amp;d;am</code>,4,0.0017668
71,&thorn;earfum,<code>&amp;t;earfum</code>,4,0.0017668
71,an,<code>an</code>,4,0.0017668
71,anum,<code>anum</code>,4,0.0017668
71,becom,<code>becom</code>,4,0.0017668
71,clypode,<code>clypode</code>,4,0.0017668
71,eallum,<code>eallum</code>,4,0.0017668
71,gefeohte,<code>gefeohte</code>,4,0.0017668
71,gif,<code>gif</code>,4,0.0017668
71,git,<code>git</code>,4,0.0017668
71,halga,<code>halga</code>,4,0.0017668
71,heo,<code>heo</code>,4,0.0017668
71,is,<code>is</code>,4,0.0017668
71,lande,<code>lande</code>,4,0.0017668
71,leode,<code>leode</code>,4,0.0017668
71,mihte,<code>mihte</code>,4,0.0017668
71,nan,<code>nan</code>,4,0.0017668
71,rode,<code>rode</code>,4,0.0017668
71,si&eth;&eth;an,<code>si&amp;d;&amp;d;an</code>,4,0.0017668
71,stod,<code>stod</code>,4,0.0017668
71,stowe,<code>stowe</code>,4,0.0017668
71,sumne,<code>sumne</code>,4,0.0017668
71,swilce,<code>swilce</code>,4,0.0017668
71,sylf,<code>sylf</code>,4,0.0017668
71,us,<code>us</code>,4,0.0017668
71,w&aelig;ter,<code>w&amp;ae;ter</code>,4,0.0017668
71,willan,<code>willan</code>,4,0.0017668
71,wur&eth;mynte,<code>wur&amp;d;mynte</code>,4,0.0017668
100,&thorn;u,<code>&amp;t;u</code>,3,0.0013251
100,&thorn;us,<code>&amp;t;us</code>,3,0.0013251
100,aidan,<code>aidan</code>,3,0.0013251
100,arwur&eth;lice,<code>arwur&amp;d;lice</code>,3,0.0013251
100,bli&eth;e,<code>bli&amp;d;e</code>,3,0.0013251
100,bro&eth;or,<code>bro&amp;d;or</code>,3,0.0013251
100,com,<code>com</code>,3,0.0013251
100,criste,<code>criste</code>,3,0.0013251
100,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,3,0.0013251
100,cyninge,<code>cyninge</code>,3,0.0013251
100,duste,<code>duste</code>,3,0.0013251
100,earm,<code>earm</code>,3,0.0013251
100,embe,<code>embe</code>,3,0.0013251
100,fela,<code>fela</code>,3,0.0013251
100,ferode,<code>ferode</code>,3,0.0013251
100,folc,<code>folc</code>,3,0.0013251
100,folce,<code>folce</code>,3,0.0013251
100,fores&aelig;dan,<code>fores&amp;ae;dan</code>,3,0.0013251
100,gebedum,<code>gebedum</code>,3,0.0013251
100,gelamp,<code>gelamp</code>,3,0.0013251
100,geleafa,<code>geleafa</code>,3,0.0013251
100,gewende,<code>gewende</code>,3,0.0013251
100,hal,<code>hal</code>,3,0.0013251
100,halig,<code>halig</code>,3,0.0013251
100,heofonum,<code>heofonum</code>,3,0.0013251
100,hu,<code>hu</code>,3,0.0013251
100,lare,<code>lare</code>,3,0.0013251
100,leoda,<code>leoda</code>,3,0.0013251
100,leofode,<code>leofode</code>,3,0.0013251
100,lufode,<code>lufode</code>,3,0.0013251
100,men,<code>men</code>,3,0.0013251
100,micclum,<code>micclum</code>,3,0.0013251
100,mynstre,<code>mynstre</code>,3,0.0013251
100,myrcena,<code>myrcena</code>,3,0.0013251
100,o&eth;&eth;e,<code>o&amp;d;&amp;d;e</code>,3,0.0013251
100,ofer,<code>ofer</code>,3,0.0013251
100,ofslagen,<code>ofslagen</code>,3,0.0013251
100,preost,<code>preost</code>,3,0.0013251
100,rice,<code>rice</code>,3,0.0013251
100,rome,<code>rome</code>,3,0.0013251
100,s&aelig;de,<code>s&amp;ae;de</code>,3,0.0013251
100,sanct,<code>sanct</code>,3,0.0013251
100,seo,<code>seo</code>,3,0.0013251
100,slege,<code>slege</code>,3,0.0013251
100,swi&eth;e,<code>swi&amp;d;e</code>,3,0.0013251
100,swy&eth;e,<code>swy&amp;d;e</code>,3,0.0013251
100,we,<code>we</code>,3,0.0013251
100,wear&thorn;,<code>wear&amp;t;</code>,3,0.0013251
100,weorcum,<code>weorcum</code>,3,0.0013251
100,wer,<code>wer</code>,3,0.0013251
100,werode,<code>werode</code>,3,0.0013251
151,&aelig;fre,<code>&amp;ae;fre</code>,2,0.0008834
151,&aelig;lmyssan,<code>&amp;ae;lmyssan</code>,2,0.0008834
151,&aelig;t,<code>&amp;ae;t</code>,2,0.0008834
151,&eth;an,<code>&amp;d;an</code>,2,0.0008834
151,&eth;e,<code>&amp;d;e</code>,2,0.0008834
151,&thorn;eawum,<code>&amp;t;eawum</code>,2,0.0008834
151,&thorn;incg,<code>&amp;t;incg</code>,2,0.0008834
151,&thorn;onne,<code>&amp;t;onne</code>,2,0.0008834
151,a,<code>a</code>,2,0.0008834
151,afyrhte,<code>afyrhte</code>,2,0.0008834
151,aidanus,<code>aidanus</code>,2,0.0008834
151,ansund,<code>ansund</code>,2,0.0008834
151,ar&aelig;rde,<code>ar&amp;ae;rde</code>,2,0.0008834
151,arwur&eth;nysse,<code>arwur&amp;d;nysse</code>,2,0.0008834
151,b&aelig;d,<code>b&amp;ae;d</code>,2,0.0008834
151,b&aelig;r,<code>b&amp;ae;r</code>,2,0.0008834
151,beda,<code>beda</code>,2,0.0008834
151,betwux,<code>betwux</code>,2,0.0008834
151,birinus,<code>birinus</code>,2,0.0008834
151,bisceopes,<code>bisceopes</code>,2,0.0008834
151,bodigende,<code>bodigende</code>,2,0.0008834
151,brosnunge,<code>brosnunge</code>,2,0.0008834
151,butan,<code>butan</code>,2,0.0008834
151,buton,<code>buton</code>,2,0.0008834
151,byrig,<code>byrig</code>,2,0.0008834
151,ceadwalla,<code>ceadwalla</code>,2,0.0008834
151,crist,<code>crist</code>,2,0.0008834
151,cydde,<code>cydde</code>,2,0.0008834
151,cynegyls,<code>cynegyls</code>,2,0.0008834
151,d&aelig;dum,<code>d&amp;ae;dum</code>,2,0.0008834
151,d&aelig;l,<code>d&amp;ae;l</code>,2,0.0008834
151,disc,<code>disc</code>,2,0.0008834
151,dust,<code>dust</code>,2,0.0008834
151,dyde,<code>dyde</code>,2,0.0008834
151,eadwine,<code>eadwine</code>,2,0.0008834
151,ecan,<code>ecan</code>,2,0.0008834
151,ecnysse,<code>ecnysse</code>,2,0.0008834
151,eodon,<code>eodon</code>,2,0.0008834
151,eor&eth;an,<code>eor&amp;d;an</code>,2,0.0008834
151,f&aelig;gnode,<code>f&amp;ae;gnode</code>,2,0.0008834
151,feld,<code>feld</code>,2,0.0008834
151,feol,<code>feol</code>,2,0.0008834
151,feoll,<code>feoll</code>,2,0.0008834
151,feollon,<code>feollon</code>,2,0.0008834
151,for&eth;,<code>for&amp;d;</code>,2,0.0008834
151,fotum,<code>fotum</code>,2,0.0008834
151,fylle,<code>fylle</code>,2,0.0008834
151,fyr,<code>fyr</code>,2,0.0008834
151,geare,<code>geare</code>,2,0.0008834
151,gearum,<code>gearum</code>,2,0.0008834
151,gebeoras,<code>gebeoras</code>,2,0.0008834
151,gebeorum,<code>gebeorum</code>,2,0.0008834
151,gebigan,<code>gebigan</code>,2,0.0008834
151,gebigde,<code>gebigde</code>,2,0.0008834
