B_Prose,B01,B01.003.027_AELS__Exalt_of_Cross__T03270.txt,707,509,1704
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,89,0.0522300
2,&thorn;a,<code>&amp;t;a</code>,50,0.0293427
3,to,<code>to</code>,46,0.0269953
4,on,<code>on</code>,43,0.0252347
5,mid,<code>mid</code>,42,0.0246479
6,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,36,0.0211268
6,he,<code>he</code>,36,0.0211268
8,&thorn;e,<code>&amp;t;e</code>,32,0.0187793
8,his,<code>his</code>,32,0.0187793
8,se,<code>se</code>,32,0.0187793
11,swa,<code>swa</code>,31,0.0181925
12,&thorn;am,<code>&amp;t;am</code>,22,0.0129108
13,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,20,0.0117371
14,rode,<code>rode</code>,17,0.0099765
15,hi,<code>hi</code>,14,0.0082160
16,halgan,<code>halgan</code>,12,0.0070423
16,is,<code>is</code>,12,0.0070423
16,w&aelig;s,<code>w&amp;ae;s</code>,12,0.0070423
19,&eth;a,<code>&amp;d;a</code>,11,0.0064554
19,godes,<code>godes</code>,11,0.0064554
19,him,<code>him</code>,11,0.0064554
19,wolde,<code>wolde</code>,11,0.0064554
23,&thorn;urh,<code>&amp;t;urh</code>,10,0.0058685
23,ac,<code>ac</code>,10,0.0058685
23,god,<code>god</code>,10,0.0058685
23,hine,<code>hine</code>,10,0.0058685
23,ne,<code>ne</code>,10,0.0058685
28,casere,<code>casere</code>,9,0.0052817
28,crist,<code>crist</code>,9,0.0052817
30,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,8,0.0046948
30,&thorn;one,<code>&amp;t;one</code>,8,0.0046948
30,for,<code>for</code>,8,0.0046948
30,man,<code>man</code>,8,0.0046948
34,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,7,0.0041080
34,geleafan,<code>geleafan</code>,7,0.0041080
34,heo,<code>heo</code>,7,0.0041080
34,heora,<code>heora</code>,7,0.0041080
34,hit,<code>hit</code>,7,0.0041080
34,si&eth;&eth;an,<code>si&amp;d;&amp;d;an</code>,7,0.0041080
34,sona,<code>sona</code>,7,0.0041080
41,&thorn;eah,<code>&amp;t;eah</code>,6,0.0035211
41,&thorn;u,<code>&amp;t;u</code>,6,0.0035211
41,cristes,<code>cristes</code>,6,0.0035211
41,gode,<code>gode</code>,6,0.0035211
41,we,<code>we</code>,6,0.0035211
46,cosdrue,<code>cosdrue</code>,5,0.0029343
46,mihte,<code>mihte</code>,5,0.0029343
46,sunu,<code>sunu</code>,5,0.0029343
46,wundorlice,<code>wundorlice</code>,5,0.0029343
46,wur&eth;mynte,<code>wur&amp;d;mynte</code>,5,0.0029343
51,&aelig;t,<code>&amp;ae;t</code>,4,0.0023474
51,&eth;am,<code>&amp;d;am</code>,4,0.0023474
51,&thorn;onne,<code>&amp;t;onne</code>,4,0.0023474
51,bi&eth;,<code>bi&amp;d;</code>,4,0.0023474
51,com,<code>com</code>,4,0.0023474
51,d&aelig;ge,<code>d&amp;ae;ge</code>,4,0.0023474
51,dema,<code>dema</code>,4,0.0023474
51,eall,<code>eall</code>,4,0.0023474
51,fram,<code>fram</code>,4,0.0023474
51,fulluhte,<code>fulluhte</code>,4,0.0023474
51,gif,<code>gif</code>,4,0.0023474
51,h&aelig;lend,<code>h&amp;ae;lend</code>,4,0.0023474
51,land,<code>land</code>,4,0.0023474
51,micclum,<code>micclum</code>,4,0.0023474
51,nu,<code>nu</code>,4,0.0023474
51,of,<code>of</code>,4,0.0023474
51,sylf,<code>sylf</code>,4,0.0023474
51,up,<code>up</code>,4,0.0023474
51,us,<code>us</code>,4,0.0023474
51,w&aelig;re,<code>w&amp;ae;re</code>,4,0.0023474
71,&aelig;fre,<code>&amp;ae;fre</code>,3,0.0017606
71,&eth;e,<code>&amp;d;e</code>,3,0.0017606
71,&thorn;is,<code>&amp;t;is</code>,3,0.0017606
71,be,<code>be</code>,3,0.0017606
71,beah,<code>beah</code>,3,0.0017606
71,criste,<code>criste</code>,3,0.0017606
71,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,3,0.0017606
71,ealle,<code>ealle</code>,3,0.0017606
71,eft,<code>eft</code>,3,0.0017606
71,fela,<code>fela</code>,3,0.0017606
71,for&thorn;an,<code>for&amp;t;an</code>,3,0.0017606
