B_Prose,B01,B01.003.028_AELS__Maurice__T03280.txt,603,442,1361
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,71,0.0521675
2,&thorn;a,<code>&amp;t;a</code>,42,0.0308597
3,mid,<code>mid</code>,38,0.0279206
3,swa,<code>swa</code>,38,0.0279206
5,to,<code>to</code>,35,0.0257164
6,&thorn;am,<code>&amp;t;am</code>,29,0.0213079
7,we,<code>we</code>,28,0.0205731
8,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,27,0.0198384
8,hi,<code>hi</code>,27,0.0198384
10,on,<code>on</code>,25,0.0183688
11,his,<code>his</code>,21,0.0154298
12,&thorn;e,<code>&amp;t;e</code>,19,0.0139603
13,se,<code>se</code>,17,0.0124908
14,he,<code>he</code>,16,0.0117561
15,heora,<code>heora</code>,13,0.0095518
16,w&aelig;ron,<code>w&amp;ae;ron</code>,12,0.0088170
17,casere,<code>casere</code>,11,0.0080823
18,him,<code>him</code>,10,0.0073475
19,ac,<code>ac</code>,9,0.0066128
20,for,<code>for</code>,8,0.0058780
20,ne,<code>ne</code>,8,0.0058780
22,godes,<code>godes</code>,7,0.0051433
22,het,<code>het</code>,7,0.0051433
22,nu,<code>nu</code>,7,0.0051433
22,us,<code>us</code>,7,0.0051433
26,&eth;a,<code>&amp;d;a</code>,6,0.0044085
26,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,6,0.0044085
26,gode,<code>gode</code>,6,0.0044085
26,halgum,<code>halgum</code>,6,0.0044085
26,hw&aelig;t,<code>hw&amp;ae;t</code>,6,0.0044085
26,is,<code>is</code>,6,0.0044085
26,menn,<code>menn</code>,6,0.0044085
33,&eth;am,<code>&amp;d;am</code>,5,0.0036738
33,&thorn;one,<code>&amp;t;one</code>,5,0.0036738
33,crist,<code>crist</code>,5,0.0036738
33,for&thorn;an,<code>for&amp;t;an</code>,5,0.0036738
33,hu,<code>hu</code>,5,0.0036738
33,life,<code>life</code>,5,0.0036738
33,middaneard,<code>middaneard</code>,5,0.0036738
33,of,<code>of</code>,5,0.0036738
41,&aelig;fre,<code>&amp;ae;fre</code>,4,0.0029390
41,&aelig;fter,<code>&amp;ae;fter</code>,4,0.0029390
41,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,4,0.0029390
41,&thorn;onne,<code>&amp;t;onne</code>,4,0.0029390
41,an,<code>an</code>,4,0.0029390
41,cristes,<code>cristes</code>,4,0.0029390
41,ecan,<code>ecan</code>,4,0.0029390
41,fela,<code>fela</code>,4,0.0029390
41,fram,<code>fram</code>,4,0.0029390
41,hine,<code>hine</code>,4,0.0029390
41,maximianus,<code>maximianus</code>,4,0.0029390
41,noldon,<code>noldon</code>,4,0.0029390
41,ure,<code>ure</code>,4,0.0029390
41,w&aelig;pnum,<code>w&amp;ae;pnum</code>,4,0.0029390
55,&aelig;rendracan,<code>&amp;ae;rendracan</code>,3,0.0022043
55,&thorn;&aelig;ra,<code>&amp;t;&amp;ae;ra</code>,3,0.0022043
55,&thorn;eah,<code>&amp;t;eah</code>,3,0.0022043
