B_Prose,B01,B01.003.029_AELS__Denis__T03290.txt,933,625,2637
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,139,0.0527114
2,&thorn;a,<code>&amp;t;a</code>,93,0.0352673
3,to,<code>to</code>,64,0.0242700
4,he,<code>he</code>,63,0.0238908
5,mid,<code>mid</code>,58,0.0219947
5,on,<code>on</code>,58,0.0219947
7,swa,<code>swa</code>,56,0.0212363
8,&thorn;am,<code>&amp;t;am</code>,55,0.0208570
9,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,47,0.0178233
9,se,<code>se</code>,47,0.0178233
11,&thorn;e,<code>&amp;t;e</code>,39,0.0147895
12,his,<code>his</code>,38,0.0144103
13,&thorn;one,<code>&amp;t;one</code>,27,0.0102389
14,hi,<code>hi</code>,26,0.0098597
15,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,24,0.0091013
15,halgan,<code>halgan</code>,24,0.0091013
17,&thorn;urh,<code>&amp;t;urh</code>,19,0.0072052
17,him,<code>him</code>,19,0.0072052
19,het,<code>het</code>,18,0.0068259
20,geleafan,<code>geleafan</code>,17,0.0064467
21,god,<code>god</code>,16,0.0060675
21,w&aelig;s,<code>w&amp;ae;s</code>,16,0.0060675
23,hine,<code>hine</code>,15,0.0056883
24,&eth;a,<code>&amp;d;a</code>,14,0.0053091
24,for,<code>for</code>,14,0.0053091
24,heora,<code>heora</code>,14,0.0053091
27,ac,<code>ac</code>,13,0.0049298
28,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,12,0.0045506
28,ealle,<code>ealle</code>,12,0.0045506
28,is,<code>is</code>,12,0.0045506
28,paulus,<code>paulus</code>,12,0.0045506
32,&thorn;&aelig;ra,<code>&amp;t;&amp;ae;ra</code>,10,0.0037922
32,dionisius,<code>dionisius</code>,10,0.0037922
32,lare,<code>lare</code>,10,0.0037922
35,&aelig;t,<code>&amp;ae;t</code>,9,0.0034130
35,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,9,0.0034130
35,eac,<code>eac</code>,9,0.0034130
35,eft,<code>eft</code>,9,0.0034130
35,gode,<code>gode</code>,9,0.0034130
35,w&aelig;ron,<code>w&amp;ae;ron</code>,9,0.0034130
41,bisceop,<code>bisceop</code>,8,0.0030338
41,com,<code>com</code>,8,0.0030338
41,fela,<code>fela</code>,8,0.0030338
41,godes,<code>godes</code>,8,0.0030338
41,lic,<code>lic</code>,8,0.0030338
41,man,<code>man</code>,8,0.0030338
41,mihte,<code>mihte</code>,8,0.0030338
41,o&eth;,<code>o&amp;d;</code>,8,0.0030338
41,sona,<code>sona</code>,8,0.0030338
41,wolde,<code>wolde</code>,8,0.0030338
51,&thorn;u,<code>&amp;t;u</code>,7,0.0026545
51,be,<code>be</code>,7,0.0026545
51,byrig,<code>byrig</code>,7,0.0026545
51,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,7,0.0026545
51,h&aelig;lend,<code>h&amp;ae;lend</code>,7,0.0026545
51,mannum,<code>mannum</code>,7,0.0026545
51,sisinnius,<code>sisinnius</code>,7,0.0026545
58,&eth;e,<code>&amp;d;e</code>,6,0.0022753
58,bisceope,<code>bisceope</code>,6,0.0022753
58,dyonisius,<code>dyonisius</code>,6,0.0022753
58,gif,<code>gif</code>,6,0.0022753
58,h&aelig;lendes,<code>h&amp;ae;lendes</code>,6,0.0022753
58,halga,<code>halga</code>,6,0.0022753
58,hw&aelig;t,<code>hw&amp;ae;t</code>,6,0.0022753
58,ic,<code>ic</code>,6,0.0022753
58,ne,<code>ne</code>,6,0.0022753
58,of,<code>of</code>,6,0.0022753
58,rice,<code>rice</code>,6,0.0022753
69,&aelig;r,<code>&amp;ae;r</code>,5,0.0018961
69,&thorn;is,<code>&amp;t;is</code>,5,0.0018961
69,casere,<code>casere</code>,5,0.0018961
69,crist,<code>crist</code>,5,0.0018961
69,cwearterne,<code>cwearterne</code>,5,0.0018961
69,dema,<code>dema</code>,5,0.0018961
69,drihtnes,<code>drihtnes</code>,5,0.0018961
69,eallum,<code>eallum</code>,5,0.0018961
69,eode,<code>eode</code>,5,0.0018961
69,ferde,<code>ferde</code>,5,0.0018961
69,fram,<code>fram</code>,5,0.0018961
69,geboren,<code>geboren</code>,5,0.0018961
69,git,<code>git</code>,5,0.0018961
69,hu,<code>hu</code>,5,0.0018961
69,seo,<code>seo</code>,5,0.0018961
69,si&eth;&eth;an,<code>si&amp;d;&amp;d;an</code>,5,0.0018961
69,sylf,<code>sylf</code>,5,0.0018961
69,wer,<code>wer</code>,5,0.0018961
69,wundra,<code>wundra</code>,5,0.0018961
88,bec,<code>bec</code>,4,0.0015169
88,bodigende,<code>bodigende</code>,4,0.0015169
88,drihten,<code>drihten</code>,4,0.0015169
88,dyde,<code>dyde</code>,4,0.0015169
88,engla,<code>engla</code>,4,0.0015169
88,f&aelig;der,<code>f&amp;ae;der</code>,4,0.0015169
88,francena,<code>francena</code>,4,0.0015169
88,funde,<code>funde</code>,4,0.0015169
88,ge,<code>ge</code>,4,0.0015169
88,gebigde,<code>gebigde</code>,4,0.0015169
88,gehaten,<code>gehaten</code>,4,0.0015169
88,gelyfan,<code>gelyfan</code>,4,0.0015169
88,geond,<code>geond</code>,4,0.0015169
88,h&aelig;&eth;enan,<code>h&amp;ae;&amp;d;enan</code>,4,0.0015169
88,hit,<code>hit</code>,4,0.0015169
88,hra&eth;e,<code>hra&amp;d;e</code>,4,0.0015169
88,land,<code>land</code>,4,0.0015169
88,leoht,<code>leoht</code>,4,0.0015169
88,m&aelig;ran,<code>m&amp;ae;ran</code>,4,0.0015169
88,minum,<code>minum</code>,4,0.0015169
88,nero,<code>nero</code>,4,0.0015169
88,o&thorn;,<code>o&amp;t;</code>,4,0.0015169
88,o&thorn;rum,<code>o&amp;t;rum</code>,4,0.0015169
88,ofer,<code>ofer</code>,4,0.0015169
88,paule,<code>paule</code>,4,0.0015169
88,rome,<code>rome</code>,4,0.0015169
88,so&eth;lice,<code>so&amp;d;lice</code>,4,0.0015169
88,sum,<code>sum</code>,4,0.0015169
88,sume,<code>sume</code>,4,0.0015169
88,swi&eth;e,<code>swi&amp;d;e</code>,4,0.0015169
88,us,<code>us</code>,4,0.0015169
88,w&aelig;lhreowa,<code>w&amp;ae;lhreowa</code>,4,0.0015169
88,we,<code>we</code>,4,0.0015169
121,&aelig;fter,<code>&amp;ae;fter</code>,3,0.0011377
121,&thorn;onne,<code>&amp;t;onne</code>,3,0.0011377
121,acwellan,<code>acwellan</code>,3,0.0011377
121,andwyrde,<code>andwyrde</code>,3,0.0011377
121,aras,<code>aras</code>,3,0.0011377
121,arwur&eth;an,<code>arwur&amp;d;an</code>,3,0.0011377
121,bealdlice,<code>bealdlice</code>,3,0.0011377
121,beo,<code>beo</code>,3,0.0011377
121,bodode,<code>bodode</code>,3,0.0011377
121,cristenan,<code>cristenan</code>,3,0.0011377
121,cristendom,<code>cristendom</code>,3,0.0011377
121,cwelleras,<code>cwelleras</code>,3,0.0011377
121,deofol,<code>deofol</code>,3,0.0011377
121,dionisies,<code>dionisies</code>,3,0.0011377
121,drihtne,<code>drihtne</code>,3,0.0011377
121,eow,<code>eow</code>,3,0.0011377
121,gast,<code>gast</code>,3,0.0011377
121,geferan,<code>geferan</code>,3,0.0011377
121,gehadode,<code>gehadode</code>,3,0.0011377
121,georne,<code>georne</code>,3,0.0011377
121,gesawon,<code>gesawon</code>,3,0.0011377
121,godas,<code>godas</code>,3,0.0011377
121,godum,<code>godum</code>,3,0.0011377
121,h&aelig;&eth;enum,<code>h&amp;ae;&amp;d;enum</code>,3,0.0011377
121,heofonlican,<code>heofonlican</code>,3,0.0011377
121,heofonum,<code>heofonum</code>,3,0.0011377
121,lande,<code>lande</code>,3,0.0011377
121,lareow,<code>lareow</code>,3,0.0011377
121,leohte,<code>leohte</code>,3,0.0011377
121,life,<code>life</code>,3,0.0011377
121,menn,<code>menn</code>,3,0.0011377
121,micclum,<code>micclum</code>,3,0.0011377
121,micel,<code>micel</code>,3,0.0011377
121,nam,<code>nam</code>,3,0.0011377
121,naman,<code>naman</code>,3,0.0011377
121,nolde,<code>nolde</code>,3,0.0011377
121,nu,<code>nu</code>,3,0.0011377
121,sende,<code>sende</code>,3,0.0011377
121,sumne,<code>sumne</code>,3,0.0011377
121,swingan,<code>swingan</code>,3,0.0011377
121,w&aelig;lhreowan,<code>w&amp;ae;lhreowan</code>,3,0.0011377
121,wear&eth;,<code>wear&amp;d;</code>,3,0.0011377
121,were,<code>were</code>,3,0.0011377
121,witum,<code>witum</code>,3,0.0011377
121,worulde,<code>worulde</code>,3,0.0011377
121,wuna&eth;,<code>wuna&amp;d;</code>,3,0.0011377
121,wundor,<code>wundor</code>,3,0.0011377
121,wunode,<code>wunode</code>,3,0.0011377
121,wurdon,<code>wurdon</code>,3,0.0011377
