B_Prose,B01,B01.003.030_AELS__Martin__T03300.txt,2676,1672,11753
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,611,0.0519867
2,he,<code>he</code>,449,0.0382030
3,&thorn;a,<code>&amp;t;a</code>,438,0.0372671
4,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,344,0.0292691
5,on,<code>on</code>,304,0.0258657
6,his,<code>his</code>,242,0.0205905
7,to,<code>to</code>,230,0.0195695
8,&thorn;am,<code>&amp;t;am</code>,208,0.0176976
9,mid,<code>mid</code>,180,0.0153152
10,se,<code>se</code>,177,0.0150600
11,him,<code>him</code>,152,0.0129329
12,swa,<code>swa</code>,150,0.0127627
13,&thorn;e,<code>&amp;t;e</code>,138,0.0117417
14,ne,<code>ne</code>,131,0.0111461
15,hi,<code>hi</code>,125,0.0106356
16,w&aelig;s,<code>w&amp;ae;s</code>,114,0.0096997
17,martinus,<code>martinus</code>,109,0.0092742
18,hine,<code>hine</code>,94,0.0079980
19,&thorn;one,<code>&amp;t;one</code>,81,0.0068919
20,ac,<code>ac</code>,80,0.0068068
21,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,75,0.0063813
22,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,65,0.0055305
23,of,<code>of</code>,64,0.0054454
24,&eth;a,<code>&amp;d;a</code>,63,0.0053603
24,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,63,0.0053603
24,sona,<code>sona</code>,63,0.0053603
27,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,61,0.0051902
28,wear&eth;,<code>wear&amp;d;</code>,60,0.0051051
29,halga,<code>halga</code>,58,0.0049349
29,w&aelig;re,<code>w&amp;ae;re</code>,58,0.0049349
31,mihte,<code>mihte</code>,53,0.0045095
32,halgan,<code>halgan</code>,51,0.0043393
33,wer,<code>wer</code>,46,0.0039139
34,&thorn;urh,<code>&amp;t;urh</code>,43,0.0036586
35,heora,<code>heora</code>,41,0.0034885
35,w&aelig;ron,<code>w&amp;ae;ron</code>,41,0.0034885
37,man,<code>man</code>,40,0.0034034
38,wolde,<code>wolde</code>,39,0.0033183
39,hit,<code>hit</code>,37,0.0031481
40,for,<code>for</code>,36,0.0030630
41,sum,<code>sum</code>,35,0.0029780
42,ic,<code>ic</code>,34,0.0028929
42,s&aelig;de,<code>s&amp;ae;de</code>,34,0.0028929
44,an,<code>an</code>,33,0.0028078
44,deofol,<code>deofol</code>,33,0.0028078
46,com,<code>com</code>,31,0.0026376
46,ealle,<code>ealle</code>,31,0.0026376
48,eft,<code>eft</code>,30,0.0025525
48,martine,<code>martine</code>,30,0.0025525
50,ferde,<code>ferde</code>,29,0.0024675
50,godes,<code>godes</code>,29,0.0024675
52,ylcan,<code>ylcan</code>,28,0.0023824
53,&thorn;u,<code>&amp;t;u</code>,27,0.0022973
54,eac,<code>eac</code>,26,0.0022122
54,nan,<code>nan</code>,26,0.0022122
56,bisceop,<code>bisceop</code>,25,0.0021271
56,het,<code>het</code>,25,0.0021271
58,&aelig;r,<code>&amp;ae;r</code>,24,0.0020420
58,&aelig;t,<code>&amp;ae;t</code>,24,0.0020420
