B_Prose,B01,B01.003.031_AELS__Edmund__T03310.txt,862,615,2168
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,108,0.0498155
2,&thorn;a,<code>&amp;t;a</code>,72,0.0332103
3,to,<code>to</code>,56,0.0258303
4,on,<code>on</code>,53,0.0244465
5,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,51,0.0235240
6,mid,<code>mid</code>,47,0.0216790
7,swa,<code>swa</code>,46,0.0212177
8,&thorn;am,<code>&amp;t;am</code>,38,0.0175277
8,he,<code>he</code>,38,0.0175277
10,his,<code>his</code>,34,0.0156827
11,&thorn;e,<code>&amp;t;e</code>,33,0.0152214
11,hi,<code>hi</code>,33,0.0152214
13,se,<code>se</code>,27,0.0124539
14,him,<code>him</code>,26,0.0119926
14,w&aelig;s,<code>w&amp;ae;s</code>,26,0.0119926
16,halgan,<code>halgan</code>,19,0.0087638
17,&thorn;one,<code>&amp;t;one</code>,15,0.0069188
17,hit,<code>hit</code>,15,0.0069188
19,ne,<code>ne</code>,14,0.0064576
20,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,13,0.0059963
20,&thorn;u,<code>&amp;t;u</code>,13,0.0059963
20,ac,<code>ac</code>,13,0.0059963
23,heafod,<code>heafod</code>,12,0.0055351
23,ic,<code>ic</code>,12,0.0055351
25,heora,<code>heora</code>,10,0.0046125
25,is,<code>is</code>,10,0.0046125
25,sum,<code>sum</code>,10,0.0046125
28,&thorn;urh,<code>&amp;t;urh</code>,9,0.0041513
28,for,<code>for</code>,9,0.0041513
28,god,<code>god</code>,9,0.0041513
28,her,<code>her</code>,9,0.0041513
28,hine,<code>hine</code>,9,0.0041513
33,clypode,<code>clypode</code>,8,0.0036900
33,eft,<code>eft</code>,8,0.0036900
33,man,<code>man</code>,8,0.0036900
36,&aelig;t,<code>&amp;ae;t</code>,7,0.0032288
36,criste,<code>criste</code>,7,0.0032288
36,geleafan,<code>geleafan</code>,7,0.0032288
36,gif,<code>gif</code>,7,0.0032288
36,hinguar,<code>hinguar</code>,7,0.0032288
36,hu,<code>hu</code>,7,0.0032288
36,wundra,<code>wundra</code>,7,0.0032288
36,wurdon,<code>wurdon</code>,7,0.0032288
44,bisceop,<code>bisceop</code>,6,0.0027675
44,com,<code>com</code>,6,0.0027675
44,cyning,<code>cyning</code>,6,0.0027675
44,eac,<code>eac</code>,6,0.0027675
44,eadmund,<code>eadmund</code>,6,0.0027675
44,ealle,<code>ealle</code>,6,0.0027675
44,lichaman,<code>lichaman</code>,6,0.0027675
44,nu,<code>nu</code>,6,0.0027675
44,wi&eth;,<code>wi&amp;d;</code>,6,0.0027675
53,&eth;a,<code>&amp;d;a</code>,5,0.0023063
53,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,5,0.0023063
53,eadmunde,<code>eadmunde</code>,5,0.0023063
53,fela,<code>fela</code>,5,0.0023063
53,gewende,<code>gewende</code>,5,0.0023063
53,lande,<code>lande</code>,5,0.0023063
53,s&aelig;de,<code>s&amp;ae;de</code>,5,0.0023063
53,sona,<code>sona</code>,5,0.0023063
53,swilce,<code>swilce</code>,5,0.0023063
53,swylce,<code>swylce</code>,5,0.0023063
53,sy&eth;&eth;an,<code>sy&amp;d;&amp;d;an</code>,5,0.0023063
53,w&aelig;re,<code>w&amp;ae;re</code>,5,0.0023063
65,&aelig;fter,<code>&amp;ae;fter</code>,4,0.0018450
65,&aelig;lmihtigan,<code>&amp;ae;lmihtigan</code>,4,0.0018450
65,&eth;e,<code>&amp;d;e</code>,4,0.0018450
65,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,4,0.0018450
