B_Prose,B01,B01.003.032_AELS__Cecilia__T03320.txt,968,643,2833
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,161,0.0568302
2,&thorn;a,<code>&amp;t;a</code>,110,0.0388281
3,to,<code>to</code>,83,0.0292976
4,on,<code>on</code>,74,0.0261207
5,&thorn;am,<code>&amp;t;am</code>,54,0.0190611
6,hi,<code>hi</code>,52,0.0183551
6,swa,<code>swa</code>,52,0.0183551
8,mid,<code>mid</code>,51,0.0180021
9,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,50,0.0176491
10,se,<code>se</code>,43,0.0151783
11,&thorn;e,<code>&amp;t;e</code>,42,0.0148253
12,&thorn;u,<code>&amp;t;u</code>,41,0.0144723
13,him,<code>him</code>,35,0.0123544
14,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,32,0.0112954
15,he,<code>he</code>,29,0.0102365
16,ic,<code>ic</code>,27,0.0095305
17,ne,<code>ne</code>,25,0.0088246
18,gif,<code>gif</code>,21,0.0074126
19,we,<code>we</code>,20,0.0070597
20,heo,<code>heo</code>,16,0.0056477
20,his,<code>his</code>,16,0.0056477
22,&thorn;urh,<code>&amp;t;urh</code>,15,0.0052947
22,cecilia,<code>cecilia</code>,15,0.0052947
22,heora,<code>heora</code>,15,0.0052947
25,&thorn;one,<code>&amp;t;one</code>,14,0.0049418
25,hire,<code>hire</code>,14,0.0049418
25,is,<code>is</code>,14,0.0049418
25,me,<code>me</code>,14,0.0049418
25,sona,<code>sona</code>,14,0.0049418
30,god,<code>god</code>,13,0.0045888
31,engel,<code>engel</code>,12,0.0042358
31,het,<code>het</code>,12,0.0042358
33,&thorn;onne,<code>&amp;t;onne</code>,11,0.0038828
33,tiburtius,<code>tiburtius</code>,11,0.0038828
35,godes,<code>godes</code>,10,0.0035298
35,life,<code>life</code>,10,0.0035298
35,man,<code>man</code>,10,0.0035298
35,nu,<code>nu</code>,10,0.0035298
39,almachius,<code>almachius</code>,9,0.0031768
39,andwyrde,<code>andwyrde</code>,9,0.0031768
39,eft,<code>eft</code>,9,0.0031768
39,geleafan,<code>geleafan</code>,9,0.0031768
39,hine,<code>hine</code>,9,0.0031768
39,miht,<code>miht</code>,9,0.0031768
45,&thorn;us,<code>&amp;t;us</code>,8,0.0028239
45,bi&eth;,<code>bi&amp;d;</code>,8,0.0028239
45,gode,<code>gode</code>,8,0.0028239
45,hu,<code>hu</code>,8,0.0028239
45,hw&aelig;t,<code>hw&amp;ae;t</code>,8,0.0028239
45,of,<code>of</code>,8,0.0028239
45,so&eth;lice,<code>so&amp;d;lice</code>,8,0.0028239
52,an,<code>an</code>,7,0.0024709
52,bro&eth;or,<code>bro&amp;d;or</code>,7,0.0024709
52,bro&thorn;or,<code>bro&amp;t;or</code>,7,0.0024709
52,cniht,<code>cniht</code>,7,0.0024709
52,for,<code>for</code>,7,0.0024709
52,fram,<code>fram</code>,7,0.0024709
52,m&aelig;den,<code>m&amp;ae;den</code>,7,0.0024709
52,maximus,<code>maximus</code>,7,0.0024709
52,mihte,<code>mihte</code>,7,0.0024709
52,wear&eth;,<code>wear&amp;d;</code>,7,0.0024709
52,wurdon,<code>wurdon</code>,7,0.0024709
63,ac,<code>ac</code>,6,0.0021179
63,com,<code>com</code>,6,0.0021179
63,geseon,<code>geseon</code>,6,0.0021179
63,hit,<code>hit</code>,6,0.0021179
63,m&aelig;dene,<code>m&amp;ae;dene</code>,6,0.0021179
63,min,<code>min</code>,6,0.0021179
63,o&thorn;er,<code>o&amp;t;er</code>,6,0.0021179
63,papa,<code>papa</code>,6,0.0021179
63,s&aelig;de,<code>s&amp;ae;de</code>,6,0.0021179
63,si&eth;&eth;an,<code>si&amp;d;&amp;d;an</code>,6,0.0021179
63,ualerianus,<code>ualerianus</code>,6,0.0021179
63,us,<code>us</code>,6,0.0021179
63,w&aelig;ron,<code>w&amp;ae;ron</code>,6,0.0021179
76,&aelig;nne,<code>&amp;ae;nne</code>,5,0.0017649
76,&thorn;is,<code>&amp;t;is</code>,5,0.0017649
76,crist,<code>crist</code>,5,0.0017649
76,ealle,<code>ealle</code>,5,0.0017649
76,ecan,<code>ecan</code>,5,0.0017649
76,embe,<code>embe</code>,5,0.0017649
76,gefullode,<code>gefullode</code>,5,0.0017649
76,huse,<code>huse</code>,5,0.0017649
76,lange,<code>lange</code>,5,0.0017649
76,lif,<code>lif</code>,5,0.0017649
76,swilce,<code>swilce</code>,5,0.0017649
76,synd,<code>synd</code>,5,0.0017649
76,w&aelig;s,<code>w&amp;ae;s</code>,5,0.0017649
89,&aelig;hta,<code>&amp;ae;hta</code>,4,0.0014119
89,&eth;a,<code>&amp;d;a</code>,4,0.0014119
89,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,4,0.0014119
89,&thorn;as,<code>&amp;t;as</code>,4,0.0014119
89,&thorn;ysum,<code>&amp;t;ysum</code>,4,0.0014119
89,anum,<code>anum</code>,4,0.0014119
89,axode,<code>axode</code>,4,0.0014119
89,bendum,<code>bendum</code>,4,0.0014119
89,beo,<code>beo</code>,4,0.0014119
89,cecilian,<code>cecilian</code>,4,0.0014119
89,criste,<code>criste</code>,4,0.0014119
89,cwellere,<code>cwellere</code>,4,0.0014119
89,eallum,<code>eallum</code>,4,0.0014119
89,for&eth;,<code>for&amp;d;</code>,4,0.0014119
89,for&thorn;an&thorn;e,<code>for&amp;t;an&amp;t;e</code>,4,0.0014119
89,ge,<code>ge</code>,4,0.0014119
89,gefullod,<code>gefullod</code>,4,0.0014119
89,gehaten,<code>gehaten</code>,4,0.0014119
89,gelome,<code>gelome</code>,4,0.0014119
89,heofonum,<code>heofonum</code>,4,0.0014119
89,hwa,<code>hwa</code>,4,0.0014119
89,o&eth;,<code>o&amp;d;</code>,4,0.0014119
89,o&eth;&eth;e,<code>o&amp;d;&amp;d;e</code>,4,0.0014119
89,ofslagene,<code>ofslagene</code>,4,0.0014119
89,papan,<code>papan</code>,4,0.0014119
89,sawla,<code>sawla</code>,4,0.0014119
89,scinende,<code>scinende</code>,4,0.0014119
89,seo,<code>seo</code>,4,0.0014119
89,sunu,<code>sunu</code>,4,0.0014119
89,sylf,<code>sylf</code>,4,0.0014119
89,sylle,<code>sylle</code>,4,0.0014119
89,urbanus,<code>urbanus</code>,4,0.0014119
89,w&aelig;re,<code>w&amp;ae;re</code>,4,0.0014119
89,wolde,<code>wolde</code>,4,0.0014119
89,worulde,<code>worulde</code>,4,0.0014119
89,wurde,<code>wurde</code>,4,0.0014119
125,&aelig;fre,<code>&amp;ae;fre</code>,3,0.0010589
125,&aelig;t,<code>&amp;ae;t</code>,3,0.0010589
125,&eth;u,<code>&amp;d;u</code>,3,0.0010589
125,&thorn;earfum,<code>&amp;t;earfum</code>,3,0.0010589
125,&thorn;in,<code>&amp;t;in</code>,3,0.0010589
125,&thorn;ing,<code>&amp;t;ing</code>,3,0.0010589
125,agenum,<code>agenum</code>,3,0.0010589
125,ane,<code>ane</code>,3,0.0010589
125,arleasa,<code>arleasa</code>,3,0.0010589
125,be,<code>be</code>,3,0.0010589
125,bebyrigde,<code>bebyrigde</code>,3,0.0010589
125,bebyrigdon,<code>bebyrigdon</code>,3,0.0010589
125,bene,<code>bene</code>,3,0.0010589
125,beo&eth;,<code>beo&amp;d;</code>,3,0.0010589
125,blisse,<code>blisse</code>,3,0.0010589
125,butan,<code>butan</code>,3,0.0010589
125,cl&aelig;nnysse,<code>cl&amp;ae;nnysse</code>,3,0.0010589
125,clypode,<code>clypode</code>,3,0.0010589
125,cnihte,<code>cnihte</code>,3,0.0010589
125,cw&aelig;don,<code>cw&amp;ae;don</code>,3,0.0010589
125,cynehelmas,<code>cynehelmas</code>,3,0.0010589
125,de&eth;,<code>de&amp;d;</code>,3,0.0010589
125,dea&eth;e,<code>dea&amp;d;e</code>,3,0.0010589
125,f&aelig;mne,<code>f&amp;ae;mne</code>,3,0.0010589
125,gast,<code>gast</code>,3,0.0010589
125,gewende,<code>gewende</code>,3,0.0010589
125,git,<code>git</code>,3,0.0010589
125,godas,<code>godas</code>,3,0.0010589
125,godum,<code>godum</code>,3,0.0010589
125,h&aelig;lend,<code>h&amp;ae;lend</code>,3,0.0010589
125,habba&eth;,<code>habba&amp;d;</code>,3,0.0010589
125,halgan,<code>halgan</code>,3,0.0010589
125,hw&aelig;s,<code>hw&amp;ae;s</code>,3,0.0010589
125,hwi,<code>hwi</code>,3,0.0010589
125,lare,<code>lare</code>,3,0.0010589
125,lilian,<code>lilian</code>,3,0.0010589
125,lufe,<code>lufe</code>,3,0.0010589
125,manfulla,<code>manfulla</code>,3,0.0010589
125,mannum,<code>mannum</code>,3,0.0010589
125,men,<code>men</code>,3,0.0010589
125,mihton,<code>mihton</code>,3,0.0010589
125,mine,<code>mine</code>,3,0.0010589
125,n&aelig;s,<code>n&amp;ae;s</code>,3,0.0010589
125,nan,<code>nan</code>,3,0.0010589
125,niht,<code>niht</code>,3,0.0010589
125,o&thorn;,<code>o&amp;t;</code>,3,0.0010589
125,o&thorn;&thorn;&aelig;t,<code>o&amp;t;&amp;t;&amp;ae;t</code>,3,0.0010589
125,o&thorn;&thorn;e,<code>o&amp;t;&amp;t;e</code>,3,0.0010589
125,o&thorn;rum,<code>o&amp;t;rum</code>,3,0.0010589
125,rosan,<code>rosan</code>,3,0.0010589
125,sceolde,<code>sceolde</code>,3,0.0010589
125,secge,<code>secge</code>,3,0.0010589
125,spr&aelig;ce,<code>spr&amp;ae;ce</code>,3,0.0010589
125,sum,<code>sum</code>,3,0.0010589
125,swurde,<code>swurde</code>,3,0.0010589
125,swylce,<code>swylce</code>,3,0.0010589
125,tihte,<code>tihte</code>,3,0.0010589
125,underfo,<code>underfo</code>,3,0.0010589
125,w&aelig;tere,<code>w&amp;ae;tere</code>,3,0.0010589
125,witan,<code>witan</code>,3,0.0010589
125,witum,<code>witum</code>,3,0.0010589
125,woldon,<code>woldon</code>,3,0.0010589
125,word,<code>word</code>,3,0.0010589
125,wuldre,<code>wuldre</code>,3,0.0010589
125,wundra,<code>wundra</code>,3,0.0010589
125,wylt,<code>wylt</code>,3,0.0010589
191,&aelig;&thorn;elan,<code>&amp;ae;&amp;t;elan</code>,2,0.0007060
191,&aelig;lmihtig,<code>&amp;ae;lmihtig</code>,2,0.0007060
191,&aelig;lmihtigan,<code>&amp;ae;lmihtigan</code>,2,0.0007060
191,&thorn;&aelig;ra,<code>&amp;t;&amp;ae;ra</code>,2,0.0007060
191,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,2,0.0007060
191,&thorn;inum,<code>&amp;t;inum</code>,2,0.0007060
191,&thorn;isre,<code>&amp;t;isre</code>,2,0.0007060
191,&thorn;ry,<code>&amp;t;ry</code>,2,0.0007060
191,afylled,<code>afylled</code>,2,0.0007060
191,afyrht,<code>afyrht</code>,2,0.0007060
191,alysed,<code>alysed</code>,2,0.0007060
191,anweald,<code>anweald</code>,2,0.0007060
191,ar&aelig;rde,<code>ar&amp;ae;rde</code>,2,0.0007060
191,aras,<code>aras</code>,2,0.0007060
191,arwur&eth;lice,<code>arwur&amp;d;lice</code>,2,0.0007060
191,b&aelig;d,<code>b&amp;ae;d</code>,2,0.0007060
191,begen,<code>begen</code>,2,0.0007060
191,beon,<code>beon</code>,2,0.0007060
191,betwux,<code>betwux</code>,2,0.0007060
191,biddende,<code>biddende</code>,2,0.0007060
191,bist,<code>bist</code>,2,0.0007060
191,blissode,<code>blissode</code>,2,0.0007060
191,br&aelig;&eth;,<code>br&amp;ae;&amp;d;</code>,2,0.0007060
191,brydguman,<code>brydguman</code>,2,0.0007060
191,cristen,<code>cristen</code>,2,0.0007060
191,cristenan,<code>cristenan</code>,2,0.0007060
191,cwelleras,<code>cwelleras</code>,2,0.0007060
191,cwellerum,<code>cwellerum</code>,2,0.0007060
191,cym&eth;,<code>cym&amp;d;</code>,2,0.0007060
191,d&aelig;ge,<code>d&amp;ae;ge</code>,2,0.0007060
191,d&aelig;ghwamlice,<code>d&amp;ae;ghwamlice</code>,2,0.0007060
191,d&aelig;lde,<code>d&amp;ae;lde</code>,2,0.0007060
191,dagas,<code>dagas</code>,2,0.0007060
191,dagum,<code>dagum</code>,2,0.0007060
191,dea&eth;,<code>dea&amp;d;</code>,2,0.0007060
191,deadan,<code>deadan</code>,2,0.0007060
191,dema,<code>dema</code>,2,0.0007060
191,do,<code>do</code>,2,0.0007060
191,drihtnes,<code>drihtnes</code>,2,0.0007060
191,eala,<code>eala</code>,2,0.0007060
191,edcucigenne,<code>edcucigenne</code>,2,0.0007060
191,englas,<code>englas</code>,2,0.0007060
191,eor&eth;an,<code>eor&amp;d;an</code>,2,0.0007060
191,eow,<code>eow</code>,2,0.0007060
191,eowre,<code>eowre</code>,2,0.0007060
191,f&aelig;rlice,<code>f&amp;ae;rlice</code>,2,0.0007060
191,fara&eth;,<code>fara&amp;d;</code>,2,0.0007060
191,faran,<code>faran</code>,2,0.0007060
