B_Prose,B01,B01.003.033_AELS__Chrysanthus__T03330.txt,994,694,2752
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,151,0.0548692
2,&thorn;a,<code>&amp;t;a</code>,119,0.0432413
3,to,<code>to</code>,74,0.0268895
4,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,61,0.0221657
4,hi,<code>hi</code>,61,0.0221657
6,mid,<code>mid</code>,59,0.0214390
7,on,<code>on</code>,57,0.0207122
8,&thorn;am,<code>&amp;t;am</code>,48,0.0174419
9,swa,<code>swa</code>,47,0.0170785
10,he,<code>he</code>,42,0.0152616
11,&thorn;e,<code>&amp;t;e</code>,31,0.0112645
12,his,<code>his</code>,30,0.0109012
13,ne,<code>ne</code>,28,0.0101744
14,him,<code>him</code>,27,0.0098110
15,&thorn;u,<code>&amp;t;u</code>,26,0.0094477
15,hine,<code>hine</code>,26,0.0094477
15,se,<code>se</code>,26,0.0094477
18,ic,<code>ic</code>,25,0.0090843
19,ac,<code>ac</code>,21,0.0076308
20,&thorn;one,<code>&amp;t;one</code>,20,0.0072674
21,het,<code>het</code>,19,0.0069041
22,heora,<code>heora</code>,18,0.0065407
23,&thorn;urh,<code>&amp;t;urh</code>,16,0.0058140
24,god,<code>god</code>,15,0.0054506
25,geleafan,<code>geleafan</code>,14,0.0050872
26,mihte,<code>mihte</code>,13,0.0047238
27,crisantus,<code>crisantus</code>,12,0.0043605
27,ealle,<code>ealle</code>,12,0.0043605
27,gif,<code>gif</code>,12,0.0043605
27,heo,<code>heo</code>,12,0.0043605
27,sona,<code>sona</code>,12,0.0043605
27,wear&eth;,<code>wear&amp;d;</code>,12,0.0043605
33,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,11,0.0039971
33,darian,<code>darian</code>,11,0.0039971
33,halgan,<code>halgan</code>,11,0.0039971
33,man,<code>man</code>,11,0.0039971
37,criste,<code>criste</code>,10,0.0036337
37,for,<code>for</code>,10,0.0036337
37,fram,<code>fram</code>,10,0.0036337
37,w&aelig;s,<code>w&amp;ae;s</code>,10,0.0036337
37,wurdon,<code>wurdon</code>,10,0.0036337
42,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,9,0.0032703
42,casere,<code>casere</code>,9,0.0032703
42,daria,<code>daria</code>,9,0.0032703
42,seo,<code>seo</code>,9,0.0032703
46,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,8,0.0029070
46,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,8,0.0029070
46,&thorn;onne,<code>&amp;t;onne</code>,8,0.0029070
46,leo,<code>leo</code>,8,0.0029070
46,nu,<code>nu</code>,8,0.0029070
46,ut,<code>ut</code>,8,0.0029070
46,w&aelig;ron,<code>w&amp;ae;ron</code>,8,0.0029070
53,&aelig;nne,<code>&amp;ae;nne</code>,7,0.0025436
53,&eth;a,<code>&amp;d;a</code>,7,0.0025436
53,be,<code>be</code>,7,0.0025436
53,drihtnes,<code>drihtnes</code>,7,0.0025436
53,f&aelig;der,<code>f&amp;ae;der</code>,7,0.0025436
53,of,<code>of</code>,7,0.0025436
59,&aelig;t,<code>&amp;ae;t</code>,6,0.0021802
59,cempan,<code>cempan</code>,6,0.0021802
59,claudius,<code>claudius</code>,6,0.0021802
59,gode,<code>gode</code>,6,0.0021802
59,h&aelig;fde,<code>h&amp;ae;fde</code>,6,0.0021802
59,hire,<code>hire</code>,6,0.0021802
59,men,<code>men</code>,6,0.0021802
59,o&thorn;&thorn;&aelig;t,<code>o&amp;t;&amp;t;&amp;ae;t</code>,6,0.0021802
59,wolde,<code>wolde</code>,6,0.0021802
59,wundra,<code>wundra</code>,6,0.0021802
69,&thorn;as,<code>&amp;t;as</code>,5,0.0018169
69,&thorn;us,<code>&amp;t;us</code>,5,0.0018169
69,anum,<code>anum</code>,5,0.0018169
69,bi&eth;,<code>bi&amp;d;</code>,5,0.0018169
69,butan,<code>butan</code>,5,0.0018169
69,drycr&aelig;ft,<code>drycr&amp;ae;ft</code>,5,0.0018169
69,ge,<code>ge</code>,5,0.0018169
69,h&aelig;lend,<code>h&amp;ae;lend</code>,5,0.0018169
69,hit,<code>hit</code>,5,0.0018169
69,l&aelig;g,<code>l&amp;ae;g</code>,5,0.0018169
69,leornode,<code>leornode</code>,5,0.0018169
69,m&aelig;den,<code>m&amp;ae;den</code>,5,0.0018169
69,si&eth;&eth;an,<code>si&amp;d;&amp;d;an</code>,5,0.0018169
69,sunu,<code>sunu</code>,5,0.0018169
69,sylf,<code>sylf</code>,5,0.0018169
69,we,<code>we</code>,5,0.0018169
85,&thorn;inre,<code>&amp;t;inre</code>,4,0.0014535
85,andwyrde,<code>andwyrde</code>,4,0.0014535
85,arwur&eth;um,<code>arwur&amp;d;um</code>,4,0.0014535
85,bec,<code>bec</code>,4,0.0014535
85,byrig,<code>byrig</code>,4,0.0014535
85,cniht,<code>cniht</code>,4,0.0014535
85,cnihte,<code>cnihte</code>,4,0.0014535
85,crisantum,<code>crisantum</code>,4,0.0014535
85,crist,<code>crist</code>,4,0.0014535
85,cwearterne,<code>cwearterne</code>,4,0.0014535
85,eac,<code>eac</code>,4,0.0014535
85,f&aelig;rlice,<code>f&amp;ae;rlice</code>,4,0.0014535
85,fela,<code>fela</code>,4,0.0014535
85,gehaten,<code>gehaten</code>,4,0.0014535
85,godas,<code>godas</code>,4,0.0014535
85,godes,<code>godes</code>,4,0.0014535
85,godum,<code>godum</code>,4,0.0014535
85,hw&aelig;t,<code>hw&amp;ae;t</code>,4,0.0014535
85,m&aelig;dene,<code>m&amp;ae;dene</code>,4,0.0014535
85,mannum,<code>mannum</code>,4,0.0014535
85,me,<code>me</code>,4,0.0014535
85,mode,<code>mode</code>,4,0.0014535
85,nan,<code>nan</code>,4,0.0014535
85,samod,<code>samod</code>,4,0.0014535
85,sende,<code>sende</code>,4,0.0014535
85,sum,<code>sum</code>,4,0.0014535
85,swilce,<code>swilce</code>,4,0.0014535
85,swy&eth;e,<code>swy&amp;d;e</code>,4,0.0014535
85,timan,<code>timan</code>,4,0.0014535
85,wite,<code>wite</code>,4,0.0014535
85,woldon,<code>woldon</code>,4,0.0014535
85,worulde,<code>worulde</code>,4,0.0014535
85,wundorlice,<code>wundorlice</code>,4,0.0014535
118,&thorn;is,<code>&amp;t;is</code>,3,0.0010901
118,began,<code>began</code>,3,0.0010901
118,bendas,<code>bendas</code>,3,0.0010901
118,bure,<code>bure</code>,3,0.0010901
118,buta,<code>buta</code>,3,0.0010901
118,cl&aelig;nnysse,<code>cl&amp;ae;nnysse</code>,3,0.0010901
118,deore,<code>deore</code>,3,0.0010901
118,drihten,<code>drihten</code>,3,0.0010901
118,dyde,<code>dyde</code>,3,0.0010901
118,ea&eth;elice,<code>ea&amp;d;elice</code>,3,0.0010901
118,ealne,<code>ealne</code>,3,0.0010901
118,eft,<code>eft</code>,3,0.0010901
118,ferde,<code>ferde</code>,3,0.0010901
118,fulum,<code>fulum</code>,3,0.0010901
118,fyrhte,<code>fyrhte</code>,3,0.0010901
118,galnysse,<code>galnysse</code>,3,0.0010901
