B_Prose,B01,B01.003.034_AELS__Thomas__T03340.txt,1052,694,3273
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,178,0.0543844
2,&thorn;a,<code>&amp;t;a</code>,124,0.0378857
3,to,<code>to</code>,107,0.0326917
4,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,89,0.0271922
5,&thorn;e,<code>&amp;t;e</code>,65,0.0198595
6,on,<code>on</code>,64,0.0195539
7,&thorn;u,<code>&amp;t;u</code>,50,0.0152765
7,his,<code>his</code>,50,0.0152765
7,ic,<code>ic</code>,50,0.0152765
10,he,<code>he</code>,49,0.0149710
10,se,<code>se</code>,49,0.0149710
12,&thorn;am,<code>&amp;t;am</code>,46,0.0140544
13,swa,<code>swa</code>,45,0.0137489
14,hi,<code>hi</code>,42,0.0128323
15,mid,<code>mid</code>,40,0.0122212
16,him,<code>him</code>,39,0.0119157
17,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,37,0.0113046
18,ne,<code>ne</code>,34,0.0103880
19,&thorn;one,<code>&amp;t;one</code>,33,0.0100825
20,me,<code>me</code>,30,0.0091659
21,thomas,<code>thomas</code>,24,0.0073327
22,god,<code>god</code>,22,0.0067217
23,apostol,<code>apostol</code>,21,0.0064161
23,hire,<code>hire</code>,21,0.0064161
25,min,<code>min</code>,18,0.0054995
26,godes,<code>godes</code>,17,0.0051940
26,nu,<code>nu</code>,17,0.0051940
28,hit,<code>hit</code>,16,0.0048885
29,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,15,0.0045830
29,sona,<code>sona</code>,15,0.0045830
31,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,14,0.0042774
31,ealle,<code>ealle</code>,14,0.0042774
31,gif,<code>gif</code>,14,0.0042774
31,heo,<code>heo</code>,14,0.0042774
35,&thorn;urh,<code>&amp;t;urh</code>,13,0.0039719
35,kyning,<code>kyning</code>,13,0.0039719
37,geleafan,<code>geleafan</code>,12,0.0036664
37,is,<code>is</code>,12,0.0036664
39,of,<code>of</code>,11,0.0033608
40,ac,<code>ac</code>,10,0.0030553
40,eft,<code>eft</code>,10,0.0030553
40,hine,<code>hine</code>,10,0.0030553
43,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,9,0.0027498
43,bi&eth;,<code>bi&amp;d;</code>,9,0.0027498
43,eow,<code>eow</code>,9,0.0027498
43,het,<code>het</code>,9,0.0027498
47,andwyrde,<code>andwyrde</code>,8,0.0024442
47,com,<code>com</code>,8,0.0024442
47,eode,<code>eode</code>,8,0.0024442
47,for,<code>for</code>,8,0.0024442
47,ge,<code>ge</code>,8,0.0024442
47,gebytlu,<code>gebytlu</code>,8,0.0024442
47,man,<code>man</code>,8,0.0024442
47,migdonia,<code>migdonia</code>,8,0.0024442
47,sylf,<code>sylf</code>,8,0.0024442
47,we,<code>we</code>,8,0.0024442
47,wolde,<code>wolde</code>,8,0.0024442
58,&aelig;fter,<code>&amp;ae;fter</code>,7,0.0021387
58,&thorn;in,<code>&amp;t;in</code>,7,0.0021387
58,abbanes,<code>abbanes</code>,7,0.0021387
58,asende,<code>asende</code>,7,0.0021387
58,geond,<code>geond</code>,7,0.0021387
58,h&aelig;lend,<code>h&amp;ae;lend</code>,7,0.0021387
58,mihte,<code>mihte</code>,7,0.0021387
58,naman,<code>naman</code>,7,0.0021387
58,seo,<code>seo</code>,7,0.0021387
58,us,<code>us</code>,7,0.0021387
58,wear&eth;,<code>wear&amp;d;</code>,7,0.0021387
69,an,<code>an</code>,6,0.0018332
69,cyning,<code>cyning</code>,6,0.0018332
69,eom,<code>eom</code>,6,0.0018332
69,eowre,<code>eowre</code>,6,0.0018332
69,fram,<code>fram</code>,6,0.0018332
69,halgan,<code>halgan</code>,6,0.0018332
69,ham,<code>ham</code>,6,0.0018332
69,hw&aelig;t,<code>hw&amp;ae;t</code>,6,0.0018332
69,lifigendan,<code>lifigendan</code>,6,0.0018332
69,men,<code>men</code>,6,0.0018332
69,sceolde,<code>sceolde</code>,6,0.0018332
69,w&aelig;re,<code>w&amp;ae;re</code>,6,0.0018332
69,w&aelig;s,<code>w&amp;ae;s</code>,6,0.0018332
69,wer,<code>wer</code>,6,0.0018332
69,wif,<code>wif</code>,6,0.0018332
69,wundra,<code>wundra</code>,6,0.0018332
85,&aelig;t,<code>&amp;ae;t</code>,5,0.0015277
85,&thorn;eowa,<code>&amp;t;eowa</code>,5,0.0015277
85,&thorn;onne,<code>&amp;t;onne</code>,5,0.0015277
85,&thorn;ysum,<code>&amp;t;ysum</code>,5,0.0015277
85,apostole,<code>apostole</code>,5,0.0015277
85,beo&eth;,<code>beo&amp;d;</code>,5,0.0015277
85,butan,<code>butan</code>,5,0.0015277
85,cwen,<code>cwen</code>,5,0.0015277
85,drihten,<code>drihten</code>,5,0.0015277
85,englas,<code>englas</code>,5,0.0015277
85,georne,<code>georne</code>,5,0.0015277
85,h&aelig;f&eth;,<code>h&amp;ae;f&amp;d;</code>,5,0.0015277
85,halga,<code>halga</code>,5,0.0015277
85,heofonum,<code>heofonum</code>,5,0.0015277
85,hu,<code>hu</code>,5,0.0015277
85,lange,<code>lange</code>,5,0.0015277
85,m&aelig;g,<code>m&amp;ae;g</code>,5,0.0015277
85,swilce,<code>swilce</code>,5,0.0015277
85,swuster,<code>swuster</code>,5,0.0015277
85,wurdon,<code>wurdon</code>,5,0.0015277
85,wyrhtan,<code>wyrhtan</code>,5,0.0015277
106,&aelig;lmihtigan,<code>&amp;ae;lmihtigan</code>,4,0.0012221
106,&thorn;inum,<code>&amp;t;inum</code>,4,0.0012221
106,beon,<code>beon</code>,4,0.0012221
106,bro&eth;or,<code>bro&amp;d;or</code>,4,0.0012221
106,clypode,<code>clypode</code>,4,0.0012221
106,criste,<code>criste</code>,4,0.0012221
106,cwearterne,<code>cwearterne</code>,4,0.0012221
106,cyrcan,<code>cyrcan</code>,4,0.0012221
106,dea&eth;e,<code>dea&amp;d;e</code>,4,0.0012221
106,dyde,<code>dyde</code>,4,0.0012221
106,eala,<code>eala</code>,4,0.0012221
106,ecan,<code>ecan</code>,4,0.0012221
106,eodon,<code>eodon</code>,4,0.0012221
106,f&aelig;der,<code>f&amp;ae;der</code>,4,0.0012221
106,gad,<code>gad</code>,4,0.0012221
106,gefullode,<code>gefullode</code>,4,0.0012221
106,geh&aelig;lde,<code>geh&amp;ae;lde</code>,4,0.0012221
106,gehaten,<code>gehaten</code>,4,0.0012221
106,gundoforus,<code>gundoforus</code>,4,0.0012221
106,h&aelig;lendes,<code>h&amp;ae;lendes</code>,4,0.0012221
106,heora,<code>heora</code>,4,0.0012221
106,lande,<code>lande</code>,4,0.0012221
106,leof,<code>leof</code>,4,0.0012221
