B_Prose,B01,B01.003.035_AELS__Vincent__T03350.txt,1098,777,2996
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,119,0.0397196
2,on,<code>on</code>,109,0.0363818
3,&thorn;a,<code>&amp;t;a</code>,76,0.0253672
4,&thorn;am,<code>&amp;t;am</code>,70,0.0233645
4,he,<code>he</code>,70,0.0233645
6,&thorn;e,<code>&amp;t;e</code>,67,0.0223632
7,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,66,0.0220294
8,mid,<code>mid</code>,64,0.0213618
9,his,<code>his</code>,57,0.0190254
10,swa,<code>swa</code>,52,0.0173565
11,to,<code>to</code>,48,0.0160214
12,ne,<code>ne</code>,40,0.0133511
13,hi,<code>hi</code>,33,0.0110147
14,hine,<code>hine</code>,32,0.0106809
15,ic,<code>ic</code>,31,0.0103471
16,him,<code>him</code>,25,0.0083445
17,&eth;e,<code>&amp;d;e</code>,24,0.0080107
17,se,<code>se</code>,24,0.0080107
19,me,<code>me</code>,23,0.0076769
20,&thorn;one,<code>&amp;t;one</code>,22,0.0073431
20,for,<code>for</code>,22,0.0073431
22,&thorn;urh,<code>&amp;t;urh</code>,19,0.0063418
23,nu,<code>nu</code>,17,0.0056742
24,&thorn;u,<code>&amp;t;u</code>,16,0.0053405
25,ac,<code>ac</code>,15,0.0050067
25,is,<code>is</code>,15,0.0050067
27,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,14,0.0046729
27,halgan,<code>halgan</code>,14,0.0046729
27,we,<code>we</code>,14,0.0046729
27,witum,<code>witum</code>,14,0.0046729
31,gif,<code>gif</code>,13,0.0043391
31,hit,<code>hit</code>,13,0.0043391
33,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,12,0.0040053
34,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,11,0.0036716
34,geleafan,<code>geleafan</code>,11,0.0036716
34,mihte,<code>mihte</code>,11,0.0036716
34,sylf,<code>sylf</code>,11,0.0036716
34,us,<code>us</code>,11,0.0036716
39,&thorn;us,<code>&amp;t;us</code>,10,0.0033378
39,datianus,<code>datianus</code>,10,0.0033378
39,swi&eth;or,<code>swi&amp;d;or</code>,10,0.0033378
42,cw&aelig;&thorn;,<code>cw&amp;ae;&amp;t;</code>,9,0.0030040
42,life,<code>life</code>,9,0.0030040
42,w&aelig;s,<code>w&amp;ae;s</code>,9,0.0030040
45,be,<code>be</code>,8,0.0026702
45,beo,<code>beo</code>,8,0.0026702
45,godes,<code>godes</code>,8,0.0026702
45,het,<code>het</code>,8,0.0026702
45,lic,<code>lic</code>,8,0.0026702
45,swi&eth;e,<code>swi&amp;d;e</code>,8,0.0026702
51,&eth;a,<code>&amp;d;a</code>,7,0.0023364
51,bi&eth;,<code>bi&amp;d;</code>,7,0.0023364
51,god,<code>god</code>,7,0.0023364
51,halga,<code>halga</code>,7,0.0023364
51,sona,<code>sona</code>,7,0.0023364
51,wear&eth;,<code>wear&amp;d;</code>,7,0.0023364
57,&aelig;r,<code>&amp;ae;r</code>,6,0.0020027
57,&thorn;an,<code>&amp;t;an</code>,6,0.0020027
57,&thorn;is,<code>&amp;t;is</code>,6,0.0020027
57,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,6,0.0020027
57,eac,<code>eac</code>,6,0.0020027
57,ecan,<code>ecan</code>,6,0.0020027
57,ge,<code>ge</code>,6,0.0020027
57,heo,<code>heo</code>,6,0.0020027
57,hw&aelig;t,<code>hw&amp;ae;t</code>,6,0.0020027
