B_Prose,B01,B01.004.022_AEHom_22_T03570.txt,1596,1042,5453
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,308,0.0564827
2,&thorn;a,<code>&amp;t;a</code>,193,0.0353934
3,&thorn;am,<code>&amp;t;am</code>,127,0.0232899
4,&thorn;e,<code>&amp;t;e</code>,122,0.0223730
4,to,<code>to</code>,122,0.0223730
6,on,<code>on</code>,119,0.0218228
7,he,<code>he</code>,99,0.0181551
8,hi,<code>hi</code>,95,0.0174216
9,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,92,0.0168714
9,se,<code>se</code>,92,0.0168714
11,ne,<code>ne</code>,76,0.0139373
12,swa,<code>swa</code>,63,0.0115533
13,his,<code>his</code>,62,0.0113699
14,mid,<code>mid</code>,58,0.0106363
15,him,<code>him</code>,57,0.0104530
16,god,<code>god</code>,50,0.0091693
17,&thorn;one,<code>&amp;t;one</code>,48,0.0088025
17,heora,<code>heora</code>,48,0.0088025
19,w&aelig;s,<code>w&amp;ae;s</code>,46,0.0084357
20,for,<code>for</code>,36,0.0066019
21,of,<code>of</code>,34,0.0062351
22,gode,<code>gode</code>,31,0.0056849
23,&eth;a,<code>&amp;d;a</code>,30,0.0055016
24,ealle,<code>ealle</code>,29,0.0053182
25,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,28,0.0051348
25,ac,<code>ac</code>,28,0.0051348
25,cyning,<code>cyning</code>,28,0.0051348
25,is,<code>is</code>,28,0.0051348
29,danihel,<code>danihel</code>,27,0.0049514
30,hine,<code>hine</code>,25,0.0045846
31,&thorn;u,<code>&amp;t;u</code>,24,0.0044012
31,be,<code>be</code>,24,0.0044012
33,eac,<code>eac</code>,22,0.0040345
33,mihte,<code>mihte</code>,22,0.0040345
35,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,21,0.0038511
35,godas,<code>godas</code>,21,0.0038511
37,godes,<code>godes</code>,19,0.0034843
37,swi&eth;e,<code>swi&amp;d;e</code>,19,0.0034843
39,nan,<code>nan</code>,18,0.0033009
40,&thorn;urh,<code>&amp;t;urh</code>,17,0.0031175
40,an,<code>an</code>,17,0.0031175
40,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,17,0.0031175
40,eft,<code>eft</code>,17,0.0031175
40,sona,<code>sona</code>,17,0.0031175
45,&aelig;r,<code>&amp;ae;r</code>,16,0.0029342
45,f&aelig;der,<code>f&amp;ae;der</code>,16,0.0029342
45,ic,<code>ic</code>,16,0.0029342
48,&thorn;onne,<code>&amp;t;onne</code>,15,0.0027508
48,ge,<code>ge</code>,15,0.0027508
48,godum,<code>godum</code>,15,0.0027508
48,w&aelig;ron,<code>w&amp;ae;ron</code>,15,0.0027508
52,&thorn;ar,<code>&amp;t;ar</code>,14,0.0025674
52,nu,<code>nu</code>,14,0.0025674
52,seo,<code>seo</code>,14,0.0025674
55,&thorn;&aelig;ra,<code>&amp;t;&amp;ae;ra</code>,13,0.0023840
55,gif,<code>gif</code>,13,0.0023840
55,hit,<code>hit</code>,13,0.0023840
55,man,<code>man</code>,13,0.0023840
59,&aelig;fre,<code>&amp;ae;fre</code>,12,0.0022006
59,anlicnysse,<code>anlicnysse</code>,12,0.0022006
59,bel,<code>bel</code>,12,0.0022006
59,gehaten,<code>gehaten</code>,12,0.0022006
59,h&aelig;&thorn;enan,<code>h&amp;ae;&amp;t;enan</code>,12,0.0022006
59,sume,<code>sume</code>,12,0.0022006
59,we,<code>we</code>,12,0.0022006
59,wi&eth;,<code>wi&amp;d;</code>,12,0.0022006
67,&aelig;t,<code>&amp;ae;t</code>,11,0.0020172
67,&thorn;ing,<code>&amp;t;ing</code>,11,0.0020172
67,het,<code>het</code>,11,0.0020172
70,&aelig;fter,<code>&amp;ae;fter</code>,10,0.0018339
70,&thorn;eah,<code>&amp;t;eah</code>,10,0.0018339
70,butan,<code>butan</code>,10,0.0018339
70,eallum,<code>eallum</code>,10,0.0018339
70,gesceop,<code>gesceop</code>,10,0.0018339
70,into,<code>into</code>,10,0.0018339
70,scrin,<code>scrin</code>,10,0.0018339
70,sunu,<code>sunu</code>,10,0.0018339
70,swa&thorn;eah,<code>swa&amp;t;eah</code>,10,0.0018339
70,synd,<code>synd</code>,10,0.0018339
70,us,<code>us</code>,10,0.0018339
70,w&aelig;re,<code>w&amp;ae;re</code>,10,0.0018339
70,wear&eth;,<code>wear&amp;d;</code>,10,0.0018339
83,&aelig;tforan,<code>&amp;ae;tforan</code>,9,0.0016505
83,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,9,0.0016505
83,&thorn;as,<code>&amp;t;as</code>,9,0.0016505
83,d&aelig;g,<code>d&amp;ae;g</code>,9,0.0016505
83,fif,<code>fif</code>,9,0.0016505
83,in,<code>in</code>,9,0.0016505
89,&eth;e,<code>&amp;d;e</code>,8,0.0014671
89,cyninge,<code>cyninge</code>,8,0.0014671
89,d&aelig;ge,<code>d&amp;ae;ge</code>,8,0.0014671
89,geond,<code>geond</code>,8,0.0014671
89,halige,<code>halige</code>,8,0.0014671
89,heo,<code>heo</code>,8,0.0014671
89,hy,<code>hy</code>,8,0.0014671
89,mete,<code>mete</code>,8,0.0014671
89,na,<code>na</code>,8,0.0014671
98,&thorn;es,<code>&amp;t;es</code>,7,0.0012837
98,&thorn;uss,<code>&amp;t;uss</code>,7,0.0012837
98,biggengan,<code>biggengan</code>,7,0.0012837
98,com,<code>com</code>,7,0.0012837
98,fram,<code>fram</code>,7,0.0012837
98,geleafan,<code>geleafan</code>,7,0.0012837
98,hw&aelig;t,<code>hw&amp;ae;t</code>,7,0.0012837
98,lac,<code>lac</code>,7,0.0012837
98,mann,<code>mann</code>,7,0.0012837
98,mannum,<code>mannum</code>,7,0.0012837
98,tocnawan,<code>tocnawan</code>,7,0.0012837
109,&aelig;lmihtigan,<code>&amp;ae;lmihtigan</code>,6,0.0011003
109,&thorn;an,<code>&amp;t;an</code>,6,0.0011003
109,andwyrde,<code>andwyrde</code>,6,0.0011003
109,deofol,<code>deofol</code>,6,0.0011003
109,eodan,<code>eodan</code>,6,0.0011003
109,h&aelig;fde,<code>h&amp;ae;fde</code>,6,0.0011003
109,ham,<code>ham</code>,6,0.0011003
109,hu,<code>hu</code>,6,0.0011003
109,lande,<code>lande</code>,6,0.0011003
109,magon,<code>magon</code>,6,0.0011003
109,me,<code>me</code>,6,0.0011003
109,menn,<code>menn</code>,6,0.0011003
109,mihton,<code>mihton</code>,6,0.0011003
109,min,<code>min</code>,6,0.0011003
109,ofer,<code>ofer</code>,6,0.0011003
109,scrine,<code>scrine</code>,6,0.0011003
109,scyppend,<code>scyppend</code>,6,0.0011003
109,sea&eth;e,<code>sea&amp;d;e</code>,6,0.0011003
109,sy,<code>sy</code>,6,0.0011003
109,temple,<code>temple</code>,6,0.0011003
109,ure,<code>ure</code>,6,0.0011003
130,&aelig;lcum,<code>&amp;ae;lcum</code>,5,0.0009169
130,&thorn;isum,<code>&amp;t;isum</code>,5,0.0009169
130,abbacuc,<code>abbacuc</code>,5,0.0009169
130,anlicnyssa,<code>anlicnyssa</code>,5,0.0009169
130,axode,<code>axode</code>,5,0.0009169
130,bele,<code>bele</code>,5,0.0009169
130,buton,<code>buton</code>,5,0.0009169
130,danihele,<code>danihele</code>,5,0.0009169
130,dea&eth;e,<code>dea&amp;d;e</code>,5,0.0009169
130,dracan,<code>dracan</code>,5,0.0009169
